$ Bathymetry:  Bonneville.  Original provided by WEST consultants via David Gade.  Adjusted to NAVD88 Datum provided by Res-Ops team. ELWS => fill from NAVD88 TDA TWelev [24.84m] to NAVD88  BON FBelev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEG: I,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,,,,,,,,,
DLX,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,995.01,,,,,,,,,
ELWS,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,23.811,,,,,,,,,
ANGLE,0.99,0.99,1,1.5,1.5,1.8,2.3,2.6,3.1,3.1,3.188,2.976,2.5,2.2,2,1.9,1.9,1.9,1.9,1.9,2.4,2.3,1.7,1.6,1.5,1.5,1.362,1.238,1.3,1.6,1.6,1.7,1.7,2,2,2.1,2.1,2.1,2.015,1.6,1.45,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.5,1.5,1.3,1.2,1.2,1.2,1.4,1.7,1.7,1.8,1.85,1.9,1.8,1.8,1.6,1.3,1.1,1.1,1.1,1,0.95,0.95,0.65,0.2,0.58,0.85,0.85,1.695,1.695,,,,,,,,,
MANNING,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,,,,,,,,,
LAYER,,BR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,Area,Volume (m^3),Volume(af),Bottom Elevation(m),Bottom Elevation(ft),mult,
0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,824116296,668122.95,25.506,83.681,1,1
0.25,0,1163.677,908.815,1604.244,1287.922,2396.918,1921.95,1583.41,2131.124,2354.765,2021.9,2759.823,3358.897,3951.672,2266.444,3037.383,3606.348,2767.091,3083.828,2354.419,2520.263,3469.16,2429.934,2113.266,2773.251,2593.079,2832.985,2768.89,3325.119,1338.312,1347.795,1498.134,1801.443,2819.142,3024.44,3803.755,3307.676,2142.614,2276.48,1865.885,2376.983,3136.018,2898.534,3717.51,3140.24,673.828,1617.188,3899.967,3618.945,2876.108,3698.96,4537.387,3222.954,2713.24,2852.505,3457.739,3495.324,3474.905,3879.063,3249.603,704.768,1466.848,1332.844,2625.473,2571.829,3272.375,3643.517,3199.421,2721.892,3186.754,3212.779,1824.285,2169.401,1683.013,2080.942,2503.581,0,,2,99625629.28,824116296,668122.95,25.256,82.86,1,1
0.25,0,1163.677,908.815,1604.244,1287.922,2396.918,1921.95,1583.41,2131.124,2354.765,2021.9,2759.823,3358.897,3951.672,2266.444,3037.383,3606.348,2767.091,3083.828,2354.419,2520.263,3469.16,2429.934,2113.266,2773.251,2593.079,2832.985,2768.89,3325.119,1338.312,1347.795,1498.134,1801.443,2819.142,3024.44,3803.755,3307.676,2142.614,2276.48,1865.885,2376.983,3136.018,2898.534,3717.51,3140.24,673.828,1617.188,3899.967,3618.945,2876.108,3698.96,4537.387,3222.954,2713.24,2852.505,3457.739,3495.324,3474.905,3879.063,3249.603,704.768,1466.848,1332.844,2625.473,2571.829,3272.375,3643.517,3199.421,2721.892,3186.754,3212.779,1824.285,2169.401,1683.013,2080.942,2503.581,0,,3,99625629.28,799209888.7,647930.967,25.006,82.04,1,1
0.25,0,1163.677,908.815,1604.244,1287.922,2396.918,1921.95,1583.41,2131.124,2354.765,2021.9,2759.823,3358.897,3951.672,2266.444,3037.383,3606.348,2767.091,3083.828,2354.419,2520.263,3469.16,2429.934,2113.266,2773.251,2593.079,2832.985,2768.89,3325.119,1338.312,1347.795,1498.134,1801.443,2819.142,3024.44,3803.755,3307.676,2142.614,2276.48,1865.885,2376.983,3136.018,2898.534,3717.51,3140.24,673.828,1617.188,3899.967,3618.945,2876.108,3698.96,4537.387,3222.954,2713.24,2852.505,3457.739,3495.324,3474.905,3879.063,3249.603,704.768,1466.848,1332.844,2625.473,2571.829,3272.375,3643.517,3199.421,2721.892,3186.754,3212.779,1824.285,2169.401,1683.013,2080.942,2503.581,0,,4,99625629.28,774303481.4,627738.983,24.756,81.22,1,1
0.25,0,1163.677,908.815,1604.244,1287.922,2396.918,1921.95,1583.41,2131.124,2354.765,2021.9,2759.823,3358.897,3951.672,2266.444,3037.383,3606.348,2767.091,3083.828,2354.419,2520.263,3469.16,2429.934,2113.266,2773.251,2593.079,2832.985,2768.89,3325.119,1338.312,1347.795,1498.134,1801.443,2819.142,3024.44,3803.755,3307.676,2142.614,2276.48,1865.885,2376.983,3136.018,2898.534,3717.51,3140.24,673.828,1617.188,3899.967,3618.945,2876.108,3698.96,4537.387,3222.954,2713.24,2852.505,3457.739,3495.324,3474.905,3879.063,3249.603,704.768,1466.848,1332.844,2625.473,2571.829,3272.375,3643.517,3199.421,2721.892,3186.754,3212.779,1824.285,2169.401,1683.013,2080.942,2503.581,0,,5,99625629.28,749397074,607547,24.506,80.4,1,1
