$BON Elev-Tailwater CBT-REV [NAVD88],,
CY2011 - 2015,,12/31/2010
JDAY,ElevFT,
40544,18.91843867,
40545,17.41010533,
40546,19.976772,
40547,20.001772,
40548,17.67260533,
40549,16.21843867,
40550,16.351772,
40551,15.66010533,
40552,17.24343867,
40553,16.84343867,
40554,17.75593867,
40555,19.01010533,
40556,19.04760533,
40557,18.751772,
40558,20.21010533,
40559,20.62260533,
40560,24.339272,
40561,26.37260533,
40562,27.02260533,
40563,26.026772,
40564,24.626772,
40565,24.19343867,
40566,25.41843867,
40567,25.83510533,
40568,25.551772,
40569,23.39343867,
40570,24.964272,
40571,24.63093867,
40572,23.264272,
40573,21.33510533,
40574,22.776772,
40575,22.914272,
40576,20.99760533,
40577,20.776772,
40578,20.91010533,
40579,19.289272,
40580,18.31010533,
40581,17.82260533,
40582,20.89343867,
40583,22.201772,
40584,21.48093867,
40585,21.49343867,
40586,22.214272,
40587,19.98510533,
40588,19.99760533,
40589,22.74343867,
40590,23.01843867,
40591,22.139272,
40592,22.66843867,
40593,21.876772,
40594,21.851772,
40595,21.026772,
40596,20.48510533,
40597,21.56010533,
40598,21.23510533,
40599,19.78510533,
40600,19.81010533,
40601,20.326772,
40602,20.55593867,
40603,22.926772,
40604,22.33510533,
40605,22.80593867,
40606,22.31010533,
40607,21.201772,
40608,20.489272,
40609,21.58510533,
40610,21.81010533,
40611,22.03510533,
40612,22.68093867,
40613,23.201772,
40614,23.601772,
40615,21.489272,
40616,22.49343867,
40617,22.53093867,
40618,22.43510533,
40619,23.61843867,
40620,23.94343867,
40621,23.79343867,
40622,22.03093867,
40623,21.86843867,
40624,21.34343867,
40625,23.251772,
40626,23.301772,
40627,22.95593867,
40628,22.80593867,
40629,23.57260533,
40630,23.001772,
40631,22.239272,
40632,23.57260533,
40633,25.33093867,
40634,26.251772,
40635,28.289272,
40636,30.19760533,
40637,30.226772,
40638,31.19760533,
40639,30.49343867,
40640,29.17260533,
40641,27.489272,
40642,27.67260533,
40643,28.139272,
40644,27.776772,
40645,27.19760533,
40646,26.539272,
40647,25.589272,
40648,25.351772,
40649,24.38093867,
40650,24.49343867,
40651,25.626772,
40652,25.96843867,
40653,26.24343867,
40654,25.82260533,
40655,26.44343867,
40656,25.026772,
40657,24.32260533,
40658,24.589272,
40659,23.98093867,
40660,25.039272,
40661,24.81010533,
40662,24.31843867,
40663,22.65593867,
40664,24.526772,
40665,24.23093867,
40666,23.69760533,
40667,24.48093867,
40668,24.43093867,
40669,23.851772,
40670,23.08510533,
40671,23.489272,
40672,25.464272,
40673,26.08093867,
40674,25.39343867,
40675,25.10010533,
40676,27.601772,
40677,29.16010533,
40678,29.976772,
40679,32.439272,
40680,33.46010533,
