$ QGT_BON_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  QGT_BON_2011_2015_daily_ave.csv ; all outlets scaled to total flow from BONNEVILLE_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; The following days have missing data chunks 40544, 41557, 41593, 41600, 41661, 41678, 41687, 41718, 41754, 41823, 41830, 41836, 41845, 41867, 41958, 41971, 41978, 41993, 42154, 42242, 42264, 42296 that are  1009, 13, 2, 3, 3, 2, 2, 3, 2, 3, 3, 6, 2, 3, 3, 2, 2, 2, 2, 14, 4, 20 days long
"JDAY","POWR1","SB1","SB2","SB3","SB4","SB5","SB6","SB7","SB8","SB9","SB10","SB11","SB12","SB13","SB14","SB15","SB16","SB17","SB18","MISC"
40544,4583.29,6.237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.644,0
40545,5525.686,11.341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.788,0
40546,4961.033,10.361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.136,0
40547,4269.111,8.666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.941,0
40548,5771.253,11.355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.637,0
40549,5728.435,9.792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.584,0
40550,4063.702,6.663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.052,0
40551,3977.571,6.623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.306,0
40552,3817.794,6.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.141,0
40553,4042.851,7.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.207,0
40554,4688.484,10.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.493,0
40555,3728.376,6.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.343,0
40556,4402.927,7.866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.803,0
40557,5248.612,10.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.705,0
40558,5203.938,10.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.332,0
40559,5113.822,8.488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.996,0
40560,5512.71,9.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.641,0
40561,4862.757,9.565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.509,0
40562,6106.353,12.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.888,0
40563,7688.509,14.834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.232,0
40564,7255.486,13.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.229,0
40565,6347.688,12.482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.741,0
40566,6209.196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.028,0
40567,6236.908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.681,0
40568,6523.567,13.235,0,0,0,0.121,0.215,0.069,0.082,0.134,0.089,0.155,0.134,0.083,0.113,0.038,0.116,0,21.224,0
40569,7967.974,16.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.977,0
40570,7181.304,14.451,0,0,0,0,0,0,0,0,0,3.202,0,0,0,0,0,0,6.42,0
40571,6149.229,12.777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.347,0
40572,7711.935,22.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.483,0
40573,7333.63,17.535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.689,0
40574,6556.804,14.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.592,0
40575,5476.943,12.753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.628,0
40576,6104.043,13.676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51,0
40577,6816.994,15.543,0,0,0,0,0.127,0,0,0,0,0.178,0,0,0,0,0,0,9.235,0
40578,5896.154,12.7,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,6.915,0
40579,6254.747,12.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.336,0
40580,6282.657,20.724,0,0,0,0,0.063,0,0,0,0,0,0,0,0,0,0,0,7.678,0
40581,5133.671,22.805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.73,0
40582,4653.745,20.724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.817,0
40583,4548.034,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,10.291,0
40584,5718.922,20.912,6.521,6.588,6.521,3.652,0.318,3.592,3.436,3.664,3.709,0.81,3.616,3.83,4.177,6.557,6.477,6.57,12.626,0
40585,6110.404,13.878,27,27.255,27.029,15.074,0,15.086,14.233,14.979,15.179,6.474,14.805,15.672,17.525,27.132,26.998,27.15,27.825,0
40586,5606.284,14.826,24.103,24.284,24.105,16.76,0,14.149,12.831,20.226,15.617,12.102,12.936,13.895,15.657,18.622,27.327,24.204,24.251,0
40587,6276.384,17.427,16.929,9.397,15.523,16.599,0,2.103,5.64,3.441,14.962,1.67,12.968,2.05,14.238,2.366,16.423,17.089,13.454,0
40588,6634.523,13.619,7.524,0,0.198,0.233,0,0,0,0,0.209,0,0.18,0,0.261,0,7.568,7.293,10.479,0
40589,4920.798,8.883,14.18,6.791,6.554,7.918,0,0,5.428,0,6.818,0,5.566,0,6.598,0,10.861,14.103,8.99,0
40590,5128.297,11.11,10.236,10.758,10.473,10.636,0,3.862,7.575,3.858,9.415,1.837,9.304,3.183,9.101,3.816,11.996,14.041,10.019,0
40591,6100.836,13.679,98.038,96.408,89.933,76.699,0,76.17,70.97,71.526,70.094,70.487,75.432,76.992,76.11,86.776,99.511,99.437,90.112,0
40592,3334.273,0,240.494,240.856,215.332,209.128,0,209.136,201.417,184.366,185.918,184.694,205.065,205.774,205.379,214.438,240.601,240.833,217.369,0
40593,4730.883,11.577,100.332,97.485,85.831,85.409,0,85.078,84.496,63.633,76.002,81.006,68.801,85.327,85.246,74.304,100.113,104.871,94.207,0
40594,4802.237,13.309,122.728,122.805,111.114,98.393,0,98.319,98.054,87.499,98.114,92.609,98.288,98.155,98.12,111.284,124.361,124.394,113.448,0
40595,4827.991,15.405,102.538,102.488,93.389,85.849,40.082,85.364,83.332,74.676,74.865,80.464,80.397,80.528,83.103,88.9,102.586,111.99,101.262,0
40596,4755.762,13.818,92.421,92.276,86.321,90.361,77.867,77.944,77.963,63.322,63.459,63.438,74.791,76.428,78.194,89.882,100.842,93.006,92.472,0
40597,4489.704,14.126,89.416,88.584,87.686,84.233,75.528,75.293,75.155,61.669,63.593,65.349,74.041,75.099,75.529,87.832,99.684,92.791,92.086,0
40598,4275.388,13.05,77.761,77.73,74.844,68.053,65.593,66.359,66.178,57.285,63.74,64.212,65.788,66.288,66.212,74.927,86.39,84.899,82.877,0
40599,6439.838,15.198,0,0,0,0,0.467,0,0.058,0,0,0,0,0,0,0,0,0,8.435,0
40600,5521.008,19.314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.238,0
40601,5014.562,18.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.234,0
40602,5346.144,18.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.319,0
40603,6084.312,20.621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.619,0
40604,5240.988,17.929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.649,0
40605,6698.338,23.679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.561,0
40606,6532.712,10.607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.223,0
40607,6290.735,20.458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.607,0
40608,6149.333,17.822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.547,0
40609,5417.392,19.734,15.739,8.092,8.219,8.209,8.269,0.321,8.265,0.023,8.108,0.07,9.721,0.3,9.501,9.622,9.34,14.528,18.126,0
40610,4818.626,25.84,23.033,17.916,17.855,16.609,16.112,16.164,16.627,12.272,16.671,9.523,16.642,12.309,16.494,18.04,20.283,21.513,26.005,0
40611,5473.484,38.278,30.51,28.629,25.399,23.3,17.666,20.068,23.39,13.414,23.389,17.546,13.516,23.228,23.313,25.787,29.101,30.055,38.616,0
40612,5736.161,41.704,34.165,32.405,20.865,29.757,17.505,18.789,27.709,12.089,27.224,18.769,13.475,27.99,28.414,20.744,33.33,35.134,49.484,0
40613,5412.548,58.815,46.495,43.998,38.363,37.663,44.14,33.619,35.851,25.475,35.599,32.485,26.998,36.709,37.359,43.198,72.904,25.823,56.455,0
40614,5606.923,56.18,46.111,43.238,39.796,37.89,35.453,36.235,36.2,19.886,35.857,35.407,24.113,36.337,37.477,39.791,49.899,0,54.286,0
40615,6201.645,53.875,37.263,34.925,27.438,29.203,22.377,28.356,27.839,23.632,27.806,26.521,24.022,28.363,29.179,28.67,36.331,0,54.829,0
40616,6977.688,46.293,23.48,20.481,20.868,19.135,3.608,17.68,13.901,11.434,15.4,9.761,11.188,21.475,16.309,20.034,22.621,0,37.623,0
40617,5052.629,45.962,33.866,33.35,32.682,29.912,26.874,33.041,26.553,13.751,27.817,25.881,32.052,29.749,28.189,32.784,33.813,0,46.768,0
40618,4906.219,62.108,53.938,52.445,52.465,52.404,51.321,52.145,52.319,0,52.192,52.144,51.576,53.246,52.268,52.194,54,0,62.553,0
40619,5933.42,42.942,31.002,30.126,29.444,29.86,13.488,29.67,29.623,15.453,29.71,29.378,28.823,30.25,29.572,29.419,30.679,0,48.5,0
40620,5295.334,46.901,30.43,29.608,25.971,26.269,13.529,26.075,26.008,25.931,26.044,25.882,25.614,26.621,26.113,25.94,30.113,0,46.877,0
40621,6080.619,58.398,45.257,43.29,40.276,39.935,30.955,38.415,37.914,14.019,37.921,37.82,31.822,38.56,39.954,35.147,44.035,0,58.948,0
40622,6157.479,60.777,52.404,49.708,49.765,49.709,49.862,48.363,48.192,4.847,48.33,48.08,48.206,48.831,49.817,50.073,49.922,0,61.756,0
40623,7018.452,22.383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.399,0
40624,5858.595,17.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.867,0
40625,5829.838,30.14,26.038,21.255,14.699,14.727,14.341,8.567,14.755,7.926,15.251,6.793,13.368,7.757,15.132,9.46,20.599,0,30.441,0
40626,5629.31,16.914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.773,0
40627,6649.256,20.509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.563,0
40628,6460.95,18.969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.866,0
40629,6195.051,17.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.914,0
40630,6473.029,37.043,14.672,14.656,11.498,11.701,5.632,11.838,9.217,11.583,10.948,5.581,6.436,9.487,10.299,11.566,14.309,1.827,37.625,0
40631,7063.19,21.188,1.492,1.507,1.312,1.197,0.77,1.415,0.883,1.407,1.237,0.721,0.832,0.871,0.972,1.42,1.524,0,22.289,0
40632,6277.603,34.444,26.724,21.653,19.196,16.693,10.188,12.758,12.094,11.399,15.241,10.931,17.18,12.882,19.468,14.897,24.118,0,34.809,0
40633,5705.453,35.809,34.149,27.373,22.751,21.847,20.278,22.666,21.628,22.056,23.194,21.098,22.139,22.546,22.862,23.187,28.145,0,35.592,0
