$TDG DYNAMIC TARGET INPUT,,
,,
JDAY,TDG (%),
40544.00,115.00,
40633.00,115.00,
40634.00,120.00,
40786.00,120.00,
40787.00,115.00,
40908.00,115.00,
40909.00,115.00,
40999.00,115.00,
41000.00,120.00,
41152.00,120.00,
41153.00,115.00,
41274.00,115.00,
41275.00,115.00,
41364.00,115.00,
41365.00,120.00,
41517.00,120.00,
41518.00,115.00,
41639.00,115.00,
41640.00,115.00,
41729.00,115.00,
41730.00,120.00,
41882.00,120.00,
41883.00,115.00,
42004.00,115.00,
42005.00,115.00,
42094.00,115.00,
42095.00,120.00,
42247.00,120.00,
42248.00,115.00,
42369.00,115.00,
42370.00,115.00,
