$ BONNEVILLE-DAM AT COLUMBIA RIVER TAILWATER_TWELEV.csv based on BONNEVILLE-DAM AT COLUMBIA RIVER TAILWATER/ELEV-TAILWATER NAVD88 from PA_EXT_smoothed_fb 2020-01-03 1542_NAVD88.dss
Units in  feet ;Based on Excel conventions, JDAY 1 is 1899-12-31; JDAY 40544 is 2011-01-01
"JDAY","BONNEVILLE.DAM.AT.COLUMBIA.RIVER.TAILWATER_TWELEV"
40544,19.24
40545,18.96
40546,16.7
40547,19.66
40548,19.81
40549,17.58
40550,19.36
40551,18.51
40552,19.29
40553,20.67
40554,19.59
40555,19.14
40556,19.8
40557,20.79
40558,21.1
40559,22.41
40560,22.4
40561,27.46
40562,30.47
40563,28.14
40564,27.02
40565,26.04
40566,25.72
40567,25.57
40568,26.06
40569,24.67
40570,23.08
40571,25.02
40572,24.52
40573,24.06
40574,22.33
40575,23.21
40576,23.21
40577,22.18
40578,22.12
40579,21.91
40580,22.22
40581,21.45
40582,21.22
40583,24.03
40584,22.29
40585,21.97
40586,21.58
40587,22.63
40588,20.39
40589,21.26
40590,23.01
40591,21.74
40592,21.28
40593,22.72
40594,22.14
40595,21.77
40596,21.94
40597,20.23
40598,22.22
40599,19.5
40600,20.2
40601,19.41
40602,21.67
40603,19.15
40604,20.07
40605,19.26
40606,18.6
40607,19.21
40608,18.57
40609,18.31
40610,18.98
40611,19.54
40612,20.45
40613,18.42
40614,20.79
40615,23.22
40616,19.79
40617,21.05
40618,21.45
40619,20.12
40620,22.94
40621,23.58
40622,23.74
40623,20.5
40624,20.89
40625,20.8
40626,21.65
40627,19.62
40628,20.01
40629,20.7
40630,21.18
40631,20.31
40632,20.51
40633,18.71
40634,22.12
40635,25.48
40636,24.52
40637,28.34
40638,27.99
40639,27.82
40640,28.23
40641,27.47
40642,25.18
40643,26.12
40644,25.35
40645,25.03
40646,25.54
40647,24.66
40648,25.15
40649,25.31
40650,21.85
40651,24.94
40652,25.36
40653,24.58
40654,24.89
40655,23.12
40656,24.81
40657,23.59
40658,23.44
40659,23.78
40660,22.49
40661,24.05
40662,22.92
40663,22.43
40664,23.2
40665,23.47
40666,21.28
40667,21.06
40668,20.52
40669,20.84
