$1980 DeGray Reservoir branch 1 inflow constituents                                   ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
JDAY,TDS,TRACER,COLIFRM,ISS,PO4,NH4,NO3,LDOM,RDOM,LPOM,ALG1,DO,TIC,ALK
2,70,100,17,62,0.02,0.1,0.42,7.333,17.111,0.9,0,13.9,12.29,29
9,90,100,13,0,0.01,0.13,0.37,8,18.667,0.4,0,14,13.14,31
16,64,100,11,17,0,0.11,0.17,9.333,21.778,0,0,10,19.92,34
23,39,100,14,34,0.05,0.1,0.2,10,23.333,0,0,10.4,5.42,8
30,22,100,17,38,0.01,0.11,0.26,4.467,10.422,0.4,0,11.6,17.58,24
37,11,100,101,24,0.01,0.1,0.23,3.867,9.022,0.2,0,12.2,14.11,29
44,67,100,10,11,0.02,0.07,0.2,4.133,9.644,0.2,0,12.2,8.58,22
51,22,100,10,27,0.01,0.05,0.16,2.933,6.844,0.2,0,11.2,9.8,26
58,42,100,10,22,0.01,0.02,0.03,0.867,2.022,0.3,0,10.4,11.91,31
65,63,100,1,16,0,0.11,0,0.733,1.711,0.2,0,10.6,21.03,41
72,60,100,3,9,0,0.07,0,3.333,7.778,0.2,0,8.6,7.61,27
79,59,100,10,25,0.01,0.08,0.1,5.933,13.844,0.2,0,8.8,25.2,13
86,53,100,720,34,0.01,0.07,0.11,5.6,13.067,0.7,0,9.8,12.37,16
93,48,100,500,10,0.01,0.04,0.12,3.733,8.711,0.7,0,10.8,8.66,20
100,50,100,90,6,0,0.1,0.08,4.133,9.644,0.8,0,10.8,9.83,25
107,54,100,38,13,0.02,0.13,0.15,4.467,10.422,0.9,0,10.1,2.42,5
114,51,100,258,19,0.01,0.03,0.03,6.2,14.467,0,0,9.2,10.39,24
121,47,100,25,31,0.01,0.05,0.12,4.133,9.644,0,0,10.3,7.25,15
128,38,100,142,20,0.01,0.1,0.14,5.6,13.067,0.4,0,7.6,8,19
135,30,100,64,10,0.04,0.21,0.21,16,37.333,1.6,0,7.1,9.13,24
142,30,100,47,0,0.02,0.12,0.18,5.067,11.822,0.9,0,9.9,7.23,22
149,32,100,30,4,0.01,0.03,0.19,3.133,7.311,0.7,0,8.7,8.22,28
156,35,100,80,8,0,0.04,0.17,4,9.333,0.7,0,7.2,13.4,30
163,63,100,990,1,0.01,0.04,0.14,4.867,11.356,0.2,0,8.1,14.07,38
170,60,100,2260,0,0.01,0.05,0.04,5.933,13.844,0.2,0,5.8,17.78,44
177,73,100,55,13,0.02,0.05,0.1,6.4,14.933,0.9,0,6.9,11.53,38
184,71,100,245,13,0.03,0.04,0.04,2.933,6.844,0.4,0,6,18.18,46
191,50,100,200,0,0.03,0.09,0.04,5.333,12.444,0.7,0,4.2,13.21,50
198,60,100,310,5,0.01,0.07,0.02,3.133,7.311,0.7,0,5.3,16.71,46
205,88,100,4600,0,0.01,0.06,0.02,5.067,11.822,0.4,0,5.5,15.04,47
212,113,100,900,0,0.05,0.03,0.09,6.533,15.244,1.1,0,7.2,20.56,42
226,61,100,2,18,0.02,0.1,0,4.467,10.422,0.7,0,5.8,23.5,48
233,42,100,1500,37,0.01,0.14,0.01,10,23.333,0.4,0,5.6,15.3,48
240,22,100,2,56,0,0.11,0.01,5.333,12.444,0.4,0,5.4,14.74,46
247,59,100,123,12,0.01,0.06,0.01,5.6,13.067,0.4,0,6.2,13.67,45
261,94,100,0,0,0.01,0.12,0.01,10,23.333,0.9,0,6.7,13.99,48
268,92,100,0,3,0.01,0.08,0.01,4.867,11.356,0.9,0,6.4,13.84,47
275,89,100,190,3,0.03,0.04,1.23,4.733,11.044,0.9,0,8,7.83,13
282,87,100,190,3,0.01,0.04,0.09,2.933,6.844,1.3,0,7.8,10.74,28
289,84,100,190,3,0.01,0.04,0.09,3.2,7.467,1,0,9.4,11.9,36
296,82,100,190,3,0.01,0.04,0.09,3.4,7.933,0.7,0,8.1,9.48,22
303,80,100,190,3,0.02,0.08,0.09,6.4,14.933,0.7,0,8.2,7,25
310,77,100,190,3,0.01,0.08,0.09,2.933,6.844,0.4,0,10.2,8.95,31
317,75,100,190,6,0.01,0.08,0.09,4.267,9.956,0.7,0,10.2,10.31,38
324,75,100,190,6,0.03,0.08,0.09,6.667,15.556,0.7,0,10.2,6.52,23
331,75,100,190,6,0.01,0.08,0.09,12.667,29.556,0.2,0,11.6,7.37,26
338,75,100,190,6,0.01,0.08,0.09,4.133,9.644,0.2,0,9,11.18,30
345,75,100,190,6,0.02,0.08,0.09,8.667,20.222,0.3,0,8.7,5.06,10
352,75,100,190,6,0.02,0.08,0.09,12.667,29.556,0.4,0,10.1,14.7,28
359,75,100,190,6,0.01,0.08,0.09,3.867,9.022,0.2,0,12.5,17.09,27
366,75,100,190,6,0.01,0.08,0.09,3.867,9.022,0.2,0,12.5,17.09,27
