$Detroit Simplified Grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,
DLX,0,844.9,1086.3,638.2,402.1,434.5,532.5,1916.6,1430.2,3431.3,3244.8,0,0,778.953,778.953,778.953,778.953,778.953,778.953,0,0,618.25,618.25,618.25,618.25,0,0,439.9,439.9,879.8,0,,
ELWS,441.09,441.09,441.09,441.09,441.09,441.09,441.09,441.09,441.09,441.09,441.09,441.09,441.09,441.09,441.09,441.09,441.09,441.09,441.09,441.09,441.09,441.09,441.09,441.09,441.09,441.09,441.09,441.09,441.09,441.09,441.09,,
PHI0,0,2.382,2.312,2.012,1.53,0.96,0.76,0.9,0.8,1.25,2.542,0,0,0.72,0.72,0.72,0.72,0.72,0.72,0,0,2.122,2.582,2.352,2.422,0,0,3.802,3.862,3.962,0,,
FRIC,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,,
LAYERH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,ELEV
1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1.95,0,130.54,303.41,252.34,383.12,409.33,584.33,712.32,1490.14,966.09,581.38,0,0,108.21,241.13,562.49,688.38,837.82,994.26,0,0,126.8,465.4,302.09,408.61,0,0,104.87,192.06,366.99,0,2,
1.95,0,130.54,303.41,252.34,383.12,409.33,584.33,712.32,1490.14,966.09,581.38,0,0,108.21,241.13,562.49,688.38,837.82,994.26,0,0,126.8,465.4,302.09,408.61,0,0,104.87,192.06,366.99,0,3,
1.95,0,130.54,303.41,252.34,383.12,409.33,584.33,712.32,1490.14,966.09,581.38,0,0,108.21,241.13,562.49,688.38,837.82,994.26,0,0,126.8,465.4,302.09,408.61,0,0,104.87,192.06,366.99,0,4,
1.95,0,130.54,303.41,252.34,383.12,409.33,584.33,712.32,1490.14,966.09,581.38,0,0,108.21,241.13,562.49,688.38,837.82,994.26,0,0,126.8,465.4,302.09,408.61,0,0,104.87,192.06,366.99,0,5,
1.95,0,130.54,303.41,252.34,383.12,409.33,584.33,712.32,1490.14,966.09,581.38,0,0,108.21,241.13,562.49,688.38,837.82,994.26,0,0,126.8,465.4,302.09,408.61,0,0,104.87,192.06,366.99,0,6,
