$Concentration file for segment 151,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
JDAY,TDS,AGE,TRACER,COLIFORM,Conduct,Chlorine,ISS1,PO4,NH4,NOx,LDOM,RDOM,LPOM,RPOM,1CBOD,2CBOD,3CBOD,4CBOD,5CBOD,ALG1,DO,TIC,ALK,
1.04,0,0,0,0,0,0,0,0.03,0.01,0.3,0.1,0.1,0.1,0.1,0,0,0,0,0,0.1,12,5,19.8,
1.1,1.3,0.0595,0,0.00754,2.21,0.0167,0.0000717,0.0299,0.012,0.307,0.11,0.0991,0.0989,0.0989,0,.577-266,.711-230,5.95E-49,0.000466,0.099,11.9,5.24,20.7,
1.2,4.61,0.158,0,0.0114,8,0.054,0.000102,0.0296,0.0153,0.324,0.125,0.0968,0.0962,0.0963,.484-213,.243-163,.297-129,0.0000000000969,0.000724,0.0965,11.8,5.83,23,
1.3,7.23,0.253,0,0.192,16.8,0.564,0.0215,0.0483,0.0195,0.458,0.139,0.0944,0.0935,0.0936,.106-144,7.31E-77,1.54E-60,0.229,0.0026,0.0941,11.8,6.46,25.5,
1.4,9.21,0.348,0,0.256,17.9,0.494,0.0164,0.0431,0.0152,0.441,0.158,0.0936,0.0923,0.0925,.526-104,1.3E-53,7.9E-19,0.167,0.00963,0.0935,11.9,6.72,26.6,
1.5,18,0.438,0,0.293,33.7,0.647,0.0187,0.0429,0.000356,0.49,0.177,0.0874,0.086,0.0862,1.18E-60,5.77E-27,0.0000000127,0.192,0.011,0.0878,12,8.12,32.7,
1.6,21.3,0.524,0,0.382,39.8,0.806,0.0233,0.0461,0.000357,0.524,0.193,0.0852,0.0835,0.0838,9.03E-23,0.0000000000043,0.0079,0.241,0.015,0.0866,12.2,8.64,35,
1.7,25.8,0.606,0,0.413,48.1,0.887,0.0253,0.0453,0.000388,0.539,0.213,0.082,0.0802,0.0805,0.00000000000973,0.00359,0.032,0.248,0.0167,0.0841,12.2,9.39,38.2,
1.8,29.7,0.685,0,0.409,55.8,0.938,0.0294,0.0448,0.00408,0.561,0.226,0.079,0.0769,0.0773,0.0000519,0.0198,0.0405,0.249,0.0164,0.081,12,10.2,41.2,
1.9,33.2,0.763,0,0.547,61.2,1.01,0.0359,0.0439,0.00773,0.558,0.23,0.0724,0.0702,0.0706,0.00156,0.0263,0.0545,0.249,0.0779,0.0768,11.8,10.5,42.3,
2,56.6,0.807,0,1.88,90.5,1.55,0.0745,0.033,0.0119,0.458,0.155,0.0146,0.0141,0.0142,0.00323,0.0331,0.0578,0.25,0.714,0.047,11.9,10.8,43.2,
2.1,62,0.811,0,2.2,97,1.67,0.0837,0.0304,0.0154,0.432,0.131,0.000871,0.000872,0.000839,0.00345,0.0339,0.0587,0.247,0.868,0.0402,11.9,10.8,43.2,
2.2,62.1,0.81,0,2.23,97,1.68,0.0845,0.0305,0.0185,0.431,0.126,0.0000522,0.0000847,0.0000455,0.00346,0.034,0.0596,0.248,0.878,0.0398,11.8,10.8,43,
2.3,62.1,0.81,0,2.23,97.1,1.7,0.0851,0.031,0.0209,0.433,0.123,0.00000801,0.0000442,0.0000028,0.00347,0.0341,0.0586,0.255,0.879,0.0398,11.8,10.8,43,
2.4,62.3,0.807,0,2.23,97.5,1.7,0.0848,0.0307,0.0132,0.436,0.12,0.00000502,0.0000405,0.000000279,0.00346,0.034,0.0587,0.253,0.877,0.0397,11.9,10.8,43.2,
2.5,63,0.805,0,2.22,98.7,1.7,0.0844,0.0302,0.000369,0.44,0.114,0.00000446,0.0000367,0.000000199,0.00344,0.0337,0.0583,0.254,0.87,0.0395,12.1,10.9,43.8,
2.6,63.2,0.803,0,2.22,99.1,1.71,0.0844,0.0302,0.000368,0.441,0.108,0.00000382,0.0000345,0.00000000251,0.00342,0.0335,0.0582,0.255,0.869,0.0396,12.3,10.9,44,
2.7,63.2,0.803,0,2.22,99.2,1.71,0.0844,0.0296,0.000379,0.432,0.111,0.00000379,0.0000361,0.00000000126,0.00342,0.0336,0.0583,0.256,0.868,0.0397,12.4,10.9,44.1,
2.8,63.3,0.803,0,2.21,99.3,1.71,0.0843,0.0305,0.00363,0.432,0.113,0.00000393,0.0000375,0.00000000125,0.00342,0.034,0.0584,0.255,0.867,0.0397,12.2,10.9,44,
2.9,63.2,0.805,0,2.21,99.3,1.71,0.0844,0.0307,0.00696,0.432,0.112,0.00000399,0.0000376,0.00000000129,0.00344,0.0341,0.0587,0.256,0.867,0.0395,12,11,44,
3,63.3,0.805,0,2.21,99.4,1.7,0.0842,0.0312,0.0109,0.44,0.111,0.00000406,0.000037,0.00000000126,0.00345,0.0343,0.0589,0.255,0.866,0.0394,11.9,11,44.1,
3.1,63.7,0.804,0,2.19,100,1.71,0.0838,0.0317,0.0142,0.448,0.111,0.00000423,0.0000371,0.00000000128,0.00345,0.0342,0.0592,0.256,0.861,0.0391,11.8,11.1,44.4,
3.2,64.5,0.801,0,2.18,102,1.73,0.0839,0.0324,0.017,0.46,0.11,0.00000445,0.0000396,0.00000000139,0.0034,0.0337,0.062,0.263,0.852,0.0386,11.7,11.4,45.2,
3.3,64.9,0.8,0,2.17,103,1.74,0.084,0.0326,0.0194,0.463,0.112,0.00000478,0.0000443,0.00000000162,0.00339,0.0336,0.0624,0.266,0.849,0.0385,11.7,11.5,45.6,
3.4,64.8,0.807,0,2.16,103,1.73,0.0837,0.0325,0.0163,0.463,0.113,0.0000048,0.0000454,0.0000000017,0.00339,0.0336,0.0629,0.265,0.848,0.0384,11.7,11.4,45.6,
3.5,65.1,0.807,0,2.15,103,1.73,0.0835,0.0318,0.00037,0.464,0.111,0.00000435,0.0000412,0.00000000151,0.00337,0.0337,0.0647,0.264,0.844,0.0383,11.9,11.4,45.9,
3.6,65.4,0.808,0,2.14,104,1.73,0.0833,0.0317,0.000369,0.466,0.107,0.00000393,0.0000372,0.00000000131,0.00345,0.0347,0.0662,0.265,0.841,0.0383,12.1,11.5,46.2,
3.7,65.5,0.81,0,2.14,104,1.73,0.0834,0.0313,0.000411,0.46,0.111,0.00000384,0.0000371,0.00000000129,0.00354,0.0351,0.0662,0.265,0.84,0.0384,12.2,11.4,46.2,
3.8,65.5,0.811,0,2.14,104,1.73,0.0834,0.0304,0.00347,0.461,0.112,0.00000403,0.0000384,0.00000000133,0.00354,0.0358,0.0661,0.328,0.839,0.0383,12.1,11.5,46.4,
3.9,65.5,0.814,0,2.13,104,1.74,0.0833,0.0306,0.00654,0.462,0.111,0.00000423,0.0000393,0.00000000137,0.00354,0.036,0.066,0.332,0.839,0.0382,11.9,11.6,46.4,
4,65.8,0.818,0,2.14,105,1.76,0.0838,0.0319,0.0103,0.476,0.11,0.00000438,0.0000396,0.0000000014,0.00352,0.0359,0.0659,0.346,0.836,0.038,11.8,11.7,46.7,
4.1,66.3,0.818,0,2.14,106,1.77,0.0834,0.0325,0.0135,0.487,0.108,0.00000445,0.0000392,0.0000000014,0.00351,0.0357,0.0653,0.347,0.831,0.0377,11.8,11.8,47.1,
4.2,66.7,0.82,0,2.13,107,1.78,0.0829,0.0327,0.016,0.493,0.105,0.00000446,0.0000392,0.00000000141,0.00348,0.0354,0.0692,0.346,0.828,0.0375,11.8,11.9,47.5,
4.3,66.3,0.821,0,2.23,109,2.08,0.0967,0.045,0.0189,0.567,0.104,0.0000046,0.0000414,0.00000000152,0.00348,0.0358,0.0768,0.537,0.825,0.0374,11.8,11.9,47.8,
4.4,66.4,0.827,0,2.22,109,2.1,0.0971,0.0455,0.0106,0.572,0.106,0.00000475,0.000044,0.00000000166,0.00359,0.0371,0.078,0.549,0.824,0.0373,11.9,11.9,47.9,
4.5,66.5,0.828,0,2.23,110,2.11,0.0972,0.0452,0.000373,0.57,0.104,0.00000449,0.0000426,0.00000000161,0.00368,0.0376,0.0789,0.553,0.822,0.0375,12.1,11.9,48,
4.6,66.5,0.829,0,2.26,110,2.14,0.0983,0.0458,0.000373,0.574,0.0995,0.00000415,0.0000406,0.00000000148,0.0037,0.0377,0.0792,0.564,0.825,0.0378,12.2,11.9,48.1,
4.7,66.9,0.826,0,2.31,110,2.13,0.0978,0.0449,0.000372,0.569,0.0984,0.00000388,0.0000417,0.00000000145,0.0037,0.0377,0.0788,0.556,0.823,0.038,12.3,11.9,48.3,
4.8,66.6,0.824,0,20.8,110,2.11,0.0975,0.0398,0.00328,0.555,0.0995,0.00000396,0.0000445,0.00000000153,0.0037,0.039,0.0792,0.615,0.825,0.0379,12.1,11.8,48,
4.9,66.4,0.825,0,21.5,109,2.11,0.0979,0.0397,0.00641,0.555,0.0998,0.00000409,0.0000453,0.00000000159,0.0037,0.0406,0.0804,0.617,0.826,0.0379,12,11.8,47.9,
