$spokane temperature and wind data data -2000,,,,,,
cloud cover based on odessa short wave solar data,,,,,,
JDAY,TAIR,TDEW,WIND,PHI,CLOUD,
1.039,-3.9,-3.9,2.06,3.67,7.54,
1.081,-3.3,-3.9,1.54,3.32,7.54,
1.122,-2.8,-3.3,0,0,7.54,
1.164,-2.8,-2.8,0,0,7.54,
1.206,-1.7,-2.8,0,0,7.54,
1.247,-1.7,-2.2,2.06,2.44,7.54,
1.289,-1.1,-1.1,1.54,1.57,7.54,
1.331,-1.7,-2.8,1.54,1.4,7.54,
1.372,-1.1,-1.1,2.06,2.44,7.54,
1.414,0,0,5.15,3.67,7.54,
1.456,0.6,0,5.15,3.49,7.54,
1.497,0.6,0,5.66,3.84,7.54,
1.539,1.1,0,6.17,3.84,7.54,
1.581,0.6,0,5.66,3.84,7.54,
1.622,0.6,-0.6,7.2,3.84,7.54,
1.664,0.6,-1.1,6.69,3.84,7.54,
1.706,-0.6,-2.2,7.2,4.19,7.54,
1.747,-1.7,-3.3,5.15,4.01,7.54,
1.789,-1.1,-2.8,4.12,3.84,7.54,
1.831,-1.1,-2.2,5.15,3.84,7.54,
1.872,-1.1,-2.2,4.63,3.84,7.54,
1.914,-1.7,-2.8,4.63,3.84,7.54,
1.956,-1.7,-2.8,5.15,3.49,7.54,
1.997,-2.2,-2.8,5.15,3.84,7.54,
2.039,-2.2,-2.8,6.17,3.67,4.86,
2.081,-2.2,-2.8,5.15,3.67,4.86,
2.122,-2.2,-3.3,4.63,3.84,4.86,
2.164,-2.2,-3.3,5.15,3.49,4.86,
2.206,-2.2,-3.9,5.66,3.49,4.86,
2.247,-2.2,-3.3,5.15,3.67,4.86,
2.289,-1.7,-2.8,5.15,3.49,4.86,
2.331,-1.7,-2.8,4.63,3.67,4.86,
2.372,-1.1,-2.8,3.6,3.67,4.86,
2.414,-1.1,-2.2,4.63,3.67,4.86,
2.456,-1.1,-2.2,3.09,3.84,4.86,
2.497,-0.6,-2.8,4.12,4.01,4.86,
2.539,-0.6,-2.8,4.12,4.01,4.86,
2.581,-0.6,-2.8,4.12,3.67,4.86,
2.622,-1.1,-2.8,4.63,4.54,4.86,
2.664,-1.7,-3.9,3.6,5.59,4.86,
2.706,-2.2,-3.9,4.12,4.71,4.86,
2.747,-1.7,-3.9,4.12,5.06,4.86,
2.789,-2.2,-3.9,4.12,5.06,4.86,
2.831,-2.8,-4.4,2.57,4.71,4.86,
2.872,-2.8,-4.4,2.57,4.89,4.86,
2.914,-2.8,-5,2.06,4.01,4.86,
2.956,-3.3,-5,2.57,3.84,4.86,
2.997,-3.3,-5,3.6,3.32,4.86,
3.039,-3.3,-5,3.09,3.84,9.48,
3.081,-3.9,-5.6,3.6,4.19,9.48,
3.122,-3.9,-6.1,2.06,3.84,9.48,
3.164,-3.9,-6.1,2.57,4.01,9.48,
3.206,-3.9,-6.1,2.57,3.84,9.48,
3.247,-3.9,-5.6,4.12,3.32,9.48,
