$Temperature file for segment 151,,
,,
JDAY,T,
1.04,4,
1.1,3.99,
1.2,4.06,
1.3,4.1,
1.4,4.03,
1.5,4.42,
1.6,4.54,
1.7,4.7,
1.8,4.81,
1.9,4.68,
2,4.08,
2.1,3.88,
2.2,3.85,
2.3,3.86,
2.4,3.85,
2.5,3.87,
2.6,3.95,
2.7,4.03,
2.8,4.04,
2.9,3.98,
3,3.9,
3.1,3.9,
3.2,4.01,
3.3,4.12,
3.4,4.11,
3.5,4.07,
3.6,4.04,
3.7,4.07,
3.8,4.09,
3.9,4.08,
4,4.06,
4.1,4.03,
4.2,4.02,
4.3,4.07,
4.4,4.12,
4.5,4.19,
4.6,4.29,
4.7,4.37,
4.8,4.37,
4.9,4.26,
5,4.11,
5.1,4.07,
5.2,4.17,
5.3,4.23,
5.4,4.28,
5.5,4.3,
5.6,4.29,
5.7,4.32,
5.8,4.36,
5.9,4.36,
6,4.26,
6.1,4.16,
6.2,4.04,
6.3,4.15,
6.4,4.29,
6.5,4.33,
6.6,4.3,
6.7,4.3,
6.8,4.37,
6.9,4.39,
7,4.36,
7.1,4.36,
7.2,4.33,
7.3,4.36,
7.4,4.45,
7.5,4.58,
7.6,4.64,
7.7,4.69,
7.8,4.72,
7.9,4.69,
8,4.64,
8.1,4.55,
8.2,4.4,
8.3,4.37,
8.4,4.44,
8.5,4.57,
8.6,4.63,
8.7,4.59,
8.8,4.55,
8.9,4.4,
9,4.21,
9.1,4.08,
9.2,4.04,
9.3,4.06,
9.4,4.14,
9.5,4.22,
9.6,4.15,
9.7,3.91,
9.8,3.73,
9.9,3.59,
10,3.49,
10.1,3.49,
10.2,3.48,
10.3,3.59,
10.4,3.74,
10.5,3.88,
10.6,3.99,
10.7,4.02,
10.8,4.16,
10.9,4.28,
11,4.34,
11.1,4.4,
11.2,4.45,
11.3,4.51,
11.4,4.59,
11.5,4.69,
11.6,4.7,
11.7,4.67,
11.8,4.65,
11.9,4.62,
12,4.54,
12.1,4.45,
12.2,4.35,
12.3,4.23,
12.4,4.2,
12.5,4.3,
12.6,4.37,
12.7,4.4,
12.8,4.4,
12.9,4.36,
13,4.28,
13.1,4.18,
13.2,4.12,
13.3,4.16,
13.4,4.31,
13.5,4.5,
13.6,4.7,
13.7,4.74,
13.8,4.74,
13.9,4.77,
14,4.76,
14.1,4.81,
14.2,4.87,
14.3,4.93,
14.4,5.04,
14.5,5.22,
14.6,5.29,
14.7,5.28,
14.8,5.2,
14.9,5.15,
15,4.99,
15.1,4.7,
15.2,4.52,
15.3,4.27,
15.4,4.19,
15.5,4.4,
15.6,4.57,
15.7,4.59,
15.8,4.53,
15.9,4.33,
16,4.11,
16.1,3.95,
16.2,3.8,
16.3,3.87,
16.4,3.97,
16.5,4.22,
16.6,4.42,
16.7,4.43,
16.8,4.31,
16.9,4.21,
17,4.11,
17.1,3.87,
17.2,3.66,
17.3,3.58,
17.4,3.56,
17.5,3.78,
17.6,3.91,
17.7,3.85,
17.8,3.7,
17.9,3.59,
18,3.46,
18.1,3.39,
18.2,3.43,
18.3,3.51,
18.4,3.66,
18.5,3.97,
18.6,4.2,
18.7,4.27,
18.8,4.21,
18.9,4.05,
19,3.86,
19.1,3.71,
19.2,3.62,
19.3,3.59,
19.4,3.68,
19.5,3.95,
19.6,4.14,
19.7,4.14,
19.8,4.03,
19.9,3.93,
20,3.82,
20.1,3.74,
20.2,3.69,
20.3,3.72,
20.4,3.85,
20.5,4.07,
20.6,4.2,
20.7,4.15,
20.8,4.05,
20.9,4,
21,3.93,
21.1,3.89,
21.2,3.88,
21.3,3.9,
21.4,3.96,
21.5,4.11,
21.6,4.23,
21.7,4.22,
21.8,4.19,
21.9,4.18,
22,4.14,
22.1,4.11,
22.2,4.08,
22.3,4.07,
22.4,4.13,
22.5,4.24,
22.6,4.28,
22.7,4.24,
22.8,4.18,
22.9,4.15,
23,4.11,
23.1,4.09,
23.2,4.1,
23.3,4.08,
23.4,4.04,
23.5,4.15,
23.6,4.35,
23.7,4.41,
23.8,4.43,
23.9,4.39,
24,4.28,
24.1,4.25,
24.2,4.21,
24.3,4.18,
24.4,4.22,
24.5,4.4,
24.6,4.51,
24.7,4.49,
24.8,4.42,
24.9,4.35,
25,4.28,
25.1,4.24,
25.2,4.22,
25.3,4.22,
25.4,4.28,
25.5,4.42,
25.6,4.58,
25.7,4.61,
25.8,4.58,
25.9,4.55,
26,4.49,
26.1,4.46,
26.2,4.42,
26.3,4.37,
26.4,4.35,
26.5,4.45,
26.6,4.52,
26.7,4.51,
26.8,4.45,
26.9,4.39,
27,4.29,
27.1,4.21,
27.2,4.14,
27.3,4.11,
27.4,4.13,
27.5,4.36,
27.6,4.63,
27.7,4.7,
27.8,4.67,
27.9,4.6,
28,4.47,
28.1,4.35,
28.2,4.28,
28.3,4.24,
28.4,4.32,
28.5,4.58,
28.6,4.82,
28.7,4.84,
28.8,4.72,
28.9,4.55,
29,4.36,
29.1,4.16,
29.2,4.03,
29.3,3.95,
29.4,4.02,
29.5,4.34,
29.6,4.69,
29.7,4.73,
29.8,4.61,
29.9,4.42,
30,4.23,
30.1,4.01,
30.2,3.84,
30.3,3.67,
30.4,3.76,
30.5,4.02,
30.6,4.33,
30.7,4.45,
30.8,4.38,
30.9,4.23,
31,4.08,
31.1,3.87,
31.2,3.8,
31.3,3.66,
31.4,3.74,
31.5,3.96,
31.6,4.22,
31.7,4.33,
31.8,4.25,
31.9,4.09,
32,3.99,
32.1,3.99,
32.2,4.01,
32.3,4.07,
32.4,4.07,
32.5,4.21,
32.6,4.45,
32.7,4.63,
32.8,4.68,
32.9,4.73,
33,4.75,
33.1,4.58,
33.2,4.39,
33.3,4.01,
33.4,3.84,
33.5,2.79,
33.6,2.6,
33.7,2.35,
33.8,2.15,
33.9,2.01,
34,1.87,
34.1,2.26,
34.2,2.81,
34.3,2.8,
34.4,2.85,
34.5,2.95,
34.6,3.16,
34.7,3.36,
34.8,3.4,
34.9,3.41,
35,3.37,
35.1,3.23,
35.2,2.93,
35.3,3.03,
35.4,3.13,
35.5,3.04,
35.6,2.91,
35.7,2.9,
35.8,2.94,
35.9,2.98,
36,2.97,
36.1,2.94,
36.2,2.92,
36.3,2.97,
36.4,2.98,
36.5,3.1,
36.6,3.21,
36.7,3.31,
36.8,3.35,
36.9,3.31,
37,3.22,
37.1,3.15,
37.2,3.15,
37.3,3.22,
37.4,3.18,
37.5,3.01,
37.6,3.02,
37.7,3.09,
37.8,3.11,
37.9,3.1,
38,3.04,
38.1,3.06,
38.2,3.21,
38.3,3.25,
38.4,3.21,
38.5,3.24,
38.6,3.32,
38.7,3.42,
38.8,3.45,
38.9,3.42,
39,3.32,
39.1,3.28,
39.2,3.33,
39.3,3.39,
39.4,3.35,
39.5,3.31,
39.6,3.35,
39.7,3.43,
39.8,3.49,
39.9,3.51,
40,3.48,
40.1,3.45,
40.2,3.47,
40.3,3.42,
40.4,3.3,
40.5,3.3,
40.6,3.42,
40.7,3.49,
40.8,3.43,
40.9,3.3,
41,3.17,
41.1,3.16,
41.2,3.31,
41.3,3.31,
41.4,3.17,
41.5,3.15,
41.6,3.3,
41.7,3.49,
41.8,3.55,
41.9,3.5,
42,3.38,
42.1,3.34,
42.2,3.4,
42.3,3.47,
42.4,3.38,
42.5,3.25,
42.6,3.3,
42.7,3.41,
42.8,3.43,
42.9,3.4,
43,3.33,
43.1,3.33,
43.2,3.4,
43.3,3.44,
43.4,3.36,
43.5,3.32,
43.6,3.38,
43.7,3.47,
43.8,3.51,
43.9,3.52,
44,3.48,
44.1,3.46,
44.2,3.46,
44.3,3.47,
44.4,3.41,
44.5,3.41,
44.6,3.5,
44.7,3.6,
44.8,3.62,
44.9,3.57,
45,3.5,
45.1,3.47,
45.2,3.51,
45.3,3.51,
45.4,3.42,
45.5,3.33,
45.6,3.35,
45.7,3.41,
45.8,3.43,
45.9,3.41,
46,3.32,
46.1,3.28,
46.2,3.29,
46.3,3.27,
46.4,3.23,
46.5,3.28,
46.6,3.46,
46.7,3.57,
46.8,3.55,
46.9,3.47,
47,3.35,
47.1,3.34,
47.2,3.45,
47.3,3.48,
47.4,3.35,
47.5,3.32,
47.6,3.44,
47.7,3.61,
47.8,3.65,
47.9,3.61,
48,3.47,
48.1,3.41,
48.2,3.48,
48.3,3.49,
48.4,3.36,
48.5,3.31,
48.6,3.44,
48.7,3.64,
48.8,3.67,
48.9,3.57,
49,3.41,
49.1,3.42,
49.2,3.61,
49.3,3.67,
49.4,3.55,
49.5,3.44,
49.6,3.49,
49.7,3.64,
49.8,3.7,
49.9,3.67,
50,3.56,
50.1,3.45,
50.2,3.34,
50.3,3.3,
50.4,3.21,
50.5,3.38,
50.6,3.61,
50.7,3.83,
50.8,3.86,
50.9,3.79,
51,3.66,
51.1,3.54,
51.2,3.63,
51.3,3.73,
51.4,3.7,
51.5,3.64,
51.6,3.67,
51.7,3.84,
51.8,3.92,
51.9,3.9,
52,3.79,
52.1,3.71,
52.2,3.73,
52.3,3.89,
52.4,3.98,
52.5,3.95,
52.6,3.91,
52.7,3.99,
52.8,4.05,
52.9,4.03,
53,3.96,
53.1,3.87,
53.2,3.85,
53.3,3.96,
53.4,4.03,
53.5,4.02,
53.6,3.96,
53.7,3.97,
53.8,3.95,
53.9,3.82,
54,3.57,
54.1,3.59,
54.2,3.83,
54.3,3.75,
54.4,3.65,
54.5,3.62,
54.6,3.67,
54.7,3.72,
54.8,3.62,
54.9,3.45,
55,3.3,
55.1,3.28,
55.2,3.43,
55.3,3.47,
55.4,3.46,
55.5,3.43,
55.6,3.59,
55.7,3.78,
55.8,3.79,
55.9,3.68,
56,3.52,
56.1,3.45,
56.2,3.48,
56.3,3.58,
56.4,3.53,
56.5,3.56,
56.6,3.73,
56.7,3.97,
56.8,4.04,
56.9,3.99,
57,3.85,
57.1,3.76,
57.2,3.78,
57.3,3.88,
57.4,3.81,
57.5,3.66,
57.6,3.63,
57.7,3.71,
57.8,3.78,
57.9,3.79,
58,3.74,
58.1,3.69,
58.2,3.71,
58.3,3.7,
58.4,3.64,
58.5,3.58,
58.6,3.6,
58.7,3.69,
58.8,3.73,
58.9,3.67,
59,3.56,
59.1,3.56,
59.2,3.67,
59.3,3.63,
59.4,3.61,
59.5,3.62,
59.6,3.82,
59.7,4.01,
59.8,4.03,
59.9,3.94,
60,3.81,
60.1,3.77,
60.2,3.8,
60.3,3.78,
60.4,3.63,
60.5,3.66,
60.6,3.87,
60.7,4.11,
60.8,4.16,
60.9,4.08,
61,3.92,
61.1,3.89,
61.2,3.96,
61.3,3.91,
61.4,3.71,
61.5,3.55,
61.6,3.65,
61.7,3.78,
61.8,3.83,
61.9,3.81,
62,3.76,
62.1,3.79,
62.2,3.88,
62.3,3.84,
62.4,3.75,
62.5,3.8,
62.6,3.96,
62.7,4.12,
62.8,4.15,
62.9,4.09,
63,4.02,
63.1,4.06,
63.2,4.16,
63.3,4.12,
63.4,3.95,
63.5,3.88,
63.6,3.96,
63.7,4.06,
63.8,4.1,
63.9,4.07,
