$,,,,,,,,,,,,,,,,,,,,,,,
,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,
DLX,0,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,
ELWS,115.84,115.84,114.97,114.1,114.1,114.1,114.1,114.1,114.1,108.89,108.89,108.89,108.89,108.89,108.89,108.89,108.89,108.89,108.89,108.89,108.89,102,
PHIO,0,3.44,2.8,3.18,3.19,3.06,3.15,3.39,3.55,3.39,3.21,3.18,3.22,3.23,3.55,5.59,6.1,6.05,3.22,3.22,3.22,3.22,
MANN,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,
LAYERH,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,53.05,73.45,183.48,678.3,551.79,865.2,820.02,812.55,1209.94,1225.34,1269.29,1488,1625.76,1586.2,1636.84,1417.78,1316.51,1183.19,898.33,1380.54,0,2
1,0,51.21,71.54,116.28,551.64,481.81,606.28,750.7,730.63,884.13,880.6,870.54,1087.56,1236.64,1407.84,1511.49,1373.26,1275.72,1084.57,810.44,1353.6,0,3
1,0,49.65,69.46,94.38,386.67,401.11,338.85,605.92,560.72,758.01,756.28,751.35,756.43,795.65,946.58,1358.82,1154.63,1234.25,962.35,691.79,1282.01,0,4
1,0,48.25,67.37,92.3,247.86,270.95,259.36,396.83,383.54,592.71,593.03,593.93,609.18,695.39,559.73,961.56,910.69,1056.98,852.35,636.41,1196.72,0,5
1,0,46.92,65.52,90.42,168.78,157.84,225.18,249.95,285.56,421.53,442.13,500.9,520.41,650.91,415.42,600.47,485.6,561.44,533.58,395.19,1099.59,0,6
1,0,45.57,63.84,88.34,118.56,107.08,171.09,197.44,212.07,270.4,310.95,426.63,505.02,589.1,363.32,544.6,113.29,178.67,189.11,148.35,815.59,0,7
1,0,44.18,62.33,84.41,92.33,85.12,136.19,192.15,183.28,192.67,230.07,336.77,501.08,529.89,356.33,514.46,106.79,126.18,97.78,103.18,524.03,0,8
1,0,42.82,60.87,79.9,89.08,76.67,130.6,188.2,177.82,184.69,208.53,276.55,497.35,515.68,353.04,505.64,101.25,119.49,85.21,77.52,299.83,0,9
1,0,41.57,59.27,76.59,86.87,70.15,122.03,184.29,172.85,180,202.64,267.23,405.22,498.19,350.37,495.06,96.24,109.39,74.21,66.87,137.98,0,10
1,0,40.44,57.54,74.09,84.67,63.69,115.26,179.35,167.82,172.05,194.29,257.75,313.05,483.19,348.12,487.29,92.21,97.17,64.03,62.12,121.74,0,11
1,0,39.56,55.81,72.37,82.45,58.15,111.31,174,163.26,161.64,183.92,247.5,309.88,472.58,345.91,481.38,88.46,87.45,59.6,56.25,107.03,0,12
1,0,38.87,54,70.59,79.76,53.78,107.49,169.75,156.28,154.58,175.55,235.39,305.66,417.81,343.63,363.14,79.13,75.24,54.08,50.21,89.46,0,13
1,0,37.98,52.01,68.61,73.35,51.46,103.52,164.98,143.83,126.31,150.55,219.7,298.3,357.29,341.37,243.57,66.97,64.59,47.96,44.96,64.38,0,14
1,0,36.84,49.82,66.7,65.75,49.15,98.98,155.53,97.29,90.86,104.33,142.77,182.44,199.77,198.89,214.64,58.89,58.33,44.46,41.13,52.38,0,15
1,0,35.49,47.39,64.73,61.48,46.33,78.15,112.5,53.61,77.21,75.82,71.87,64.38,46.81,56.25,180.37,53.22,52.09,41.89,38.82,41,0,16
1,0,30,40,50,28,42.31,51.84,60,47.52,50,50,60,53.98,39.33,50,50,49.48,46.76,40.07,37.24,38,0,17
1,0,20,22,24,26,30,35,40,35,35,28,34,34,33,35,34,33,32,31,30,30,0,18
1,0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0,19
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,42.82,60.87,79.9,89.08,76.67,130.6,188.2,177.82,184.69,208.53,276.55,497.35,515.68,353.04,505.64,101.25,119.49,85.21,77.52,299.83,,
,,41.57,59.27,76.59,86.87,70.15,122.03,184.29,172.85,180,202.64,267.23,405.22,498.19,350.37,495.06,96.24,109.39,74.21,66.87,137.98,,
