$Chehalis WWTP WQ file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chehalis WWTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY,TDS   ,Gen1(tracer),Gen2(Age),Gen3(FC),ISS,PO4   ,NH4   ,NO3   ,LDOM  ,RDOM  ,LPOM  ,RPOM  ,BOD1,BOD2,BOD3,BOD4,BOD5,BOD6,BOD7,BOD8,BOD9,BOD10,BODP1,BODP2,BODP3,BODP4,BODP5,BODP6,BODP7,BODP8,BODP9,BODP10,BODN1,BODN2,BODN3,BODN4,BODN5,BODN6,BODN7,BODN8,BODN9,BODN10,ALG1  ,DO    ,TIC   ,ALK   ,ZOO1  ,LDOM-P,RDOM-P,LPOM-P,RPOM-P,LDOM-N,RDOM-N,LPOM-N,RPOM-N
1,0,0,0,2,1.700571429,1.1,0.34,2.3,0,0,0,0,0,0,0,0,1.5748,6.2992,0,0,0,0,0,0,0,0,0.015748,0.062992,0,0,0,0,0,0,0,0,0.125984,0.503936,0,0,0,0,0,2.89,58.8855,76.4,0,0,0,0,0,0,0,0,0
2,0,0,0,2,2.226285714,1.1,0.37,2.3,0,0,0,0,0,0,0,0,1.3208,5.2832,0,0,0,0,0,0,0,0,0.013208,0.052832,0,0,0,0,0,0,0,0,0.105664,0.422656,0,0,0,0,0,6.19,51.769,44.3,0,0,0,0,0,0,0,0,0
3,0,0,0,2,2.026285714,1.1,0.38,2.3,0,0,0,0,0,0,0,0,1.3208,5.2832,0,0,0,0,0,0,0,0,0.013208,0.052832,0,0,0,0,0,0,0,0,0.105664,0.422656,0,0,0,0,0,2.9,46.1535,42,0,0,0,0,0,0,0,0,0
4,0,0,0,3.0,2.310285714,1.1,0.39,2.3,0,0,0,0,0,0,0,0,1.6764,6.7056,0,0,0,0,0,0,0,0,0.016764,0.067056,0,0,0,0,0,0,0,0,0.134112,0.536448,0,0,0,0,0,2.24,34.9253,48.7,0,0,0,0,0,0,0,0,0
5,0,0,0,2.7,2.310285714,1.1,0.39,2.3,0,0,0,0,0,0,0,0,1.6764,6.7056,0,0,0,0,0,0,0,0,0.016764,0.067056,0,0,0,0,0,0,0,0,0.134112,0.536448,0,0,0,0,0,2.93,51.5247,76.4,0,0,0,0,0,0,0,0,0
6,0,0,0,2.7,2.310285714,1.1,0.39,2.3,0,0,0,0,0,0,0,0,1.6764,6.7056,0,0,0,0,0,0,0,0,0.016764,0.067056,0,0,0,0,0,0,0,0,0.134112,0.536448,0,0,0,0,0,2.38,51.4045,76.4,0,0,0,0,0,0,0,0,0
7,0,0,0,6.0,2.310285714,1.1,0.39,2.3,0,0,0,0,0,0,0,0,1.6764,6.7056,0,0,0,0,0,0,0,0,0.016764,0.067056,0,0,0,0,0,0,0,0,0.134112,0.536448,0,0,0,0,0,2.77,40.9906,41,0,0,0,0,0,0,0,0,0
8,0,0,0,2.0,7.742857143,1.1,0.44,2.3,0,0,0,0,0,0,0,0,2.54,10.16,0,0,0,0,0,0,0,0,0.0254,0.1016,0,0,0,0,0,0,0,0,0.2032,0.8128,0,0,0,0,0,1.53,45.6709,54.3,0,0,0,0,0,0,0,0,0
9,0,0,0,3.0,4.194285714,1.1,0.18,2.3,0,0,0,0,0,0,0,0,2.032,8.128,0,0,0,0,0,0,0,0,0.02032,0.08128,0,0,0,0,0,0,0,0,0.16256,0.65024,0,0,0,0,0,4.08,51.168,44,0,0,0,0,0,0,0,0,0
10,0,0,0,2,2.026285714,1.1,0.3,2.3,0,0,0,0,0,0,0,0,1.3208,5.2832,0,0,0,0,0,0,0,0,0.013208,0.052832,0,0,0,0,0,0,0,0,0.105664,0.422656,0,0,0,0,0,4.68,37.9107,40.7,0,0,0,0,0,0,0,0,0
