$$ Shade file interpolated to 400m segments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                            
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                       
w2seg,DynSh,TTEleLB,TTEleRB,ClDisLB,ClDiRB,SRFLB1,SRFLB2,SRFRB1,SRFRB2,TOPO1,TOPO2,TOPO3,TOPO4,TOPO5,TOPO6,TOPO7,TOPO8,TOPO9,TOPO10,TOPO11,TOPO12,TOPO13,TOPO14,TOPO15,TOPO16,TOPO17,TOPO18,SRFJD1,SRFJD2                                                           
   8,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,
   9,    -1.000,   128.926,   132.010,     8.726,    18.751,     0.980,     0.980,     0.730,     0.730,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    80.000,   288.000,
  10,    -1.000,   144.696,   142.612,    16.977,    20.023,     0.970,     0.970,     0.840,     0.840,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    80.000,   288.000,
  11,    -1.000,   136.055,   138.641,    32.752,     9.723,     0.800,     0.800,     0.890,     0.890,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    80.000,   288.000,
  12,    -1.000,   124.381,   133.211,    11.329,    35.339,     0.750,     0.750,     0.800,     0.800,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    80.000,   288.000,
  13,    -1.000,   120.167,   131.383,    17.379,    21.267,     0.710,     0.710,     0.920,     0.920,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    80.000,   288.000,
  14,    -1.000,   130.147,   119.267,    23.518,    22.246,     0.730,     0.730,     0.690,     0.690,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    80.000,   288.000,
  15,    -1.000,   131.021,   110.516,    19.131,    23.923,     0.130,     0.130,     0.650,     0.650,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    80.000,   288.000,
  16,    -1.000,   118.956,   109.437,    29.952,    20.924,     0.770,     0.770,     0.490,     0.490,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    80.000,   288.000,
  17,    -1.000,   108.778,   125.326,    12.622,    37.535,     0.710,     0.710,     0.610,     0.610,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    80.000,   288.000,
