$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,
DLX,0,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,
ELWS,102,102,102,102,102,102,102,98,98,98,98,98,98,98,98,98,98,96,96,96,96,96,96,96,96,96,96,96,96,96,96,
PHIO,0,3.48,4.13,3.58,4.06,4.87,2.49,3.18,3.95,3.76,3.9,3.81,4.18,4.16,2.54,2.1,2.17,2.24,2.9,3.5,4.15,4.15,3.36,3.47,3.68,3.6,3.57,1.88,2.16,3.14,3.14,
MANN,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,
LAYERH,,,,,,,,,,,,,,,,,,,K,ELEV,,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1232.79,1306.98,1201.33,1004.06,1158.5,1232.42,1074.6,854.48,444.46,121.12,326.79,560.25,515.93,383.64,462.01,601.11,727.12,711.2,691.32,667.49,1034.46,928.56,867.36,768.54,770.9,663.91,795.46,830.49,862.2,0,2
1,0,1184.43,1248.5,1131.6,936.23,1100.52,1150.18,1046.42,844.04,440.59,119.94,318.41,560.25,515.93,383.64,461.66,600.16,726.02,709.88,689.73,665.57,1032.56,862.47,824.96,764.41,765.97,663.91,795.46,829.93,861.15,0,3
1,0,1131.89,1164.42,1047.03,853.59,1030.08,1081.25,1004.46,834.19,436.8,118.67,315.32,560.25,515.93,383.64,461.4,599.44,725.03,708.65,688.2,663.68,1030.63,796.04,782.99,761.91,762.03,663.91,795.46,828.64,858.68,0,4
1,0,1069.75,1096.1,957.35,721.76,961.76,943.99,983.93,823.07,433.51,117.44,312.26,560.25,515.93,383.64,461.15,598.73,724.17,707.49,686.65,661.68,958.28,437.08,558.17,753.68,741.38,663.91,792.5,823.21,851.02,0,5
1,0,885.94,859.73,796.25,503.57,814.16,816.82,853.59,744.4,429.72,115.34,309.61,560.25,515.93,383.64,460.88,597.99,507.02,504.25,500.8,496.66,599.79,77.25,319.57,710.82,692.34,663.91,788.16,814.84,838.99,0,6
1,0,603.86,524.22,536.27,266.32,426.13,773.36,724.62,670.35,420.13,107.58,270.57,560.25,494.52,298.32,377.15,517.09,209.8,221.11,235.23,252.15,202.95,73.32,197.1,396.94,384.76,663.91,785.75,796.01,805.3,0,7
