$Inflow,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY 1.0= 1/1/2000 12am,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY,TDS,H2S,CH4,SO4,Tracer,Cond,TCol,ECol,ISS1,PO4,NH4,NO3,LDOM,RDOM,LPOM,RPOM,ALG1,DO,TIC,ALK,LDOM-P,RDOM-P,LPOM-P,RPOM-P,LDOM-N,RDOM-N,LPOM-N,RPOM-N
4384,57.38,0,0,4.891,0,100.2,1342,219.2,23.06,0.1277,8.35E-02,0.4235,0.1183,0.1183,0.1183,0.1183,0.1,7.9,7.507,22.35,5.92E-04,5.92E-04,5.92E-04,5.92E-04,9.47E-03,9.47E-03,9.47E-03,9.47E-03
4385,57.38,0,0,4.892,0,100.3,1342,219.2,23.04,0.1272,8.27E-02,0.419,0.1191,0.1191,0.1191,0.1191,0.1,7.9,7.487,22.49,5.96E-04,5.96E-04,5.96E-04,5.96E-04,9.53E-03,9.53E-03,9.53E-03,9.53E-03
4386,57.39,0,0,4.894,0,100.4,1342,219.2,23.03,0.1266,8.19E-02,0.4146,0.1199,0.1199,0.1199,0.1199,0.1,7.9,7.469,22.62,6.00E-04,6.00E-04,6.00E-04,6.00E-04,9.59E-03,9.59E-03,9.59E-03,9.59E-03
4387,57.39,0,0,4.895,0,100.6,1342,219.2,23.02,0.1261,8.11E-02,0.4102,0.1207,0.1207,0.1207,0.1207,0.1,7.9,7.451,22.76,6.04E-04,6.04E-04,6.04E-04,6.04E-04,9.66E-03,9.66E-03,9.66E-03,9.66E-03
4388,57.39,0,0,4.896,0,100.7,1342,219.2,23.01,0.1256,8.02E-02,0.4057,0.1215,0.1215,0.1215,0.1215,0.1,7.9,7.435,22.89,6.08E-04,6.08E-04,6.08E-04,6.08E-04,9.72E-03,9.72E-03,9.72E-03,9.72E-03
4389,57.4,0,0,4.898,0,100.9,1342,219.2,22.99,0.1251,7.94E-02,0.4013,0.1223,0.1223,0.1223,0.1223,0.1,7.9,7.42,23.03,6.12E-04,6.12E-04,6.12E-04,6.12E-04,9.79E-03,9.79E-03,9.79E-03,9.79E-03
4390,57.4,0,0,4.899,0,101,1342,219.2,22.98,0.1245,7.86E-02,0.3969,0.1232,0.1232,0.1232,0.1232,0.1,7.9,7.406,23.16,6.16E-04,6.16E-04,6.16E-04,6.16E-04,9.85E-03,9.85E-03,9.85E-03,9.85E-03
4391,57.4,0,0,4.9,0,101.5,1342,219.2,22.97,0.124,7.77E-02,0.3924,0.124,0.124,0.124,0.124,0.1,7.9,7.392,23.3,6.20E-04,6.20E-04,6.20E-04,6.20E-04,9.92E-03,9.92E-03,9.92E-03,9.92E-03
4392,57.41,0,0,4.902,0,101.9,1342,219.2,22.95,0.1235,7.69E-02,0.388,0.1248,0.1248,0.1248,0.1248,0.1,7.9,7.38,23.44,6.24E-04,6.24E-04,6.24E-04,6.24E-04,9.98E-03,9.98E-03,9.98E-03,9.98E-03
4393,57.41,0,0,4.903,0,102.4,1342,219.2,22.94,0.123,7.61E-02,0.3835,0.1256,0.1256,0.1256,0.1256,0.1,7.9,7.369,23.57,6.28E-04,6.28E-04,6.28E-04,6.28E-04,1.01E-02,1.01E-02,1.01E-02,1.01E-02
4394,57.42,0,0,4.904,0,102.9,1342,219.2,22.93,0.1224,7.53E-02,0.3791,0.1264,0.1264,0.1264,0.1264,0.1,7.9,7.358,23.71,6.32E-04,6.32E-04,6.32E-04,6.32E-04,1.01E-02,1.01E-02,1.01E-02,1.01E-02
4395,57.42,0,0,4.906,0,103.4,1342,219.2,22.91,0.1219,7.44E-02,0.3747,0.1272,0.1272,0.1272,0.1272,0.1,7.9,7.349,23.84,6.36E-04,6.36E-04,6.36E-04,6.36E-04,1.02E-02,1.02E-02,1.02E-02,1.02E-02
