$R,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY 1.0= 1/1/2000 12am,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY,TDS,H2S,CH4,SO4,Tracer,Cond,TCol,ECol,ISS1,PO4,NH4,NO3,LDOM,RDOM,LPOM,RPOM,ALG1,DO,TIC,ALK,LDOM-P,RDOM-P,LPOM-P,RPOM-P,LDOM-N,RDOM-N,LPOM-N,RPOM-N
4384,33.58,0,0,1.181,0,41.14,1600,180,10.68,7.37E-02,0.1553,0.6936,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,6.588,15.75,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4385,33.89,0,0,1.18,0,41.29,1600,180,10.51,7.33E-02,0.1543,0.6835,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,6.556,15.79,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4386,34.21,0,0,1.179,0,41.43,1600,180,10.33,7.28E-02,0.1532,0.6734,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,6.525,15.82,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4387,34.53,0,0,1.179,0,41.57,1600,180,10.16,7.24E-02,0.1522,0.6633,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,6.494,15.86,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4388,34.84,0,0,1.178,0,41.71,1600,180,9.986,7.19E-02,0.1511,0.6531,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,6.464,15.89,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4389,35.16,0,0,1.177,0,41.86,1600,180,9.814,7.15E-02,0.1501,0.643,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,6.435,15.93,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4390,35.47,0,0,1.176,0,42,1600,180,9.641,7.10E-02,0.149,0.6329,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,6.406,15.96,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4391,35.79,0,0,1.176,0,42.06,1600,180,9.468,7.06E-02,0.148,0.6228,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,6.377,16,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4392,36.11,0,0,1.175,0,42.12,1600,180,9.295,7.01E-02,0.1469,0.6126,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,6.348,16.04,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4393,36.42,0,0,1.174,0,42.18,1600,180,9.122,6.97E-02,0.1459,0.6025,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,6.319,16.07,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
