$Met file,,,,,
Julian Day 1.0 = 1/1/2000 12 am,,,,,
JDAY,TAIR,TDEW,WIND,PHI,CLOUD
4384,19.4,19.4,1,1.57,0
4384.042,19.7,19.7,0.75,1.57,0
4384.083,20.1,20.1,0.6,1.57,0
4384.125,20,20,0.7,1.18,0
4384.166,19.31,19.31,1.2,1.57,0
4384.208,18.91,18.91,1.1,1.18,0
4384.249,18.41,18.41,0.8,0,0
4384.291,19.86,19.86,0.8,0.79,0
4384.332,20.77,20.77,1.2,5.11,0
4384.374,22.73,21.96,1.9,4.32,0
4384.415,25.21,22.81,1.9,4.32,0
4384.457,27.11,23.26,1.7,4.32,0
4384.498,27.77,22.1,3.09,0.39,1.5
4384.54,27.61,22.94,4.49,1.18,4.8
4384.581,27.32,22.98,5.1,1.18,5.7
4384.623,26.45,22.92,5.9,1.18,7.4
4384.664,25.46,22.63,5.5,1.18,10
4384.706,24.19,22.16,5.2,1.18,10
4384.747,23.64,21.81,4,1.18,10
4384.789,23.04,21.65,1.21,1.18,10
4384.83,22.36,21.54,1.2,1.96,10
4384.872,21.29,21.06,1.3,1.57,10
4384.913,20.65,20.63,1.3,1.18,10
4384.955,20.24,20.24,1,1.57,10
4384.996,20.11,20.11,1.1,1.57,10
4385.038,20.01,20.01,0.83,1.18,10
4385.079,19.46,19.46,1.08,1.18,10
4385.121,19.4,19.4,0.81,1.57,10
4385.162,18.77,18.77,0.8,1.18,10
4385.204,19.14,19.14,0.7,1.96,10
4385.245,19.91,19.91,0.5,1.18,10
4385.287,20.53,20.53,0.89,1.57,10
4385.328,21.04,21.04,1.49,4.71,0
4385.37,23.02,22.49,1.8,4.71,0
4385.411,25.3,23.3,2.1,4.32,0
4385.453,27.41,23.76,1.9,4.71,0
4385.494,27.96,22.75,3.78,5.11,2
4385.536,27.57,23.2,5.88,1.18,2.4
4385.577,26.74,22.95,6.59,1.18,5.4
4385.619,26.26,22.96,5.91,1.18,8.6
4385.66,25.01,22.79,5.5,1.57,10
4385.702,24.05,22.57,4.61,1.18,10
4385.743,23.4,22.54,1.63,1.18,10
4385.785,22.72,22.42,1.7,1.18,10
4385.826,22.1,22.02,1.3,1.18,10
4385.868,21.26,21.25,1.2,1.18,10
4385.909,21.02,21.02,0.8,1.57,10
4385.951,20.92,20.92,1,1.57,10
4385.992,21.14,21.14,1,1.18,10
4386.034,20.79,20.79,0.84,1.96,10
4386.075,20.22,20.22,1.34,1.18,10
4386.117,20.26,20.26,0.84,1.18,10
4386.158,20.54,20.54,0.8,1.96,10
4386.2,20.52,20.52,0.7,4.32,10
4386.241,20.58,20.58,0.89,0,10
4386.283,20.76,20.76,1.97,4.32,10
4386.324,21.66,21.66,1.51,1.57,0
4386.366,23.14,22.24,1.4,4.71,0
4386.407,24.51,22.6,1.5,4.32,0
