$Branch 1 Inflow Temperature,
JDAY 1.0 = 1/1/2000 12 am,
JDAY,TIN
26,24.7
47,25
131,24.2
166,23.9
201,24.3
1965,24.2
2091.541667,24.6
2120,21.8
2274.520833,30
2413.715278,25.1
2805,23.9
2897,23.7
2953,26.6
3039,27.3
3610.5625,25.4
3641.601389,25.3
3671.585417,28.9
3709.569444,28.9
3764.622222,27.3
3766.372222,28.6
3794.645833,25.6
3826.443056,24
4035.497222,25.5
4066.541667,27.97
4105.5,29.45
4134.510417,27.39
4169.520833,25.03
4390.503472,27.03
4424.500694,28.29
4450.578472,29.72
4485.520833,25.32
4507.503472,27.12
4542.46875,25.66
4550.38125,24.8
4578.4125,24.88
4580.4125,24.38
4606.597917,24.95
4607.573611,24.26
4632.441667,23.41
4636.297222,23.07
4666.479167,23.9
4667.375,23.1
4694.482639,25.1
4703.34375,23.33
4732.411111,25.09
4736.523611,25.45
4758.4875,27.12
4777.420139,29.12
4792.495833,28.56
4809.270833,27.48
4822.495139,30.47
4844.445833,29.57
4854.304167,26.03
4970.340278,23.42
4981.480556,25.43
5005.265972,23.55
5015.513889,24.23
5027.294444,22.33
5043.509028,22.64
5065.372917,23.49
5071.518056,24.75
5100.450694,25.56
5101.354861,24.71
5136.479167,27.26
5137.359028,25.85
5166.371528,27.51
5167.454861,29.02
5198.333333,28.29
5201.395833,29.77
5239.565972,26.09
5240.375694,24.54
5261.495139,25.99
5262.35625,24.83
5284.380556,25.56
5285.420139,25.03
5320.322917,26.79
5321.44375,27.43
5346.379167,24.7
5347.489583,24.43
5375.35,22.74
5376.472222,22.95
5407.55,23.66
5408.371528,22.2
5463.526389,23.78
5494.313889,25.44
5495.440972,27.22
5522.352778,25.56
5523.451389,27.86
5556.388889,27.09
5557.471528,29.67
5586.484028,27.5
5603.44375,26.89
5615.434028,27.52
5657.319444,27.11
5659.5625,23.99
5690.354167,24.01
5793.477083,24.1
5794.357639,23.6
5830.44375,24.7
5844,24.7
