$
,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42,
DLX,   487.620,   487.620,   487.620,   487.620,   487.620,   487.620,   487.620,   487.620,   489.350,   489.350,   489.350,   489.350,   489.350,   489.350,   489.350,   489.350,   489.350,   489.350,   489.350,   489.350,   489.350,   489.350,   489.350,   489.350,   489.350,   489.350,   489.350,   489.350,   489.350,   489.350,   489.350,   489.350,   489.350,   489.350,   489.350,   489.350,   489.350,   489.350,   489.350,   489.350,   489.350,   489.350,
ELWS,   530.000,   530.000,   528.800,   527.600,   526.400,   525.200,   524.000,   524.000,   523.000,   523.000,   522.000,   521.000,   520.000,   519.000,   518.000,   517.000,   516.000,   515.500,   515.000,   514.000,   513.000,   511.500,   510.000,   509.000,   508.000,   507.000,   506.000,   505.000,   504.000,   503.000,   502.000,   501.000,   500.000,   499.000,   498.000,   497.000,   496.000,   495.000,   494.040,   493.000,   492.000,   491.000,
PHI0,     0.000,     1.430,     2.430,     1.250,     1.690,     1.260,     1.630,     0.000,     0.000,     0.720,     3.010,     3.020,     1.670,     3.820,     3.300,     4.860,     4.850,     3.290,     2.260,     2.120,     1.320,     1.460,     2.440,     2.770,     4.800,     4.090,     1.980,     2.150,     1.640,     1.160,     1.340,     2.940,     4.230,     2.540,     2.130,     2.990,     3.230,     3.340,     1.580,     1.530,     2.830,     0.000,
FRIC,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.050,     0.050,     0.050,     0.050,     0.050,     0.050,     0.050,     0.050,     0.050,     0.050,     0.050,     0.050,     0.050,     0.050,     0.050,     0.050,     0.050,     0.050,     0.050,     0.050,     0.050,     0.050,     0.055,     0.055,     0.055,     0.055,     0.060,     0.060,     0.060,     0.060,
LAYERH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,ELEV
   0.500,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,  1
   0.500,     0.000,    65.200,    65.200,    80.700,    96.200,   111.600,   127.100,     0.000,     0.000,   137.200,   138.100,   139.000,   139.900,   140.800,   141.700,   142.600,   143.500,   144.300,   145.200,   103.800,   112.100,   120.400,   126.800,   135.100,   143.400,   153.500,   195.800,   174.300,   113.000,   138.700,   157.800,   126.300,   126.600,   121.100,   115.600,   110.100,   104.700,    99.200,    93.700,    88.200,    82.700,     0.000,  2
   0.500,     0.000,    63.200,    63.200,    78.700,    94.200,   109.600,   125.100,     0.000,     0.000,   135.200,   136.100,   137.000,   137.900,   138.800,   139.700,   140.600,   141.500,   142.300,   143.200,   101.800,   110.100,   118.400,   124.800,   133.100,   141.400,   151.500,   193.800,   172.300,   111.000,   136.700,   155.800,   124.300,   124.600,   119.100,   113.600,   108.100,   102.700,    97.200,    91.700,    86.200,    80.700,     0.000,  3
   0.500,     0.000,    61.200,    61.200,    76.700,    92.200,   107.600,   123.100,     0.000,     0.000,   133.200,   134.100,   135.000,   135.900,   136.800,   137.700,   138.600,   139.500,   140.300,   141.200,    99.800,   108.100,   116.400,   122.800,   131.100,   139.400,   149.500,   193.600,   171.700,   110.300,   136.000,   155.700,   124.300,   122.600,   117.100,   111.600,   106.100,   100.700,    95.200,    89.700,    84.200,    78.700,     0.000,  4
   0.500,     0.000,    59.200,    59.200,    74.700,    90.200,   105.600,   121.100,     0.000,     0.000,   131.200,   132.100,   133.000,   133.900,   134.800,   135.700,   136.600,   137.500,   138.300,   139.200,    97.800,   106.100,   114.400,   120.800,   129.100,   137.400,   147.500,   193.400,   171.000,   109.500,   135.300,   155.700,   124.300,   120.600,   115.100,   109.600,   104.100,    98.700,    93.200,    87.700,    82.200,    76.700,     0.000,  5
