$Spokane wwtp,constituent,file,-,year,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY,TDS,TRACER,COLFRM,COND,CHLORID,ISS,PO4,NH4,NO3,LDOM,RDOM,LPOM,RPOM,1CBOD,2CBOD,3CBOD,4CBOD,5CBOD,6CBOD,7CBOD,8CBOD,9CBOD,10CBOD,1CBODP,2CBODP,3CBODP,4CBODP,5CBODP,6CBODP,7CBODP,8CBODP,9CBODP,10CBODP,1CBODN,2CBODN,3CBODN,4CBODN,5CBODN,6CBODN,7CBODN,8CBODN,9CBODN,10CBODN,Algae1,Algae2,Algae3,DO,TIC,ALK,LDOMP,RDOMP,LPOMP,RPOMP,LDOMN,RDOMN,LPOMN,RPOMN
1,310,0,30,640,0.61,2,1.1575,0.127,16.68,0,0,0,0,0,0,0,38.98,0,0,0,0,0,0,0,0,0,2.022,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,9.4,39.07,108,0,0,0,0,0,0,0,0
2,310,0,30,640,0.56,1,1.3322,0.128,16.88,0,0,0,0,0,0,0,42.22,0,0,0,0,0,0,0,0,0,2.328,0,0,0,0,0,0,0,0,0,0.469,0,0,0,0,0,0,0,0,0,8.6,41.31,113,0,0,0,0,0,0,0,0
3,310,0,13,640,0.64,1,1.1066,0.124,17.08,0,0,0,0,0,0,0,45.47,0,0,0,0,0,0,0,0,0,1.933,0,0,0,0,0,0,0,0,0,0.807,0,0,0,0,0,0,0,0,0,8,42.19,111,0,0,0,0,0,0,0,0
4,310,0,17,640,0.62,2,1.223,0.146,17.28,0,0,0,0,0,0,0,35.73,0,0,0,0,0,0,0,0,0,2.137,0,0,0,0,0,0,0,0,0,1.146,0,0,0,0,0,0,0,0,0,9.9,42.52,109,0,0,0,0,0,0,0,0
5,310,0,13,640,0.56,0.1,1.2886,0.142,17.48,0,0,0,0,0,0,0,42.22,0,0,0,0,0,0,0,0,0,2.251,0,0,0,0,0,0,0,0,0,1.484,0,0,0,0,0,0,0,0,0,9.6,33.53,99,0,0,0,0,0,0,0,0
6,310,0,25.3,640,0.62,0.1,1.223,0.124,17.68,0,0,0,0,0,0,0,38.98,0,0,0,0,0,0,0,0,0,2.137,0,0,0,0,0,0,0,0,0,1.823,0,0,0,0,0,0,0,0,0,8.2,36.25,90,0,0,0,0,0,0,0,0
7,310,0,37.7,640,0.61,0.1,1.1976,0.124,17.88,0,0,0,0,0,0,0,42.22,0,0,0,0,0,0,0,0,0,2.092,0,0,0,0,0,0,0,0,0,2.161,0,0,0,0,0,0,0,0,0,9,39.49,105,0,0,0,0,0,0,0,0
8,310,0,50,640,0.57,0.1,1.2376,0.124,18.08,0,0,0,0,0,0,0,51.97,0,0,0,0,0,0,0,0,0,2.162,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,9.1,48.82,118,0,0,0,0,0,0,0,0
9,310,0,23,640,0.58,2,1.2886,0.225,18.061,0,0,0,0,0,0,0,45.47,0,0,0,0,0,0,0,0,0,2.251,0,0,0,0,0,0,0,0,0,2.314,0,0,0,0,0,0,0,0,0,8.4,44.48,99,0,0,0,0,0,0,0,0
10,310,0,17,640,0.59,1,1.2849,0.306,18.043,0,0,0,0,0,0,0,64.96,0,0,0,0,0,0,0,0,0,2.245,0,0,0,0,0,0,0,0,0,2.129,0,0,0,0,0,0,0,0,0,9.2,38.72,92,0,0,0,0,0,0,0,0
11,310,0,80,640,0.46,1,1.2958,0.221,18.024,0,0,0,0,0,0,0,38.98,0,0,0,0,0,0,0,0,0,2.264,0,0,0,0,0,0,0,0,0,1.943,0,0,0,0,0,0,0,0,0,9.2,38.11,91,0,0,0,0,0,0,0,0
12,310,0,17,640,0.6,0.1,1.3068,0.135,18.006,0,0,0,0,0,0,0,42.22,0,0,0,0,0,0,0,0,0,2.283,0,0,0,0,0,0,0,0,0,1.757,0,0,0,0,0,0,0,0,0,9.2,39.03,96,0,0,0,0,0,0,0,0
13,310,0,28,640,0.59,1,1.2813,0.124,17.987,0,0,0,0,0,0,0,29.88,0,0,0,0,0,0,0,0,0,2.239,0,0,0,0,0,0,0,0,0,1.571,0,0,0,0,0,0,0,0,0,8.8,37.23,96,0,0,0,0,0,0,0,0
14,310,0,39,640,0.58,2,1.1539,0.124,17.969,0,0,0,0,0,0,0,38.98,0,0,0,0,0,0,0,0,0,2.016,0,0,0,0,0,0,0,0,0,1.386,0,0,0,0,0,0,0,0,0,8.9,39.76,104,0,0,0,0,0,0,0,0
15,310,0,50,640,0.55,0.1,1.1976,0.124,17.95,0,0,0,0,0,0,0,38.98,0,0,0,0,0,0,0,0,0,2.092,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,9.1,41.56,108,0,0,0,0,0,0,0,0
16,310,0,34,640,0.57,0.1,1.2194,0.289,17.546,0,0,0,0,0,0,0,32.48,0,0,0,0,0,0,0,0,0,2.131,0,0,0,0,0,0,0,0,0,1.243,0,0,0,0,0,0,0,0,0,8.8,43.63,111,0,0,0,0,0,0,0,0
17,310,0,4,640,0.56,0.1,1.2485,1.08,17.141,0,0,0,0,0,0,0,45.47,0,0,0,0,0,0,0,0,0,2.181,0,0,0,0,0,0,0,0,0,1.286,0,0,0,0,0,0,0,0,0,9.2,40.55,105,0,0,0,0,0,0,0,0
18,310,0,34,640,0.51,1,1.2558,4.56,16.737,0,0,0,0,0,0,0,61.71,0,0,0,0,0,0,0,0,0,2.194,0,0,0,0,0,0,0,0,0,1.329,0,0,0,0,0,0,0,0,0,9.4,50.54,145,0,0,0,0,0,0,0,0
19,310,0,26,640,0.54,0.1,1.2813,0.1,16.333,0,0,0,0,0,0,0,35.73,0,0,0,0,0,0,0,0,0,2.239,0,0,0,0,0,0,0,0,0,1.371,0,0,0,0,0,0,0,0,0,9.6,39.97,105,0,0,0,0,0,0,0,0
20,310,0,27.3,640,0.52,0.1,1.3177,0.067,15.929,0,0,0,0,0,0,0,35.73,0,0,0,0,0,0,0,0,0,2.302,0,0,0,0,0,0,0,0,0,1.414,0,0,0,0,0,0,0,0,0,9.3,40.34,100,0,0,0,0,0,0,0,0
21,310,0,28.7,640,0.55,1,1.223,0.067,15.524,0,0,0,0,0,0,0,29.23,0,0,0,0,0,0,0,0,0,2.137,0,0,0,0,0,0,0,0,0,1.457,0,0,0,0,0,0,0,0,0,9.5,42.28,109,0,0,0,0,0,0,0,0
22,310,0,30,640,0.56,0.1,1.1138,0.124,15.12,0,0,0,0,0,0,0,32.48,0,0,0,0,0,0,0,0,0,1.946,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,10.2,42.11,111,0,0,0,0,0,0,0,0
23,310,0,50,640,0.57,0.1,1.2376,0.071,15.48,0,0,0,0,0,0,0,41.57,0,0,0,0,0,0,0,0,0,2.162,0,0,0,0,0,0,0,0,0,1.571,0,0,0,0,0,0,0,0,0,9.6,41.27,107,0,0,0,0,0,0,0,0
24,310,0,130,640,0.6,2,1.3504,0.064,15.84,0,0,0,0,0,0,0,45.47,0,0,0,0,0,0,0,0,0,2.36,0,0,0,0,0,0,0,0,0,1.643,0,0,0,0,0,0,0,0,0,10.5,41.46,105,0,0,0,0,0,0,0,0
25,310,0,14,640,0.55,0.5,1.2776,0.124,16.2,0,0,0,0,0,0,0,32.48,0,0,0,0,0,0,0,0,0,2.232,0,0,0,0,0,0,0,0,0,1.714,0,0,0,0,0,0,0,0,0,9.5,38.15,101,0,0,0,0,0,0,0,0
26,310,0,4,640,0.58,0.1,1.2813,0.124,16.56,0,0,0,0,0,0,0,22.74,0,0,0,0,0,0,0,0,0,2.239,0,0,0,0,0,0,0,0,0,1.786,0,0,0,0,0,0,0,0,0,9.5,43.25,99,0,0,0,0,0,0,0,0
27,310,0,4,640,0.6,1,1.3359,0.124,16.92,0,0,0,0,0,0,0,29.23,0,0,0,0,0,0,0,0,0,2.334,0,0,0,0,0,0,0,0,0,1.857,0,0,0,0,0,0,0,0,0,10.6,40.87,101,0,0,0,0,0,0,0,0
28,310,0,4,640,0.61,1,1.2704,0.124,17.28,0,0,0,0,0,0,0,32.48,0,0,0,0,0,0,0,0,0,2.22,0,0,0,0,0,0,0,0,0,1.929,0,0,0,0,0,0,0,0,0,9.8,44.51,116,0,0,0,0,0,0,0,0
