$Temperature file for segment 86,,
,,
JDAY,T,
1,8,
1.01,7.99,
1.02,7.99,
1.03,7.99,
1.04,7.98,
1.05,7.96,
1.06,7.95,
1.07,7.94,
1.08,7.93,
1.09,7.92,
1.1,7.93,
1.11,7.94,
1.12,7.95,
1.13,7.97,
1.14,7.98,
1.15,7.98,
1.16,7.98,
1.17,7.96,
1.18,7.93,
1.19,7.92,
1.2,7.91,
1.21,7.9,
1.22,7.9,
1.23,7.9,
1.24,7.9,
1.25,7.9,
1.26,7.9,
1.27,7.9,
1.28,7.89,
1.29,7.88,
1.3,7.87,
1.31,7.86,
1.32,7.85,
1.33,7.83,
1.34,7.82,
1.35,7.8,
1.36,7.79,
1.37,7.77,
1.38,7.75,
1.39,7.72,
1.4,7.69,
1.41,7.66,
1.42,7.63,
1.43,7.59,
1.44,7.55,
1.45,7.51,
1.46,7.47,
1.47,7.43,
1.48,7.39,
1.49,7.35,
1.5,7.31,
1.51,7.27,
1.52,7.23,
1.53,7.19,
1.54,7.14,
1.55,7.1,
1.56,7.06,
1.57,7.01,
1.58,6.97,
1.59,6.92,
1.6,6.88,
1.61,6.83,
1.62,6.78,
1.63,6.73,
1.64,6.68,
1.65,6.64,
1.66,6.59,
1.67,6.55,
1.68,6.5,
1.69,6.46,
1.7,6.41,
1.71,6.37,
1.72,6.33,
1.73,6.29,
1.74,6.25,
1.75,6.22,
1.76,6.18,
1.77,6.15,
1.78,6.12,
1.79,6.09,
1.8,6.07,
1.81,6.04,
1.82,6.02,
1.83,6,
1.84,5.98,
1.85,5.95,
1.86,5.93,
1.87,5.91,
1.88,5.89,
1.89,5.87,
1.9,5.85,
1.91,5.83,
1.92,5.81,
1.93,5.79,
1.94,5.76,
1.95,5.74,
1.96,5.72,
1.97,5.7,
1.98,5.67,
1.99,5.65,
2,5.63,
2.01,5.61,
2.02,5.59,
2.03,5.57,
2.04,5.55,
2.05,5.53,
2.06,5.51,
2.07,5.49,
2.08,5.48,
2.09,5.46,
2.1,5.44,
2.11,5.43,
2.12,5.42,
2.13,5.4,
2.14,5.39,
2.15,5.38,
2.16,5.37,
2.17,5.36,
2.18,5.35,
2.19,5.34,
2.2,5.34,
2.21,5.33,
2.22,5.32,
2.23,5.31,
2.24,5.31,
2.25,5.3,
2.26,5.3,
2.27,5.3,
2.28,5.29,
2.29,5.29,
2.3,5.29,
2.31,5.28,
2.32,5.28,
2.33,5.28,
2.34,5.27,
2.35,5.27,
2.36,5.27,
2.37,5.28,
2.38,5.28,
2.39,5.28,
2.4,5.29,
2.41,5.3,
2.42,5.3,
2.43,5.31,
2.44,5.32,
2.45,5.32,
2.46,5.33,
2.47,5.34,
2.48,5.34,
2.49,5.36,
2.5,5.37,
2.51,5.38,
2.52,5.4,
2.53,5.41,
2.54,5.43,
2.55,5.44,
2.56,5.46,
2.57,5.48,
2.58,5.49,
2.59,5.51,
2.6,5.53,
2.61,5.54,
2.62,5.56,
2.63,5.57,
2.64,5.58,
2.65,5.6,
2.66,5.61,
2.67,5.62,
2.68,5.63,
2.69,5.65,
2.7,5.66,
2.71,5.67,
2.72,5.68,
2.73,5.69,
2.74,5.7,
2.75,5.71,
2.76,5.72,
2.77,5.73,
