$
,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51,
DLX,   152.900,   152.900,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   305.800,   457.500,   457.500,   457.500,   457.500,   457.500,
ELWS,     3.360,     3.360,     3.360,     3.360,     3.360,     3.360,     3.360,     3.360,     3.360,     3.360,     3.360,     3.350,     3.350,     3.350,     3.350,     3.350,     3.350,     3.350,     3.350,     3.350,     3.350,     3.350,     3.350,     3.350,     3.350,     3.360,     3.360,     3.360,     3.360,     3.360,     3.360,     3.360,     3.360,     3.350,     3.350,     3.350,     3.350,     3.350,     3.350,     3.350,     3.350,     3.350,     3.350,     3.350,     3.350,     3.350,     3.350,     3.350,     3.350,     3.350,     3.350,
PHI0,     0.000,     4.700,     4.850,     5.160,     5.150,     5.210,     4.170,     5.150,     5.060,     4.950,     4.990,     4.920,     5.070,     5.210,     5.210,     5.180,     5.130,     4.770,     5.060,     5.190,     5.330,     5.500,     4.980,     4.880,     5.250,     5.030,     4.990,     5.540,     5.110,     4.970,     5.260,     5.110,     5.340,     5.390,     5.500,     0.570,     3.210,     3.560,     3.110,     5.960,     0.140,     0.210,     6.110,     5.860,     5.840,     0.000,     0.000,     5.070,     5.360,     5.330,     0.000,
FRIC,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,
LAYERH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,ELEV
   0.610,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,  1
   0.610,     0.000,    98.100,    74.500,    85.900,    76.000,    81.300,    77.500,    79.500,    84.100,    89.800,    83.500,    81.400,    83.500,   175.100,    95.100,   100.200,   102.700,   166.500,   232.800,   166.300,   154.300,   100.800,    57.500,    60.000,    67.200,    57.000,   135.300,   198.300,   207.400,   137.700,   151.900,    78.000,    49.600,    51.000,    59.400,    67.800,    91.300,    68.000,    54.700,    43.100,    44.000,    42.900,    61.000,    63.900,    64.100,     0.000,     0.000,    64.100,    73.200,    58.400,     0.000,  2
   0.610,     0.000,    95.900,    72.000,    83.800,    72.700,    76.700,    74.700,    76.500,    81.200,    85.200,    79.500,    77.700,    80.200,   170.800,    90.800,    95.900,    98.100,   159.300,   228.200,   162.300,   149.000,    96.200,    55.200,    58.500,    64.500,    55.400,   125.900,   194.400,   201.900,   131.700,   130.900,    74.300,    47.700,    49.000,    56.800,    64.800,    87.300,    64.300,    52.900,    40.900,    42.000,    41.000,    58.700,    61.400,    61.600,     0.000,     0.000,    48.000,    52.400,    49.800,     0.000,  3
   0.610,     0.000,    93.600,    69.600,    81.500,    69.300,    72.500,    71.800,    73.500,    77.700,    80.000,    75.800,    73.800,    76.700,   167.600,    86.600,    91.300,    93.300,   151.600,   222.900,   139.100,   143.300,    91.200,    52.900,    56.400,    61.600,    53.100,   114.500,   130.300,   138.400,   125.500,   106.300,    70.700,    45.900,    46.800,    52.400,    61.400,    82.300,    60.600,    50.900,    38.500,    39.800,    39.200,    56.400,    59.000,    58.400,     0.000,     0.000,    34.800,    33.600,    41.700,     0.000,  4
   0.610,     0.000,    90.800,    67.000,    78.200,    62.100,    68.800,    68.200,    70.200,    73.900,    73.700,    70.200,    68.300,    72.400,   163.300,    81.800,    86.800,    88.000,   141.600,   216.900,   133.500,   136.800,    85.300,    50.500,    53.900,    58.800,    50.300,    99.400,   123.600,   130.200,   119.500,    99.100,    65.500,    43.600,    44.300,    48.000,    55.700,    76.200,    56.700,    48.900,    35.800,    37.400,    36.400,    53.200,    56.500,    55.100,     0.000,     0.000,    33.200,    28.500,    37.800,     0.000,  5
   0.610,     0.000,    87.500,    63.300,    74.300,    57.500,    64.200,    64.000,    66.800,    69.500,    65.800,    64.600,    62.200,    67.200,   156.200,    76.300,    81.500,    82.100,   130.600,   178.400,   126.700,   127.700,    79.300,    47.600,    51.100,    56.000,    46.800,    71.000,   116.800,   121.800,    91.500,    92.000,    57.200,    39.900,    41.600,    43.500,    49.100,    68.900,    51.100,    46.400,    32.900,    34.800,    32.800,    50.100,    52.600,    51.800,     0.000,     0.000,    31.800,    27.200,    34.300,     0.000,  6
   0.610,     0.000,    80.900,    58.600,    70.000,    52.500,    58.900,    59.600,    60.400,    63.300,    56.300,    57.900,    54.000,    59.700,   146.200,    68.200,    72.600,    72.300,   117.200,   137.800,   102.700,   117.800,    72.000,    44.500,    47.600,    52.400,    42.700,    57.500,   110.100,   113.600,    81.800,    85.000,    48.000,    35.000,    39.000,    38.700,    43.800,    57.800,    45.600,    43.500,    29.600,    32.400,    28.400,    46.000,    47.200,    47.000,     0.000,     0.000,    30.300,    25.600,    30.800,     0.000,  7
