$T1995 Col Sl branch 1 downstream head temperature                                     

    JDAY,     TDH,
   1.000,  08.000,
  17.580,   7.890,
  32.500,   8.980,
  35.000,  10.220,
  40.000,   9.990,
  43.500,   8.270,
  45.000,   4.250,
  47.000,   4.500,
  50.000,   7.280,
  54.600,   10.90,
  80.000,  12.000,
 200.000,  21.820,
 211.000,  21.820,
 225.000,  21.870,
 239.000,  21.180,
 253.000,  19.260,
 271.000,  17.610,
 280.000,  16.490,
 293.000,  14.500,
 310.000,  13.060,
 323.000,  11.010,
 337.000,   6.730,
