$Little Spokane River inflow 01/01/2000 to 12/31/2000,,
,,
Jday,Q,
1,15.65,
1.042,15.65,
1.083,15.65,
1.125,15.65,
1.167,15.65,
1.208,15.65,
1.25,15.65,
1.292,15.65,
1.333,15.65,
1.375,15.65,
1.417,15.65,
1.458,15.65,
1.5,15.65,
1.542,15.65,
1.583,15.65,
1.625,15.748,
1.667,15.748,
1.708,15.748,
1.75,15.748,
1.792,15.748,
1.833,15.748,
1.875,15.748,
1.917,15.748,
1.958,15.65,
2,15.65,
2.042,15.65,
2.083,15.65,
2.125,15.65,
2.167,15.65,
2.208,15.65,
2.25,15.65,
2.292,15.65,
2.333,15.65,
2.375,15.65,
2.417,15.65,
2.458,15.65,
2.5,15.65,
2.542,15.65,
2.583,15.65,
2.625,15.65,
2.667,15.65,
2.708,15.65,
2.75,15.65,
2.792,15.65,
2.833,15.65,
2.875,15.65,
2.917,15.65,
2.958,15.65,
3,15.551,
3.042,15.551,
3.083,15.551,
3.125,15.551,
3.167,15.551,
3.208,15.551,
3.25,15.551,
3.292,15.551,
3.333,15.551,
3.375,15.551,
3.417,15.453,
3.458,15.464,
3.5,15.475,
3.542,15.475,
3.583,15.486,
3.625,15.497,
3.667,15.497,
3.708,15.508,
3.75,15.519,
3.792,15.53,
3.833,15.53,
3.875,15.541,
3.917,15.551,
3.958,15.551,
4,15.551,
4.042,15.551,
4.083,15.551,
4.125,15.551,
4.167,15.65,
4.208,15.748,
4.25,15.944,
4.292,15.944,
4.333,15.944,
4.375,15.944,
4.417,16.042,
4.458,16.042,
4.5,16.14,
4.542,16.14,
4.583,16.14,
4.625,16.042,
4.667,16.042,
4.708,16.042,
4.75,16.042,
4.792,16.14,
4.833,16.238,
4.875,16.238,
4.917,16.336,
4.958,16.336,
5,16.336,
5.042,16.336,
5.083,16.336,
5.125,16.336,
5.167,16.336,
5.208,16.336,
5.25,16.336,
5.292,16.336,
5.333,16.238,
5.375,16.042,
5.417,15.944,
5.458,15.846,
5.5,15.65,
5.542,16.14,
5.583,16.238,
5.625,16.238,
5.667,16.238,
5.708,16.238,
5.75,16.14,
5.792,16.042,
5.833,16.042,
5.875,15.944,
5.917,15.944,
5.958,15.846,
6,15.65,
6.042,15.846,
6.083,15.846,
6.125,15.65,
6.167,15.65,
6.208,15.65,
