$ BONNEVILLE-POOLELEV.csv based on BONNEVILLE-POOL/ELEV-NAVD88 from PA_EXT_smoothed_fb 2020-01-03 1542_NAVD88.dss
Units in  meters ;Based on Excel conventions, JDAY 1 is 1899-12-31; JDAY 40544 is 2011-01-01
"JDAY","BONNEVILLE.POOLELEV"
40544,24.17
40545,24.17
40546,24.17
40547,24.17
40548,24.17
40549,24.17
40550,24.17
40551,24.17
40552,24.17
40553,24.17
40554,24.17
40555,24.17
40556,24.17
40557,24.17
40558,24.17
40559,24.17
40560,24.17
40561,24.17
40562,24.17
40563,24.17
40564,24.17
40565,24.17
40566,24.17
40567,24.17
40568,24.17
40569,24.17
40570,24.17
40571,24.17
40572,24.17
40573,24.17
40574,24.17
40575,24.17
40576,24.17
40577,24.17
40578,24.17
40579,24.17
40580,24.17
40581,24.17
40582,24.17
40583,24.17
40584,24.17
40585,24.17
40586,24.17
40587,24.17
40588,24.17
40589,24.17
40590,24.17
40591,24.17
40592,24.17
40593,24.17
40594,24.17
40595,24.17
40596,24.17
40597,24.17
40598,24.17
40599,24.17
40600,24.17
40601,24.17
40602,24.17
40603,24.17
40604,24.17
40605,24.17
40606,24.17
40607,24.17
40608,24.17
40609,24.17
40610,24.17
40611,24.17
40612,24.17
40613,24.17
40614,24.17
40615,24.17
40616,24.17
40617,24.17
40618,24.17
40619,24.17
40620,24.17
40621,24.17
40622,24.17
40623,24.17
40624,24.17
40625,24.17
40626,24.17
40627,24.17
40628,24.17
40629,24.17
40630,24.17
40631,24.17
40632,24.17
40633,24.17
40634,24.17
40635,24.17
40636,24.17
40637,24.17
40638,24.17
40639,24.17
40640,24.17
40641,24.17
40642,24.17
40643,24.17
40644,24.17
40645,24.17
40646,24.17
40647,24.17
40648,24.17
40649,24.17
40650,24.17
40651,24.17
40652,24.17
40653,24.17
40654,24.17
40655,24.17
40656,24.17
40657,24.17
40658,24.17
40659,24.17
40660,24.17
40661,24.17
40662,24.17
40663,24.17
40664,24.17
40665,24.17
40666,24.17
40667,24.17
40668,24.17
40669,24.17
40670,24.17
40671,24.17
40672,24.17
40673,24.17
40674,24.17
40675,24.17
40676,24.17
40677,24.17
40678,24.17
40679,24.17
40680,24.17
40681,24.17
40682,24.17
40683,24.17
40684,24.17
40685,24.17
40686,24.17
40687,24.17
40688,24.17
40689,24.17
40690,24.17
40691,24.17
40692,24.17
40693,24.17
40694,24.17
40695,24.17
40696,24.17
40697,24.17
40698,24.17
40699,24.17
40700,24.17
40701,24.17
40702,24.17
40703,24.17
40704,24.17
40705,24.17
40706,24.17
40707,24.17
40708,24.17
40709,24.17
40710,24.17
40711,24.17
40712,24.17
40713,24.17
40714,24.17
40715,24.17
40716,24.17
40717,24.17
40718,24.17
40719,24.17
40720,24.17
40721,24.17
40722,24.17
40723,24.17
40724,24.17
40725,24.17
40726,24.17
40727,24.17
40728,24.17
40729,24.17
40730,24.17
40731,24.17
40732,24.17
40733,24.17
40734,24.17
40735,24.17
40736,24.17
40737,24.17
40738,24.17
40739,24.17
40740,24.17
40741,24.17
40742,24.17
40743,24.17
40744,24.17
40745,24.17
40746,24.17
40747,24.17
40748,24.17
40749,24.17
40750,24.17
40751,24.17
40752,24.17
40753,24.17
40754,24.17
40755,24.17
40756,24.17
40757,24.17
40758,24.17
40759,24.17
40760,24.17
40761,24.17
40762,24.17
40763,24.17
40764,24.17
40765,24.17
40766,24.17
40767,24.17
40768,24.17
40769,24.17
40770,24.17
40771,24.17
40772,24.17
40773,24.17
40774,24.17
40775,24.17
40776,24.17
40777,24.17
40778,24.17
40779,24.17
40780,24.17
40781,24.17
40782,24.17
40783,24.17
40784,24.17
40785,24.17
40786,24.17
40787,24.17
40788,24.17
40789,24.17
40790,24.17
40791,24.17
40792,24.17
40793,24.17
40794,24.17
40795,24.17
40796,24.17
40797,24.17
40798,24.17
40799,24.17
40800,24.17
40801,24.17
40802,24.17
40803,24.17
40804,24.17
40805,24.17
40806,24.17
40807,24.17
40808,24.17
40809,24.17
40810,24.17
40811,24.17
40812,24.17
40813,24.17
40814,24.17
40815,24.17
40816,24.17
40817,24.17
40818,24.17
40819,24.17
40820,24.17
40821,24.17
40822,24.17
40823,24.17
40824,24.17
40825,24.17
40826,24.17
40827,24.17
40828,24.17
40829,24.17
40830,24.17
40831,24.17
40832,24.17
40833,24.17
40834,24.17
40835,24.17
40836,24.17
40837,24.17
40838,24.17
40839,24.17
40840,24.17
40841,24.17
40842,24.17
40843,24.17
40844,24.17
40845,24.17
40846,24.17
40847,24.17
40848,24.17
40849,24.17
40850,24.17
40851,24.17
40852,24.17
40853,24.17
40854,24.17
40855,24.17
40856,24.17
40857,24.17
40858,24.17
40859,24.17
40860,24.17
40861,24.17
40862,24.17
40863,24.17
40864,24.17
40865,24.17
40866,24.17
40867,24.17
40868,24.17
40869,24.17
40870,24.17
40871,24.17
40872,24.17
40873,24.17
40874,24.17
40875,24.17
40876,24.17
40877,24.17
40878,24.17
40879,24.17
40880,24.17
40881,24.17
40882,24.17
40883,24.17
40884,24.17
40885,24.17
40886,24.17
40887,24.17
40888,24.17
40889,24.17
40890,24.17
40891,24.17
40892,24.17
40893,24.17
40894,24.17
40895,24.17
40896,24.17
40897,24.17
40898,24.17
40899,24.17
40900,24.17
40901,24.17
40902,24.17
40903,24.17
40904,24.17
40905,24.17
40906,24.17
40907,24.17
40908,24.17
40909,24.17
40910,24.17
40911,24.17
40912,24.17
40913,24.17
40914,24.17
40915,24.17
40916,24.17
40917,24.17
40918,24.17
40919,24.17
40920,24.17
40921,24.17
40922,24.17
40923,24.17
40924,24.17
40925,24.17
40926,24.17
40927,24.17
40928,24.17
40929,24.17
40930,24.17
40931,24.17
40932,24.17
40933,24.17
40934,24.17
40935,24.17
40936,24.17
40937,24.17
40938,24.17
40939,24.17
40940,24.17
40941,24.17
40942,24.17
40943,24.17
40944,24.17
40945,24.17
40946,24.17
40947,24.17
40948,24.17
40949,24.17
40950,24.17
40951,24.17
40952,24.17
40953,24.17
40954,24.17
40955,24.17
40956,24.17
40957,24.17
40958,24.17
40959,24.17
40960,24.17
40961,24.17
40962,24.17
40963,24.17
40964,24.17
40965,24.17
40966,24.17
40967,24.17
40968,24.17
40969,24.17
40970,24.17
40971,24.17
40972,24.17
40973,24.17
40974,24.17
40975,24.17
40976,24.17
40977,24.17
40978,24.17
40979,24.17
40980,24.17
40981,24.17
40982,24.17
40983,24.17
40984,24.17
40985,24.17
40986,24.17
40987,24.17
40988,24.17
40989,24.17
