$ 2008-2017_NAVD88/QGT_BON_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  ../SpillEdits_NB/QGT_BON_2011_2015_daily_ave.csv ; all outlets scaled to total flow from BONNEVILLE-LEAKAGE_QTOTMISC.csv, BONNEVILLE-POOLELEV.csv, BONNEVILLE-POWER PLANT_FLOW-TURBINE.csv, BONNEVILLE-SPILLWAY_QTOTSPILL.csv, BONNEVILLE_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; spillbay flow from published spill pattern
"JDAY","POWR1","SB1","SB2","SB3","SB4","SB5","SB6","SB7","SB8","SB9","SB10","SB11","SB12","SB13","SB14","SB15","SB16","SB17","SB18","MISC"
40544,4942.49,14.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.16,90.61
40545,4823.09,14.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.16,90.61
40546,3931.17,14.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.16,90.61
40547,5116.77,14.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.16,90.61
40548,5178.85,14.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.16,90.61
40549,4272.07,14.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.16,90.61
40550,4990.15,14.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.16,90.61
40551,4644.39,14.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.16,90.61
40552,4962.19,14.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.16,90.61
40553,5534.48,14.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.16,90.61
40554,5086.62,14.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.16,90.61
40555,4898.01,14.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.16,90.61
40556,5172.05,14.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.16,90.61
40557,5589.92,14.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.16,90.61
40558,5684.39,32.595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.595,90.61
40559,5684.39,33.965,65.099,33.965,33.965,33.965,33.965,33.965,33.965,0,33.965,32.269,33.965,33.965,33.965,33.965,33.965,65.099,33.965,90.61
40560,5684.39,33.973,65.115,33.973,33.973,33.973,33.973,33.973,33.973,0,33.973,28.568,33.973,33.973,33.973,33.973,33.973,65.115,33.973,90.61
40561,5684.39,186.79,212.879,186.79,186.79,186.79,155.658,155.658,155.658,127.357,153.446,127.357,155.658,155.658,155.658,186.79,215.092,212.879,186.79,90.61
40562,5684.39,243.381,297.151,297.151,270.79,268.851,268.851,268.851,243.381,243.381,243.381,268.851,268.851,268.851,268.851,297.151,297.151,297.151,243.381,90.61
40563,5684.39,186.781,215.082,215.082,186.781,186.781,186.781,186.781,186.781,155.651,155.651,186.781,183.535,186.781,186.781,186.781,215.082,243.382,215.082,90.61
