$ THE DALLES_OUTFLOW.csv based on THE DALLES-POOL/FLOW-OUT from PA_EXT_smoothed_fb 2020-01-03 1542_NAVD88.dss
Units in  cms ;Based on Excel conventions, JDAY 1 is 1899-12-31; JDAY 40544 is 2011-01-01
"JDAY","THE.DALLES_OUTFLOW"
40544,4489.9
40545,4316.67
40546,5450.96
40547,5159.39
40548,4155.52
40549,4131.98
40550,4872.61
40551,4623.08
40552,5199.08
40553,6250.66
40554,5580.24
40555,5675.91
40556,4377.97
40557,5561.5
40558,5647.18
40559,4906.27
40560,7065.19
40561,9504.17
40562,11050.33
40563,8681.39
40564,8053.64
40565,8293.7
40566,8842.33
40567,8254.41
40568,8070.53
40569,6890.5
40570,7765.46
40571,7747.2
40572,6749.38
40573,6237.22
40574,7739.89
40575,7012.61
40576,6232.98
40577,6213.02
40578,6508.34
40579,5237.24
40580,5968.38
40581,5982.68
40582,7695.68
40583,7680.93
40584,6403.01
40585,6521.53
40586,6204.02
40587,5414.35
40588,6171.38
40589,6947.91
40590,6551.44
40591,6086.05
40592,6041.76
40593,6323.79
40594,6200.07
40595,5966.55
40596,5942.59
40597,6430.11
40598,6036.69
40599,5275.78
40600,5389.16
40601,5681.88
40602,6624.1
40603,5746.69
40604,5342.08
40605,5167.57
40606,5083.92
40607,4380.24
40608,4670.16
40609,5496.23
40610,4886.66
40611,5946.65
40612,5278.4
40613,4692.85
40614,6177.9
40615,5526.18
40616,6247.88
40617,5507.45
40618,5198.48
40619,6114.26
40620,6734.32
40621,6558.46
40622,6231.85
40623,5095.16
40624,5973.08
40625,7097.2
40626,6024.85
40627,5407.3
40628,5152.44
40629,6492.68
40630,5177.74
40631,5582.23
40632,5916.85
40633,5428.14
40634,7420.94
40635,8897.84
40636,8619.6
40637,9642.2
40638,9998.36
40639,8098.97
40640,8162.95
40641,8047.68
40642,8733.14
40643,8601
40644,7320.96
40645,7750.08
40646,7425.47
40647,7089.46
40648,7928.55
40649,5734.67
40650,7002.99
40651,8200.85
40652,7348.08
40653,7985.92
40654,7345.99
40655,7299.34
40656,6897.15
40657,6571.58
40658,7232.67
40659,6431.07
40660,7096.75
40661,7106.75
40662,6006.75
40663,5869.44
40664,7845.97
40665,6577.64
40666,6047.87
40667,6135.59
40668,5373.12
40669,5796.12
40670,5710.64
40671,5796.8
40672,6683.13
40673,7870.8
40674,6693.72
40675,7066.32
40676,9564.26
40677,9233.6
40678,9626.05
40679,11549.43
40680,12208.76
40681,13536.53
40682,13421.92
40683,12970.06
40684,11899.44
40685,11794.83
40686,12311.01
40687,13138.5
40688,12222.96
40689,11959.32
40690,12331.99
40691,12593.24
40692,13044.21
40693,12461.31
40694,12042.57
40695,11626.37
40696,11487.4
40697,11840.96
40698,13037.89
40699,13191.69
40700,12415.64
40701,12550
40702,12784.33
40703,13847.31
40704,14717.47
40705,14270.74
40706,14114.39
40707,14664.18
40708,14704.35
40709,14236.82
40710,14902.21
40711,15061.1
40712,13864.46
40713,13146.95
40714,12876.37
40715,13910.22
40716,13768.98
40717,13637.48
40718,14365.3
40719,14080.91
40720,13552.11
40721,12571.41
40722,12754.34
40723,11841.82
40724,12051.42
40725,13545.34
40726,14418.58
40727,13303.41
40728,14039.76
40729,12919.74
40730,13513.74
40731,14038.93
40732,13895.52
40733,13995.32
40734,13486.41
40735,12030.31
40736,11318.76
40737,10967.49
40738,11640.46
40739,11936.42
40740,10005.19
40741,9669.03
40742,10572.58
40743,10194.8
40744,9786.56
40745,8952.56
40746,9278.76
40747,9241.37
40748,8899.17
40749,8379.12
40750,7923.56
40751,7752.26
40752,8026.4
40753,7237.13
40754,7305.11
40755,8175.32
40756,7942.39
40757,6278.86
40758,6823.15
40759,7077.19
40760,6568.51
40761,5751.72
40762,6261.61
40763,6759.47
40764,5990.44
40765,5792.06
40766,6195.04
40767,5946.58
40768,4599.43
40769,4599.28
40770,6297.16
40771,5845.57
40772,5530.19
40773,5012.15
40774,4911.31
40775,4160.73
40776,3882.4
40777,4603.34
40778,5074.04
40779,5255.23
40780,5239.13
40781,4397.51
40782,4311.41
40783,3791.57
40784,4208
40785,4190.84
40786,5224.73
40787,3289.74
40788,2809.19
40789,2756.2
40790,2735.37
40791,3412.11
40792,3620.96
40793,3578.71
40794,3277.56
40795,3420.15
40796,3181.88
40797,2956.56
40798,3311.41
40799,2788.9
40800,2638.89
40801,2970.29
40802,3145.77
40803,3149.69
40804,3125.67
40805,3185.99
40806,3766.99
40807,3582.94
40808,2879.24
40809,2746.03
40810,2549.74
40811,3051.42
40812,3619.82
40813,3111.81
40814,3299.91
40815,3390.88
40816,2933.86
40817,2661.92
40818,3022.77
40819,3609.93
40820,4073.05
40821,4074.52
40822,4051.95
40823,3565.71
40824,3393
40825,3868.13
40826,5118.73
40827,4197.55
40828,3482.19
40829,3544.36
40830,4645.21
40831,3933.75
40832,3676.12
40833,3249.45
40834,3499.02
40835,3118.5
40836,3262.48
40837,3657.07
40838,3322.12
40839,2421.44
40840,3724.25
40841,4001.93
40842,3256.65
40843,3751.38
40844,4080.93
40845,2932.79
40846,2145.93
40847,3263.7
40848,4444.24
40849,4015.66
40850,3660.36
40851,3600.34
40852,4199.92
40853,4477.16
40854,3842.67
40855,4611.3
40856,3666.56
40857,4027.48
40858,4263.92
40859,3558.81
40860,3620.9
40861,4230.53
40862,4047.59
40863,4512.51
40864,4143.93
40865,3481.99
40866,3867.88
40867,4307.54
40868,3639.75
40869,3443.43
40870,3610.02
40871,4130.42
40872,4568.67
40873,4843.41
40874,4255.06
40875,4814.73
40876,4294.84
40877,4195.38
40878,3862.81
40879,3992.65
40880,4110.72
40881,4050.66
40882,3882.07
40883,4111.86
40884,4031.48
40885,3660.21
40886,3816.66
40887,4224.76
40888,3893.84
40889,3979.69
40890,3608.41
40891,3643.85
40892,3716.23
40893,3447.85
40894,4205.15
40895,3404.24
40896,3970.76
40897,3893.41
40898,3849.94
40899,3640.24
40900,3928.45
40901,3580.73
40902,3233
40903,4006.03
40904,3979.04
40905,3331.4
40906,3174.71
40907,3672.76
40908,4209.28
40909,5361.24
40910,4278.7
40911,4668.5
40912,5099.75
40913,4152.71
40914,4575.6
40915,3648.73
40916,3707.52
40917,4797.33
40918,4661.96
40919,5071.21
40920,3507.82
40921,4235.97
40922,3816.13
40923,4390.24
40924,4861.44
40925,4203.87
40926,4664.43
40927,5057.14
40928,4676.57
40929,4158.85
40930,4065.32
40931,5464.03
40932,5364.73
40933,4133.93
40934,4447.2
40935,5302.91
40936,4565.35
40937,4251.87
40938,4056.74
40939,4973.69
40940,5187.64
40941,5230.13
40942,4813.9
40943,4933.91
40944,5209.35
40945,5344.78
40946,5318.94
40947,4406.65
40948,4193.66
40949,5230.09
40950,5312.44
40951,4832.87
40952,5196.83
40953,4877.78
40954,5388.24
40955,5734.8
40956,4339.35
40957,4424.02
40958,4661.4
40959,5816.58
40960,5385.97
40961,4787.02
40962,6008.83
40963,6829.57
40964,5662.36
40965,6018.47
40966,7249.21
40967,6427.2
40968,4489.91
40969,4643.81
40970,4843.01
40971,4233.74
40972,4392.63
40973,4017.15
40974,4119.42
40975,4838.67
40976,4605.85
40977,3918.12
40978,3315.95
40979,3881.52
40980,4507.23
40981,4610.17
40982,4644.89
40983,4354.94
40984,5099.08
40985,5036.01
40986,6025.16
40987,6260.96
40988,5601.63
40989,6124.3
40990,5109.15
40991,5095.51
40992,5870.03
40993,5832.03
40994,5493.79
40995,5801.94
40996,6847.81
40997,6882.34
40998,7104.28
40999,6087.24
41000,7333.47
41001,8806.61
41002,9636.2
41003,7960.92
41004,6740.92
41005,8006.96
41006,8372.01
41007,8062.55
41008,7099.07
41009,6636.65
41010,7892.31
41011,8093.99
41012,7408.73
41013,8129.07
41014,8201.97
41015,8330.59
41016,8576.87
41017,8582.62
41018,8927.66
41019,8678.15
41020,7837.48
41021,8984.44
41022,9420.23
41023,8763.09
41024,9598.86
41025,10605.96
41026,9583.58
41027,11195.14
41028,11352.06
41029,10424.27
41030,10515.42
41031,10621.84
41032,10157.27
41033,10181.3
41034,9705.5
41035,9604.67
41036,8975.75
41037,8422.57
41038,8193.35
41039,8555.24
41040,9360.67
41041,8778.79
41042,8535.9
41043,7574.31
41044,9520.82
41045,9562.42
41046,9893.94
41047,11183.28
41048,11224.94
41049,9696.88
41050,9975.88
41051,9672.33
41052,9511.66
41053,10746.83
41054,10465.39
41055,10060.9
41056,8642.89
41057,9500.98
41058,8281.49
41059,8916.67
41060,7559.89
41061,7966.23
41062,8254.74
41063,9512.02
41064,10238.62
41065,10240.75
41066,12257.82
41067,12749.88
41068,12190.68
41069,11887.86
41070,11920.62
41071,11421.6
41072,11778.55
41073,10860.86
41074,10503.24
41075,11546.12
41076,10101.66
41077,11074.56
41078,11519.9
41079,12237.71
41080,12344.86
41081,11489.44
41082,11496.53
41083,11233.36
41084,11135.09
41085,13266.31
41086,11441.49
41087,11893.38
41088,11336.18
41089,10167.88
41090,10501.97
41091,10852.23
41092,10515.56
41093,11334.62
41094,10754.48
41095,12262.03
41096,12274.72
41097,10065.08
41098,10434.43
41099,11415.73
41100,10927.97
41101,10801.09
41102,10204.14
41103,10616.42
41104,10236.77
41105,9204.4
41106,10855.21
41107,10689.48
41108,8849.28
41109,8958.33
41110,9308.77
41111,9989.06
41112,9047.28
41113,8623.87
41114,8493.04
41115,7905.4
41116,8402.05
41117,8082.17
41118,7068.31
41119,7847.65
41120,7861.26
41121,7683.5
41122,6980.78
41123,6573.18
41124,6489.38
41125,6299.1
41126,5509.47
41127,5893.23
41128,5658.24
41129,5535.94
41130,6353.9
41131,5499.45
41132,5927.81
41133,6436.05
41134,5868.43
41135,4511.92
41136,4910.1
41137,5248.81
41138,5218.73
41139,4883.63
41140,4197.13
41141,5012.81
41142,4529.61
41143,4885.65
41144,4245.35
41145,4551.17
41146,4422.74
41147,3350.05
41148,4352.21
41149,3343.34
41150,3805.8
41151,3664.88
41152,3773.02
41153,2732.98
41154,2049.59
41155,1890.99
41156,3156.2
41157,3398.68
41158,3343.41
41159,2277.04
41160,2418.39
41161,1790.28
41162,2480.05
41163,2951.43
41164,3255.06
41165,2241.39
41166,2529.76
41167,2707.93
41168,2414.21
41169,2434.28
41170,3096.22
41171,2909.13
41172,2480.57
41173,2779.22
41174,2128.95
41175,2487.51
41176,2284.56
41177,2973.83
41178,2728.69
41179,2489.46
41180,3285.72
41181,2602.18
41182,2207.29
41183,2115.09
41184,2581.12
41185,3498.38
41186,2857.54
41187,2103.48
