$
,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32,
DLX,  1000.000,  1000.000,  1000.000,  1000.000,  1000.000,  1000.000,  1000.000,  1000.000,  1000.000,  1000.000,  1000.000,  1000.000,  1000.000,  1000.000,  1000.000,  1000.000,  1000.000,  1000.000,  1000.000,  1000.000,  1000.000,  1000.000,  1000.000,  1000.000,  1000.000,  1000.000,  1000.000,  1000.000,  1000.000,  1000.000,  1000.000,  1000.000,
ELWS,   123.800,   123.800,   123.800,   123.800,   123.800,   123.800,   123.800,   123.800,   123.800,   123.800,   123.800,   123.800,   123.800,   123.800,   123.800,   123.800,   123.800,   123.800,   123.800,   123.800,   123.800,   123.800,   123.800,   123.800,   123.800,   123.800,   123.800,   123.800,   123.800,   123.800,   123.800,   123.800,
PHI0,     5.140,     5.140,     5.140,     5.140,     5.140,     5.140,     5.140,     5.140,     5.140,     5.140,     5.140,     5.140,     5.140,     5.140,     5.140,     5.140,     5.140,     5.140,     5.140,     5.140,     5.140,     5.140,     5.140,     5.140,     5.140,     5.140,     5.140,     5.140,     5.140,     5.140,     5.140,     5.140,
FRIC,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,    70.000,
LAYERH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,ELEV
   2.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,  1
   2.000,     0.000,   171.000,   298.000,   513.000,   645.000,   726.000,   900.000,   799.000,   685.000,   944.000,  1184.000,  1175.000,  1510.000,  2225.000,  2205.000,  1818.000,  2773.000,  3156.000,  3291.000,  5096.000,  5001.000,  5741.000,  6418.000,  3810.000,  2508.000,  2900.000,  3335.000,  3331.000,  2483.000,  1428.000,   892.000,     0.000,  2
   2.000,     0.000,   171.000,   298.000,   513.000,   645.000,   726.000,   900.000,   799.000,   684.000,   934.000,  1161.000,  1158.000,  1464.000,  2119.000,  2101.000,  1720.000,  2637.000,  3028.000,  3209.000,  4992.000,  4847.000,  5587.000,  6310.000,  3760.000,  2460.000,  2759.000,  3185.000,  3261.000,  2423.000,  1379.000,   870.000,     0.000,  3
   2.000,     0.000,   171.000,   298.000,   513.000,   645.000,   726.000,   900.000,   799.000,   683.000,   920.000,  1131.000,  1134.000,  1429.000,  2030.000,  1977.000,  1576.000,  2471.000,  2889.000,  3120.000,  4885.000,  4696.000,  5436.000,  6199.000,  3703.000,  2423.000,  2700.000,  3116.000,  3204.000,  2360.000,  1328.000,   849.000,     0.000,  4
   2.000,     0.000,   159.000,   271.000,   458.000,   581.000,   672.000,   844.000,   751.000,   623.000,   840.000,  1073.000,  1098.000,  1390.000,  1952.000,  1848.000,  1412.000,  2296.000,  2745.000,  3016.000,  4768.000,  4550.000,  5260.000,  6041.000,  3626.000,  2385.000,  2634.000,  3008.000,  3106.000,  2289.000,  1280.000,   828.000,     0.000,  5
   2.000,     0.000,   134.000,   212.000,   338.000,   440.000,   558.000,   735.000,   658.000,   608.000,   705.000,   993.000,  1051.000,  1338.000,  1869.000,  1720.000,  1257.000,  2130.000,  2600.000,  2880.000,  4610.000,  4388.000,  5087.000,  5894.000,  3553.000,  2346.000,  2564.000,  2879.000,  2981.000,  2209.000,  1234.000,   805.000,     0.000,  6
   2.000,     0.000,   107.000,   150.000,   214.000,   295.000,   448.000,   658.000,   646.000,   535.000,   624.000,   934.000,  1006.000,  1287.000,  1785.000,  1593.000,  1103.000,  1964.000,  2449.000,  2714.000,  4382.000,  4175.000,  4944.000,  5805.000,  3501.000,  2307.000,  2496.000,  2759.000,  2866.000,  2131.000,  1188.000,   783.000,     0.000,  7
   2.000,     0.000,    79.000,   100.000,   125.000,   183.000,   353.000,   603.000,   624.000,   492.000,   574.000,   857.000,   936.000,  1209.000,  1650.000,  1415.000,   873.000,  1691.000,  2229.000,  2443.000,  3899.000,  3767.000,  4686.000,  5530.000,  3270.000,  2063.000,  2168.000,  2456.000,  2691.000,  2045.000,  1151.000,   763.000,     0.000,  8
   2.000,     0.000,    43.000,    70.000,   100.000,   113.000,   265.000,   537.000,   501.000,   343.000,   506.000,   739.000,   834.000,  1094.000,  1445.000,  1194.000,   660.000,  1420.000,  1963.000,  2121.000,  3388.000,  3375.000,  4393.000,  5163.000,  2984.000,  1780.000,  1801.000,  2131.000,  2493.000,  1952.000,  1122.000,   745.000,     0.000,  9
   2.000,     0.000,     0.000,     0.000,    70.000,    90.000,   205.000,   484.000,   453.000,   299.000,   435.000,   613.000,   727.000,   974.000,  1228.000,   982.000,   545.000,  1247.000,  1706.000,  1843.000,  3079.000,  3171.000,  4198.000,  4919.000,  2835.000,  1662.000,  1654.000,  1963.000,  2327.000,  1860.000,  1096.000,   728.000,     0.000, 10
   2.000,     0.000,     0.000,     0.000,     0.000,    70.000,   154.000,   405.000,   380.000,   257.000,   363.000,   472.000,   552.000,   763.000,   973.000,   771.000,   430.000,   989.000,  1344.000,  1551.000,  2778.000,  2970.000,  4019.000,  4698.000,  2691.000,  1538.000,  1484.000,  1777.000,  2162.000,  1769.000,  1070.000,   712.000,     0.000, 11
   2.000,     0.000,     0.000,     0.000,     0.000,     0.000,    70.000,   203.000,   266.000,   208.000,   292.000,   323.000,   314.000,   462.000,   688.000,   573.000,   322.000,   712.000,   952.000,  1201.000,  2412.000,  2747.000,  3783.000,  4395.000,  2513.000,  1415.000,  1315.000,  1599.000,  2006.000,  1677.000,  1044.000,   696.000,     0.000, 12
   2.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    70.000,   127.000,   144.000,   228.000,   228.000,   175.000,   275.000,   491.000,   435.000,   252.000,   561.000,   733.000,   913.000,  2010.000,  2470.000,  3530.000,  4084.000,  2339.000,  1321.000,  1201.000,  1460.000,  1859.000,  1581.000,  1014.000,   676.000,     0.000, 13
   2.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    70.000,   100.000,   120.000,   178.000,   136.000,   205.000,   374.000,   344.000,   209.000,   475.000,   622.000,   741.000,  1650.000,  2161.000,  3288.000,  3806.000,  2183.000,  1247.000,  1116.000,  1340.000,  1713.000,  1479.000,   979.000,   652.000,     0.000, 14
   2.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    70.000,    70.000,   127.000,   103.000,   144.000,   261.000,   253.000,   168.000,   336.000,   446.000,   564.000,  1286.000,  1833.000,  2924.000,  3347.000,  1961.000,  1174.000,  1026.000,  1175.000,  1439.000,  1280.000,   934.000,   627.000,     0.000, 15
   2.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    70.000,    90.000,    85.000,   149.000,   163.000,   126.000,   210.000,   288.000,   429.000,  1036.000,  1601.000,  2563.000,  2866.000,  1731.000,  1100.000,   936.000,  1008.000,  1146.000,  1061.000,   886.000,   603.000,     0.000, 16
   2.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    70.000,    70.000,   100.000,    95.000,    92.000,   153.000,   218.000,   351.000,   893.000,  1424.000,  2241.000,  2455.000,  1497.000,   995.000,   817.000,   855.000,   958.000,   925.000,   848.000,   582.000,     0.000, 17
   2.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    70.000,    80.000,    69.000,   104.000,   156.000,   231.000,   554.000,  1014.000,  1801.000,  2003.000,  1254.000,   884.000,   703.000,   714.000,   780.000,   798.000,   813.000,   564.000,     0.000, 18
   2.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    70.000,    51.000,    56.000,    96.000,   130.000,   263.000,   622.000,  1322.000,  1533.000,  1039.000,   798.000,   630.000,   623.000,   665.000,   726.000,   783.000,   546.000,     0.000, 19
   2.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    50.000,    90.000,   182.000,   417.000,   873.000,  1057.000,   821.000,   714.000,   558.000,   544.000,   604.000,   700.000,   755.000,   524.000,     0.000, 20
   2.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    40.000,    98.000,   221.000,   489.000,   670.000,   636.000,   629.000,   488.000,   471.000,   547.000,   673.000,   723.000,   497.000,     0.000, 21
   2.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    42.000,   108.000,   261.000,   421.000,   497.000,   542.000,   421.000,   412.000,   495.000,   637.000,   679.000,   468.000,     0.000, 22
   2.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    77.000,   156.000,   265.000,   391.000,   460.000,   364.000,   369.000,   441.000,   545.000,   594.000,   439.000,     0.000, 23
   2.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,   102.000,   183.000,   316.000,   393.000,   319.000,   337.000,   390.000,   437.000,   498.000,   415.000,     0.000, 24
   2.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    83.000,   154.000,   263.000,   333.000,   280.000,   309.000,   350.000,   357.000,   426.000,   392.000,     0.000, 25
   2.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,   117.000,   213.000,   278.000,   241.000,   281.000,   312.000,   290.000,   365.000,   371.000,     0.000, 26
