$
,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90,
DLX,     0.000,   754.250,  1002.720,   953.040,  1958.260,   256.590,  1611.460,   575.540,   973.170,   474.710,   506.080,  1256.250,   491.050,   961.620,   341.740,   956.820,   710.450,   753.480,   612.880,  1257.650,   511.630,   900.380,   311.540,   735.130,   711.990,  1079.200,  1278.810,   907.380,  1140.260,  1030.860,   692.020,  1268.030,   623.300,   549.760,   978.470,   789.640,   508.910,   486.440,   427.590,   362.870,   885.510,   825.050,   705.970,   641.780,   368.710,   344.110,   479.230,   204.200,   274.480,   551.310,   471.610,     0.000,     0.000,   373.230,   286.950,   492.330,   498.550,   558.230,   468.650,   474.900,   469.640,   589.520,   232.840,   244.750,   488.430,   681.050,   827.390,   757.370,   292.000,   347.240,   400.780,   693.260,   499.200,   396.180,   134.000,   188.210,   561.250,   787.860,  1175.980,  1079.710,   886.840,   134.600,   401.450,   781.280,   722.540,   832.130,   529.000,   399.110,  2321.430,     0.000,
ELWS,   214.660,   214.660,   214.600,   214.540,   214.450,   214.250,   214.230,   214.147,   214.100,   214.050,   214.020,   213.980,   213.865,   213.810,   213.775,   213.750,   213.650,   213.580,   213.500,   213.450,   213.340,   213.310,   213.225,   213.200,   213.170,   213.130,   213.040,   212.950,   212.870,   212.810,   212.760,   212.680,   212.580,   212.560,   212.530,   212.480,   212.450,   212.430,   212.400,   212.380,   212.370,   212.330,   212.290,   212.260,   212.230,   212.210,   212.200,   212.180,   212.180,   212.160,   212.140,   212.140,   212.140,   212.110,   212.080,   212.080,   212.060,   212.030,   212.000,   211.960,   211.930,   211.910,   211.883,   211.880,   211.870,   211.860,   211.840,   211.820,   211.790,   211.775,   211.760,   211.750,   211.730,   211.700,   211.675,   211.670,   211.660,   211.640,   211.610,   211.540,   211.470,   211.425,   211.420,   211.400,   211.360,   211.320,   211.300,   211.290,   211.200,   211.200,
PHI0,     3.142,     3.142,     3.142,     3.142,     3.347,     3.347,     3.347,     3.352,     3.552,     3.552,     3.757,     3.757,     3.762,     3.757,     3.762,     3.962,     3.962,     3.962,     3.962,     3.962,     4.065,     4.065,     4.062,     4.680,     4.782,     4.782,     4.782,     4.987,     4.987,     4.987,     4.987,     4.987,     4.987,     5.192,     5.192,     5.192,     5.192,     5.192,     5.192,     4.987,     4.987,     4.987,     4.987,     4.782,     4.782,     4.782,     4.782,    -1.500,     4.782,     4.782,     4.372,     4.372,     4.372,     4.372,     4.372,     4.372,     4.372,     4.372,     4.372,     4.372,     4.372,     4.372,     4.122,     3.962,     3.962,     3.962,     3.962,     3.962,     3.962,     3.962,     3.962,     3.962,     3.962,     3.962,     3.962,     3.962,     3.962,     3.962,     3.962,     3.962,     3.962,     3.962,     3.962,     3.962,     3.962,     3.962,     3.962,     3.552,     3.552,     3.552,
FRIC,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,     0.025,
LAYERH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,ELEV
   0.400,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,  1
   0.400,     0.000,  2669.880,  2247.910,  1458.850,  1722.490,  1750.510,  2030.030,  2343.380,  2116.630,  1996.800,  1973.820,  2039.680,  1659.690,  1709.060,  1987.130,  1525.930,  1330.810,  1742.140,  1806.320,  1668.390,  1711.670,  1605.310,  1835.150,  1765.350,  1825.480,  1980.090,  1762.150,  1633.150,  1620.720,  2129.460,  2317.120,  2148.010,  2075.460,  1914.320,  1978.260,  1705.920,  1986.440,  2000.990,  1857.160,  1935.250,  1748.500,  1996.720,  2009.140,  1940.450,  1953.200,  1913.270,  1746.710,  1979.120,  2060.700,  1936.650,  1627.490,     0.000,     0.000,  1280.170,   919.020,   735.520,  2110.190,  2287.660,  2239.110,  1676.400,  1681.890,  1816.710,  2259.920,  2485.950,  2373.170,  2051.830,  1865.990,  1762.960,  1612.700,  1669.270,  1644.400,  1833.070,  2136.950,  2381.710,  2581.680,  2544.830,  2570.200,  2478.490,  2771.550,  2776.220,  2530.450,  2321.180,  2318.040,  2049.780,  1747.720,  1401.780,  1271.320,  1184.150,  1030.220,     0.000,  2
   0.400,     0.000,  2669.880,  2247.910,  1458.850,  1722.490,  1750.510,  2030.030,  2343.380,  2116.630,  1996.800,  1973.820,  2039.680,  1659.690,  1709.060,  1987.130,  1525.930,  1330.810,  1742.140,  1806.320,  1668.390,  1711.670,  1605.310,  1835.150,  1765.350,  1825.480,  1980.090,  1762.150,  1633.150,  1620.720,  2129.460,  2317.120,  2148.010,  2075.460,  1914.320,  1978.260,  1705.920,  1986.440,  2000.990,  1857.160,  1935.250,  1748.500,  1996.720,  2009.140,  1940.450,  1953.200,  1913.270,  1746.710,  1979.120,  2060.700,  1936.650,  1627.490,     0.000,     0.000,  1280.170,   919.020,   735.520,  2110.190,  2287.660,  2239.110,  1676.400,  1681.890,  1816.710,  2259.920,  2485.950,  2373.170,  2051.830,  1865.990,  1762.960,  1612.700,  1669.270,  1644.400,  1833.070,  2136.950,  2381.710,  2581.680,  2544.830,  2570.200,  2478.490,  2771.550,  2776.220,  2530.450,  2321.180,  2318.040,  2049.780,  1747.720,  1401.780,  1271.320,  1184.150,  1030.220,     0.000,  3
   0.400,     0.000,  2669.880,  2247.910,  1458.850,  1722.490,  1750.510,  2030.030,  2343.380,  2116.630,  1996.800,  1973.820,  2039.680,  1659.690,  1709.060,  1987.130,  1525.930,  1330.810,  1742.140,  1806.320,  1668.390,  1711.670,  1605.310,  1835.150,  1765.350,  1825.480,  1980.090,  1762.150,  1633.150,  1620.720,  2129.460,  2317.120,  2148.010,  2075.460,  1914.320,  1978.260,  1705.920,  1986.440,  2000.990,  1857.160,  1935.250,  1748.500,  1996.720,  2009.140,  1940.450,  1953.200,  1913.270,  1746.710,  1979.120,  2060.700,  1936.650,  1627.490,     0.000,     0.000,  1280.170,   919.020,   735.520,  2110.190,  2287.660,  2239.110,  1676.400,  1681.890,  1816.710,  2259.920,  2485.950,  2373.170,  2051.830,  1865.990,  1762.960,  1612.700,  1669.270,  1644.400,  1833.070,  2136.950,  2381.710,  2581.680,  2544.830,  2570.200,  2478.490,  2771.550,  2776.220,  2530.450,  2321.180,  2318.040,  2049.780,  1747.720,  1401.780,  1271.320,  1184.150,  1030.220,     0.000,  4
   0.400,     0.000,  2669.880,  2247.910,  1458.850,  1722.490,  1750.510,  2030.030,  2343.380,  2116.630,  1996.800,  1973.820,  2039.680,  1659.690,  1709.060,  1987.130,  1525.930,  1330.810,  1742.140,  1806.320,  1668.390,  1711.670,  1605.310,  1835.150,  1765.350,  1825.480,  1980.090,  1762.150,  1633.150,  1620.720,  2129.460,  2317.120,  2148.010,  2075.460,  1914.320,  1978.260,  1705.920,  1986.440,  2000.990,  1857.160,  1935.250,  1748.500,  1996.720,  2009.140,  1940.450,  1953.200,  1913.270,  1746.710,  1979.120,  2060.700,  1936.650,  1627.490,     0.000,     0.000,  1280.170,   919.020,   735.520,  2110.190,  2287.660,  2239.110,  1676.400,  1681.890,  1816.710,  2259.920,  2485.950,  2373.170,  2051.830,  1865.990,  1762.960,  1612.700,  1669.270,  1644.400,  1833.070,  2136.950,  2381.710,  2581.680,  2544.830,  2570.200,  2478.490,  2771.550,  2776.220,  2530.450,  2321.180,  2318.040,  2049.780,  1747.720,  1401.780,  1271.320,  1184.150,  1030.220,     0.000,  5
