 JDAY =    582.486722229035     
QIN:,94.712865,27355.211327,
QTR:,.076500,.243600,1.219700,.178400,.342700,13.290000,.010000,1.132500,.056500,.010400,.001200,.000000,
QDT:,.000000,.000000,
QWD:,10.395500,

SEG,BRANCH,KT,WSE,SZ,Z,Q,QC,QERR,H2KT,H1KT,BHR1,BHR2,T1,T2,SUKT,UKT
1,1,I,104,214.660000,-6.193239,-6.193237,94.712865,94.712865,.000000,6.793239,6.793237,665.294956,665.295456,26.920448,26.920448,.142362,.142362
2,1,A,104,213.194888,-6.193239,-6.193237,98.686199,98.563445,.124388,6.793239,6.793237,586.998501,587.156002,27.228317,27.228317,.167652,.167911
3,1,A,104,212.998611,-6.059501,-6.058455,3770.758567,3770.753336,.000139,6.659501,6.658455,331.487266,331.715170,27.399093,27.399093,11.441767,11.375259
4,1,A,104,212.915663,-6.044440,-6.043958,4690.060018,4690.101664,-.000888,6.644440,6.643958,279.643341,279.718529,27.615070,27.615070,16.914780,16.771727
5,1,A,104,213.131079,-6.361427,-6.361270,5307.290616,5307.405371,-.002162,6.961427,6.961270,292.012394,291.538347,27.470818,27.470818,18.321328,18.175274
6,1,A,104,213.484866,-6.789875,-6.792576,3921.252032,3921.072090,.004589,7.389875,7.392576,268.357599,267.901379,27.487483,27.487483,14.733646,14.611370
7,1,A,104,212.722125,-6.095576,-6.095217,5077.660352,5077.682987,-.000446,6.695576,6.695217,290.929063,291.024058,27.529137,27.529137,17.622069,17.453337
8,1,A,104,212.886708,-6.336732,-6.336345,5672.130645,5672.154571,-.000422,6.936732,6.936345,299.941600,299.996781,27.223817,27.223817,19.092498,18.910863
9,1,A,104,212.967466,-6.471178,-6.471308,5417.438656,5417.527652,-.001643,7.071178,7.071308,270.419204,270.245793,27.524187,27.524187,20.224435,20.033813
10,1,A,104,213.199704,-6.752996,-6.754222,4253.436265,4253.362633,.001731,7.352996,7.354222,219.039830,218.773284,27.579608,27.579608,19.599447,19.418216
11,1,A,104,212.991084,-6.578083,-6.579929,2789.571164,2789.457213,.004085,7.178083,7.179929,192.891853,192.700541,27.602265,27.602265,14.604501,14.461249
12,1,A,104,212.374403,-6.025144,-6.024930,3440.593581,3440.635127,-.001208,6.625144,6.624930,179.621661,179.614550,27.693113,27.693113,19.358679,19.154901
13,1,A,104,212.613517,-6.324925,-6.325200,3292.596078,3292.571375,.000750,6.924925,6.925200,143.297437,143.179527,27.650080,27.650080,23.217033,22.977183
14,1,A,104,212.248092,-6.007167,-6.010618,506.464307,506.142811,.063478,6.607167,6.610618,37.218821,37.452404,27.690644,27.690644,13.935378,13.599109
15,1,A,104,206.020836,.156200,.171020,1939.844087,1939.983193,-.007171,.443800,.428980,44.739540,45.235399,23.232851,23.232851,43.705009,43.361715
16,1,A,104,212.141756,-6.003528,-5.995349,8728.123322,8728.182412,-.000677,6.603528,6.595349,309.112733,309.180327,27.468581,27.468581,28.582451,28.236244
17,1,A,104,212.538467,-6.449051,-6.450414,5822.625735,5822.477492,.002546,7.049051,7.050414,285.130979,284.706427,27.570524,27.570524,20.616213,20.420361
18,1,A,104,211.880478,-5.838425,-5.843663,2499.532493,2499.250971,.011263,6.438425,6.443663,150.185320,150.282008,27.572462,27.572462,16.827139,16.641114
19,1,A,104,210.332260,-4.345938,-4.343268,5772.342860,5772.552473,-.003631,4.945938,4.943268,225.318397,225.891452,27.523114,27.523114,25.958601,25.619535
20,1,A,104,211.721775,-5.804838,-5.798251,13985.132463,13985.287605,-.001109,6.404838,6.398251,298.030647,297.975067,27.290439,27.290439,47.299535,46.925669
21,1,A,104,212.577167,-6.712655,-6.715568,12226.135661,12226.050709,.000695,7.312655,7.315568,274.786155,274.463840,27.215453,27.215453,44.893380,44.492965
22,1,A,104,212.111662,-6.296236,-6.299484,9665.166234,9665.206494,-.000417,6.896236,6.899484,237.572688,237.463407,27.104449,27.104449,41.071136,40.683155
23,1,A,104,212.182277,-6.412152,-6.412515,9513.256652,9513.540749,-.002986,7.012152,7.012515,288.322912,288.144741,27.094345,27.094345,33.333384,32.996132
24,1,A,104,212.740430,-7.004884,-7.007303,5957.829112,5957.562244,.004479,7.604884,7.607303,413.636647,413.086401,27.021669,27.021669,14.536108,14.402888
25,1,A,104,211.890592,-6.207466,-6.208113,1581.332699,1581.122465,.013295,6.807466,6.808113,275.852583,275.467403,27.169719,27.169719,5.787904,5.731766
26,1,A,104,210.475147,-4.854929,-4.855360,1178.448737,1178.385365,.005378,5.454929,5.455360,72.683455,72.701567,27.569196,27.569196,16.418262,16.212567
27,1,A,104,209.466139,-3.930739,-3.928882,2249.920389,2249.948256,-.001239,4.530739,4.528882,86.081618,86.186704,27.684774,27.684774,26.471531,26.137384
