$Inflows,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY 1.0= 1/1/2000 12am,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY,TDS,H2S,CH4,SO4,Tracer,Cond,TCol,ECol,ISS1,PO4,NH4,NO3,LDOM,RDOM,LPOM,RPOM,ALG1,DO,TIC,ALK,LDOM-P,RDOM-P,LPOM-P,RPOM-P,LDOM-N,RDOM-N,LPOM-N,RPOM-N
4384,72.71,0,0,4.94,0,85.04,1620,265.8,36.56,0.197,0.1133,0.6043,0.1325,0.1325,0.1325,0.1325,0.1,7.9,8.37,28.14,6.62E-04,6.62E-04,6.62E-04,6.62E-04,1.06E-02,1.06E-02,1.06E-02,1.06E-02
4385,72.96,0,0,4.942,0,85.37,1620,265.8,35.88,0.1954,0.1121,0.595,0.133,0.133,0.133,0.133,0.1,7.9,8.343,28.19,6.65E-04,6.65E-04,6.65E-04,6.65E-04,1.06E-02,1.06E-02,1.06E-02,1.06E-02
4386,73.22,0,0,4.943,0,85.69,1620,265.8,35.2,0.1937,0.1109,0.5856,0.1335,0.1335,0.1335,0.1335,0.1,7.9,8.317,28.25,6.68E-04,6.68E-04,6.68E-04,6.68E-04,1.07E-02,1.07E-02,1.07E-02,1.07E-02
4387,73.47,0,0,4.945,0,86.02,1620,265.8,34.52,0.1921,0.1097,0.5762,0.1341,0.1341,0.1341,0.1341,0.1,7.9,8.293,28.3,6.70E-04,6.70E-04,6.70E-04,6.70E-04,1.07E-02,1.07E-02,1.07E-02,1.07E-02
4388,73.73,0,0,4.946,0,86.35,1620,265.8,33.84,0.1904,0.1085,0.5668,0.1346,0.1346,0.1346,0.1346,0.1,7.9,8.269,28.36,6.73E-04,6.73E-04,6.73E-04,6.73E-04,1.08E-02,1.08E-02,1.08E-02,1.08E-02
4389,73.98,0,0,4.948,0,86.67,1620,265.8,33.16,0.1887,0.1073,0.5574,0.1351,0.1351,0.1351,0.1351,0.1,7.9,8.246,28.41,6.76E-04,6.76E-04,6.76E-04,6.76E-04,1.08E-02,1.08E-02,1.08E-02,1.08E-02
4390,74.24,0,0,4.95,0,87,1620,265.8,32.49,0.1871,0.1061,0.5481,0.1357,0.1357,0.1357,0.1357,0.1,7.9,8.224,28.47,6.78E-04,6.78E-04,6.78E-04,6.78E-04,1.09E-02,1.09E-02,1.09E-02,1.09E-02
4391,74.5,0,0,4.951,0,87.35,1620,265.8,31.81,0.1854,0.1049,0.5387,0.1362,0.1362,0.1362,0.1362,0.1,7.9,8.202,28.52,6.81E-04,6.81E-04,6.81E-04,6.81E-04,1.09E-02,1.09E-02,1.09E-02,1.09E-02
4392,74.75,0,0,4.953,0,87.71,1620,265.8,31.13,0.1838,0.1037,0.5293,0.1368,0.1368,0.1368,0.1368,0.1,7.9,8.181,28.57,6.84E-04,6.84E-04,6.84E-04,6.84E-04,1.09E-02,1.09E-02,1.09E-02,1.09E-02
4393,75.01,0,0,4.954,0,88.06,1620,265.8,30.45,0.1821,0.1025,0.5199,0.1373,0.1373,0.1373,0.1373,0.1,7.9,8.161,28.63,6.86E-04,6.86E-04,6.86E-04,6.86E-04,1.10E-02,1.10E-02,1.10E-02,1.10E-02
