$Reservoir distributed tributary flows - calculated using water balance QDT=outflows-inflows
JDAY 1.0= 1/1/2000 12am
JDAY,QDT,
  4384.0,  -10.51,
  4385.0,  -11.01,
  4386.0,  -10.51,
  4387.0,  -10.66,
  4388.0,  -10.99,
  4389.0,   -9.70,
  4390.0,   -5.82,
  4391.0,   -7.23,
  4392.0,   -7.26,
  4393.0,   -6.93,
  4394.0,   -6.55,
  4395.0,   -5.53,
  4396.0,   -3.83,
  4397.0,   -3.42,
  4398.0,   -2.74,
  4399.0,   -2.06,
  4400.0,   -1.93,
  4401.0,   -1.55,
  4402.0,   -1.00,
  4403.0,   -0.65,
  4404.0,   -0.33,
  4405.0,   -0.04,
  4406.0,    0.90,
  4407.0,    1.00,
  4408.0,    1.25,
  4409.0,    1.66,
  4410.0,    1.70,
  4411.0,    1.75,
  4412.0,    1.38,
  4413.0,    1.71,
  4414.0,    1.89,
  4415.0,    1.80,
  4416.0,    1.64,
  4417.0,    1.57,
  4418.0,    1.02,
  4419.0,    0.08,
  4420.0,    1.99,
  4421.0,    1.48,
  4422.0,    0.51,
  4423.0,   -0.14,
  4424.0,   -0.20,
  4425.0,   -0.75,
  4426.0,   -0.90,
  4427.0,   -0.90,
  4428.0,   -0.97,
  4429.0,   -1.28,
  4430.0,   -2.02,
  4431.0,   -1.99,
  4432.0,   -2.42,
  4433.0,   -2.38,
  4434.0,   -2.20,
  4435.0,   -2.72,
  4436.0,   -3.22,
  4437.0,   -3.61,
  4438.0,   -3.82,
  4439.0,   -4.12,
  4440.0,   -4.06,
  4441.0,   -2.24,
  4442.0,   -1.61,
  4443.0,   -1.81,
  4444.0,   -1.85,
  4445.0,   -2.04,
  4446.0,   -2.00,
  4447.0,   -2.74,
  4448.0,   -1.52,
  4449.0,   -1.57,
  4450.0,   -2.52,
  4451.0,   -2.06,
  4452.0,   -2.89,
  4453.0,   -3.24,
  4454.0,   -3.45,
  4455.0,   -3.32,
  4456.0,   -4.16,
  4457.0,   -3.63,
  4458.0,   -3.08,
  4459.0,   -3.18,
  4460.0,   -2.69,
  4461.0,   -3.27,
  4462.0,   -5.73,
  4463.0,    1.72,
  4464.0,   -4.55,
  4465.0,   -3.14,
  4466.0,   -1.92,
  4467.0,   -4.32,
  4468.0,   -6.24,
  4469.0,   -6.24,
  4470.0,    1.72,
  4471.0,   -3.02,
  4472.0,   -4.51,
  4473.0,   -5.13,
  4474.0,   -6.05,
  4475.0,  -14.24,
  4476.0,    1.88,
  4477.0,  -15.42,
  4478.0,    7.68,
  4479.0,    0.38,
  4480.0,   -2.52,
  4481.0,  -15.02,
  4482.0,    9.60,
  4483.0,    2.77,
  4484.0,   -4.96,
  4485.0,   -0.38,
  4486.0,   -4.14,
  4487.0,   -1.07,
  4488.0,   -6.95,
  4489.0,   -5.57,
  4490.0,  -11.09,
  4491.0,   -2.82,
  4492.0,   13.58,
  4493.0,   -7.44,
  4494.0,  -13.26,
  4495.0,    2.82,
  4496.0,    1.70,
  4497.0,   -6.61,
  4498.0,   -5.32,
  4499.0,   -4.44,
  4500.0,  -10.81,
  4501.0,    3.32,
  4502.0,   -5.24,
  4503.0,   -8.30,
  4504.0,   -4.82,
  4505.0,   -1.72,
  4506.0,   16.36,
  4507.0,   -8.66,
  4508.0,    2.81,
  4509.0,   -6.90,
  4510.0,  -12.12,
  4511.0,   26.87,
  4512.0,   58.85,
  4513.0,   36.33,
  4514.0,   11.32,
  4515.0,   29.59,
  4516.0,   38.99,
  4517.0,   30.77,
  4518.0,   69.15,
  4519.0,   59.03,
  4520.0,   51.20,
  4521.0,   12.26,
  4522.0,    3.13,
  4523.0,   -5.82,
  4524.0,   16.15,
  4525.0,   10.31,
  4526.0,   -2.93,
  4527.0,   14.54,
  4528.0,   11.40,
  4529.0,   -1.04,
  4530.0,    6.34,
  4531.0,   -3.06,
  4532.0,   -5.49,
  4533.0,   11.11,
  4534.0,   11.28,
  4535.0,    3.48,
  4536.0,    5.31,
  4537.0,   11.03,
  4538.0,    0.95,
  4539.0,    9.86,
  4540.0,    8.19,
  4541.0,    6.01,
  4542.0,    3.96,
  4543.0,   -0.74,
  4544.0,    0.85,
  4545.0,    0.34,
  4546.0,   -4.07,
  4547.0,   -5.68,
  4548.0,   -3.99,
  4549.0,   12.30,
  4550.0,   -0.93,
  4551.0,   -9.96,
  4552.0,   -4.99,
  4553.0,   13.27,
  4554.0,   -1.96,
  4555.0,    2.82,
  4556.0,    0.69,
  4557.0,    7.56,
  4558.0,    4.03,
  4559.0,   -2.00,
  4560.0,  -23.43,
  4561.0,   35.55,
  4562.0,    0.72,
  4563.0,    0.39,
  4564.0,   -9.84,
  4565.0,    3.53,
  4566.0,    5.00,
  4567.0,   -0.92,
  4568.0,   -2.21,
  4569.0,   -6.93,
  4570.0,   44.16,
  4571.0,   38.25,
  4572.0,   28.56,
  4573.0,   18.26,
  4574.0,   26.00,
  4575.0,   17.08,
  4576.0,   38.56,
  4577.0,   -0.38,
  4578.0,   -6.94,
  4579.0,  -18.51,
  4580.0,   -7.89,
  4581.0,   -7.42,
  4582.0,   12.51,
  4583.0,   33.61,
  4584.0,    0.05,
  4585.0,    1.98,
  4586.0,  -18.26,
  4587.0,   -6.43,
  4588.0,   34.18,
  4589.0,   -6.43,
  4590.0,  -15.35,
  4591.0,  -16.68,
  4592.0,    8.84,
  4593.0,   41.44,
  4594.0,   15.23,
  4595.0,  -10.55,
  4596.0,  -14.95,
  4597.0,  -19.44,
  4598.0,  -20.36,
  4599.0,   69.78,
  4600.0,  154.24,
  4601.0,   -3.84,
  4602.0,  -27.42,
  4603.0,  -38.11,
  4604.0,   -6.72,
  4605.0,   57.72,
  4606.0,   63.49,
  4607.0,    0.80,
  4608.0,    7.30,
  4609.0,  -10.64,
  4610.0,   29.61,
  4611.0,  -35.17,
  4612.0,  -13.81,
  4613.0,  -25.85,
  4614.0,   35.44,
  4615.0,   -2.48,
  4616.0,   25.16,
  4617.0,   33.79,
  4618.0,  -29.27,
  4619.0,  103.27,
  4620.0,  112.63,
  4621.0,   57.03,
  4622.0,   -1.24,
  4623.0,   -2.77,
  4624.0,   13.93,
  4625.0,   35.50,
  4626.0,   98.19,
  4627.0,   45.05,
  4628.0,    9.47,
  4629.0,    0.43,
  4630.0,   37.94,
  4631.0,  112.83,
  4632.0,   30.90,
  4633.0,   21.37,
  4634.0,    6.21,
  4635.0,   80.58,
  4636.0,  151.83,
  4637.0,   26.22,
  4638.0,    1.55,
  4639.0,   -0.77,
  4640.0,    6.72,
  4641.0,   10.82,
  4642.0,    1.23,
  4643.0,   18.44,
  4644.0,    4.01,
  4645.0,   -0.84,
  4646.0,  -17.32,
  4647.0,   -0.52,
  4648.0,   28.56,
  4649.0,   26.11,
  4650.0,   -1.62,
  4651.0,    0.82,
  4652.0,   13.03,
  4653.0,   -4.89,
  4654.0,  -22.43,
  4655.0,   -8.76,
  4656.0,  -14.97,
  4657.0,  -10.01,
  4658.0,  -30.89,
  4659.0,  -39.51,
  4660.0,  -41.71,
  4661.0,  -67.23,
  4662.0,  -22.44,
  4663.0,  -52.15,
  4664.0,  -38.07,
  4665.0,   -6.48,
  4666.0,  -40.99,
  4667.0,  -38.40,
  4668.0,  -50.51,
  4669.0,  -48.13,
  4670.0,  -54.33,
  4671.0,  -65.46,
  4672.0,   -3.26,
  4673.0,  -37.92,
  4674.0,  158.60,
  4675.0,  357.35,
  4676.0,  220.79,
  4677.0,   87.43,
  4678.0,  151.16,
  4679.0,  248.60,
  4680.0,  321.85,
  4681.0,  355.68,
  4682.0,  329.69,
  4683.0,  218.49,
  4684.0,  119.80,
  4685.0,   76.80,
  4686.0,  129.61,
  4687.0,   67.52,
  4688.0,   52.86,
  4689.0,  109.98,
  4690.0,   53.83,
  4691.0,   12.96,
  4692.0,   -3.70,
  4693.0,   -8.67,
  4694.0,   -4.23,
  4695.0,   56.89,
  4696.0,   39.45,
  4697.0,   -5.85,
  4698.0,   -5.19,
  4699.0,  -14.28,
  4700.0,  -18.17,
  4701.0,   -4.48,
  4702.0,  -14.06,
  4703.0,  -14.93,
  4704.0,  -16.06,
  4705.0,  -15.66,
  4706.0,   -4.83,
  4707.0,  -16.11,
  4708.0,  -24.04,
  4709.0,    2.26,
  4710.0,   -1.68,
  4711.0,   -7.29,
  4712.0,  -17.60,
  4713.0,  -12.11,
  4714.0,  -20.16,
  4715.0,  -16.18,
  4716.0,  -11.72,
  4717.0,   -6.05,
  4718.0,   -8.40,
  4719.0,  -13.49,
  4720.0,  -16.10,
  4721.0,   -3.42,
  4722.0,   -4.45,
  4723.0,   -9.09,
  4724.0,    1.47,
  4725.0,   -8.22,
  4726.0,   -6.02,
  4727.0,   -4.85,
  4728.0,   -4.66,
  4729.0,   -4.79,
  4730.0,   -5.89,
  4731.0,   -2.55,
  4732.0,   -6.25,
  4733.0,   -2.08,
  4734.0,   -5.05,
  4735.0,   -5.92,
  4736.0,    2.21,
  4737.0,   -1.05,
  4738.0,   -1.84,
  4739.0,    1.01,
  4740.0,    1.16,
  4741.0,   -0.52,
