$inflows,
JDAY 1.0= 1/1/2000 12am,
JDAY,QIN
1,68.01
2,67.78
3,63.75
4,60.42
5,57.99
6,57.46
7,54.93
8,52.01
9,50.88
10,49.85
11,49.02
12,46.99
13,48.76
14,49.03
15,46.1
16,44.47
17,42.24
18,40.81
19,39.78
20,38.55
21,37.82
22,37.29
23,37.17
24,38.34
25,35.41
26,34.08
27,36.25
28,34.32
29,32.59
30,32.96
31,32.33
32,32
33,34.77
34,35.24
35,30.81
36,35.28
37,34.55
38,32.22
39,30.5
40,31.37
41,30.34
42,29.71
43,28.88
44,28.45
45,27.82
46,26.99
47,26.58
48,29.88
49,29.87
50,26.46
51,25.75
52,25.35
53,26.74
54,25.83
55,25.02
56,25.82
57,28.21
58,33.5
59,29.8
60,25.79
61,25.48
62,26.17
63,28.27
64,32.66
65,33.95
66,35.15
67,32.24
68,32.93
69,33.62
70,28.02
71,25.81
72,24.7
73,23.99
74,24.49
75,30.28
76,24.18
77,24.58
78,25.38
79,23.48
80,22.98
81,22.07
82,21.37
83,20.97
84,20.77
85,21.77
86,22.17
87,21.47
88,19.97
89,19.57
90,19.67
91,19.16
92,18.96
93,19.66
94,18.86
95,29.76
96,23.36
97,19.56
98,20.06
99,20.36
100,19.46
101,18.95
102,18.85
103,20.35
104,20.25
105,20.85
106,29.35
107,34.19
108,30.72
109,28.76
110,26.29
111,22.63
112,32.17
113,46.6
114,37.04
115,30.37
116,35.61
117,28.95
118,26.28
119,24.22
120,27.75
121,34.59
122,48.83
123,47.46
124,60.5
125,56.83
126,49.87
127,57.51
128,65.84
129,68.88
130,65.91
131,60.65
132,57.49
133,56.72
134,40.56
135,71.09
136,102.93
137,85.92
138,78.5
139,75.09
140,76.07
141,93.16
142,83.64
143,86.93
144,74.52
145,103.7
146,109.79
147,109.87
148,105.96
149,108.05
150,134.13
151,149.22
152,151.3
153,136.39
154,118.47
155,117.56
156,104.65
157,106.73
158,123.82
159,107.9
160,103.99
161,97.88
162,91.96
163,83.15
164,82.23
165,85.72
166,82.7
167,77.39
168,76.32
169,111.45
170,119.38
171,115.31
172,97.94
173,107.17
174,167.1
175,181.03
176,127.96
177,114.89
178,107.82
179,97.95
180,84.18
181,76.11
182,72.34
183,76.87
184,65.9
185,65.33
186,67.06
187,63.79
188,71.02
189,107.05
190,102.38
191,74.91
192,68.54
193,61.97
194,70.3
195,64.03
196,62.06
197,60.79
198,64.69
199,58.99
200,65.3
201,59.4
202,56.8
203,61.8
204,66.81
205,62.91
206,60.41
207,67.21
208,78.51
209,77.52
210,96.22
211,119.52
212,96.92
213,97.83
214,93.23
215,84.23
216,95.13
217,101.24
218,88.24
219,85.44
220,84.64
221,95.74
222,89.75
223,82.95
224,76.95
225,72.85
226,75.16
227,74.66
228,71.66
229,66.57
230,64.78
231,63.69
232,61.1
233,59.41
234,59.82
235,57.93
236,56.24
237,65.95
238,61.86
239,60.87
240,74.38
241,77.39
242,73.7
243,82.81
244,78.82
245,91.93
246,115.54
247,113.65
248,119.76
249,122.87
250,109.98
251,112.09
252,125.2
253,162.31
254,198.42
255,175.53
256,228.64
257,201.75
258,161.86
259,248.97
260,241.93
261,221.89
262,193.85
263,178.81
264,167.77
265,163.73
266,145.69
267,133.65
268,155.61
269,174.57
270,160.53
271,158.49
272,160.45
273,151.41
274,143.38
275,161.34
276,157.3
277,134.86
278,164.02
279,129.48
280,112.44
281,97
282,115.06
283,85.42
284,82.08
285,78.24
286,101.5
287,96.86
288,184.82
289,154.78
290,110.84
291,104.29
292,104.45
293,104.61
294,109.06
295,116.12
296,107.18
297,107.23
298,102.09
299,106.34
300,114.4
301,107.46
302,106.51
303,108.57
304,176.63
305,170.68
306,190.74
307,183.8
308,170.85
309,186.91
310,234.97
311,219.02
312,185.08
313,167.13
314,150.19
315,139.25
316,168.3
317,150.36
318,149.42
319,148.47
320,130.53
321,121.4
322,117.28
323,120.15
324,172.02
325,144.9
326,124.77
327,110.65
328,103.12
329,97.89
330,92.77
331,90.94
332,93.11
333,89.39
334,83.66
335,86.04
336,87.91
337,88.78
338,98.16
339,91.33
340,85.3
341,83.88
342,89.95
343,77.62
344,72.1
345,68.97
346,66.15
347,63.62
348,61.79
349,61.07
350,59.04
351,58.5
352,56.07
353,53.13
354,49.29
355,48.35
356,46.52
357,47.68
358,46.34
359,45.3
360,45.17
361,45.33
362,44.49
363,43.45
364,43.42
365,42.18
366,43.34
367,42.8
368,47.87
369,45.23
370,41.99
371,40.15
372,40.92
373,41.28
374,40.94
375,38.7
376,38.17
377,38.73
378,37.99
379,36.35
380,34.72
381,34.68
382,33.67
383,27.97
384,29.16
385,28.55
386,28.45
387,28.04
388,26.23
389,27.43
390,27.82
391,26.91
392,25.51
393,23.5
394,22.09
395,21.79
396,22.58
397,21.77
398,20.76
399,21.56
400,21.65
401,21.84
402,23.54
403,21.13
404,21.32
405,21.02
406,21.01
407,20.2
408,19.9
409,19.09
410,19.28
411,18.48
412,18.27
413,18.37
414,17.47
415,18.06
416,17.86
417,18.06
418,17.36
419,17.46
420,17.16
421,17.25
422,17.15
423,17.25
424,16.55
425,15.75
426,16.55
427,16.34
428,15.74
429,16.64
430,16.24
431,16.04
432,15.83
433,15.73
434,16.13
435,16.13
436,21.43
437,15.13
438,14.82
439,14.32
440,14.82
441,14.42
442,13.72
443,14.52
444,14.91
445,16.41
446,16.81
447,16.41
448,14.81
449,13.91
450,17.4
451,18.1
452,17.6
453,17.3
454,19.8
455,17
456,15.49
457,16.39
458,17.09
459,15.29
460,14.49
461,13.29
462,14.18
463,14.28
464,14.28
465,14.38
466,14.38
467,14.88
468,14.47
469,16.37
470,33.97
471,37.27
472,35.66
473,28.64
474,27.13
475,27.01
476,25.1
477,19.78
478,19.67
479,18.95
480,18.74
481,19.92
482,19.71
483,19.59
484,20.18
485,21.46
486,21.35
487,19.14
488,23.22
489,28.41
490,22.49
491,21.68
492,20.86
493,20.95
494,34.83
495,55.72
496,37.6
497,35.49
498,40.87
499,48.46
500,53.54
501,55.23
502,55.71
503,56.99
504,61.68
505,79.56
506,107.74
507,122.72
508,108.7
509,106.69
510,99.47
511,106.65
512,108.63
513,125.61
514,133.6
515,115.58
516,118.56
517,119.54
518,105.52
519,109.5
520,120.49
521,131.47
522,115.45
523,112.43
524,105.41
525,104.4
526,106.38
527,118.36
528,105.34
529,95.32
530,88.61
531,87.89
532,86.07
533,78.05
534,79.53
535,75.81
536,70.89
537,67.27
538,63.45
539,60.23
540,58.91
541,56.39
542,54.37
543,51.15
544,50.53
545,49.91
546,53.99
547,61.47
548,61.05
549,52.73
550,50.61
551,45.99
552,46.57
553,44.35
554,40.23
555,48.41
556,61.69
557,62.17
558,61.15
559,60.33
560,51.41
561,49.19
562,48.77
563,48.75
564,47.24
565,46.22
566,48.11
567,54.49
568,57.68
569,54.06
570,50.95
571,48.53
572,47.62
573,46.2
574,46.68
575,44.47
576,43.35
577,42.14
578,42.32
579,41.21
580,40.29
581,47.18
582,44.56
583,42.14
584,41.03
585,40.81
586,40.9
587,41.68
588,40.57
589,39.25
590,38.64
591,38.52
592,38.11
593,39.19
594,45.6
595,42.41
596,48.42
597,41.22
598,40.13
599,37.64
600,44.65
601,55.76
602,55.07
603,50.28
604,63.69
605,69.29
606,66
607,63.91
608,69.02
609,76.63
610,85.54
611,88.35
612,106.26
613,122.36
614,121.47
615,113.58
616,112.69
617,130.8
618,126.91
619,115.02
620,107.13
621,132.23
622,131.34
623,128.45
624,160.56
625,140.51
626,159.47
627,144.42
628,146.37
629,133.32
630,123.28
631,116.23
632,119.18
633,113.13
634,106.09
635,104.94
636,126.99
637,126.94
638,107.9
639,98.45
640,95.7
641,89.86
642,83.91
643,80.56
644,77.81
645,81.97
646,88.62
647,91.97
648,90.32
649,83.78
650,101.73
651,96.48
652,97.33
653,95.29
654,94.24
655,100.14
656,178.54
657,127.74
658,127.94
659,120.14
660,125.33
661,136.53
662,131.73
663,121.93
664,111.13
665,105.33
666,104.13
667,110.73
668,132.93
669,125.13
670,187.32
671,233.52
672,190.72
673,171.92
674,165.12
675,154.32
676,143.52
677,135.72
678,125.92
679,125.12
680,117.31
681,121.51
682,124.71
683,130.91
684,128.11
685,144.31
686,128.11
687,120.9
688,136.7
689,150.49
690,151.29
691,185.08
692,201.88
693,174.67
694,160.47
695,171.26
696,160.06
697,146.85
698,135.65
699,125.44
700,118.24
701,113.04
702,107.83
703,102.73
704,93.62
705,85.92
706,82.81
707,79.31
708,84.5
709,83.1
710,76.79
711,73.49
712,75.38
713,71.78
714,70.37
715,72.17
716,69.19
717,66.1
718,67.02
719,64.94
720,63.75
721,61.97
722,60.79
723,59.1
724,58.62
725,60.53
726,61.05
727,61.87
728,57.88
729,59.7
730,62.32
731,59.93
732,57.35
733,59.87
734,55.38
735,55.1
736,53.92
737,52.73
738,50.95
739,47.76
740,47.68
741,43.6
742,46.01
743,46.83
744,39.95
745,37.36
746,36.78
747,37.46
748,38.84
749,36.21
750,33.49
751,31.37
752,31.05
753,30.22
754,30.8
755,29.98
756,29.46
757,28.44
758,27.61
759,26.89
760,26.37
761,27.45
762,25.92
763,25.8
764,25.38
765,24.76
766,24.13
767,23.81
768,23.99
769,23.77
770,24.95
771,23.02
772,23.7
773,22.78
774,21.76
775,21.33
776,20.91
777,20.39
778,20.28
779,19.87
780,19.57
781,19.26
782,18.95
783,18.74
