$Inflow,
JDAY 1.0 = 1/1/2017 12 am,
JDAY,QIN
2288,1.15
2289,1.15
2290,1.15
2291,1.15
2292,1.15
2293,1.15
2294,1.15
2295,1.15
2296,1.15
2297,1.15
2298,1.15
2299,1.15
2300,1.15
2301,1.15
2304,0.41
2305,0.42
2306,0.36
2307,0.35
2308,0.43
2309,0.54
2310,0.47
2311,0.45
2312,0.44
2313,0.42
2314,0.4
2315,0.35
2316,0.38
2317,0.34
2318,0.36
2319,0.39
2320,0.45
2321,2.1
2322,3.45
2323,4.16
2324,2.33
2325,1.4
2326,1.21
2327,1.07
2328,2.07
2357,11.1
2358,8.57
2359,7.09
2360,5.95
2361,5.09
2362,4.52
2363,4.11
2364,3.84
2365,3.62
2366,3.23
2367,3.03
2368,3.17
2369,2.66
2370,2.73
2371,2.47
2372,2.38
2373,2.43
2374,2.53
2375,2.53
2376,2.75
2377,2.67
2378,2.79
2380,1.77
2381,1.38
2382,1.38
2383,1.41
2384,1.1
2385,1.21
2386,2.26
2387,2.96
2388,1.62
2389,1.7
2390,2.81
2391,11.6
2392,12.8
2393,9.18
2394,9.25
2395,6.63
2396,5.28
2397,4.29
2398,3.63
2399,3.15
2400,3.24
2401,4.79
2402,4.75
2403,3.69
2404,3.11
2405,2.95
2406,2.74
2407,2.7
2408,2.49
2409,2.2
2410,2.14
2411,2.41
2412,1.93
2413,1.83
2414,2.03
2415,2.68
2416,2.78
2417,2.29
2418,1.82
2419,1.96
2420,1.79
2421,2.43
2422,3.85
2423,4.05
2424,2.98
2425,2.86
2426,2.3
2427,2.05
2428,2.47
2429,3.86
2430,3.17
2431,3.16
2432,4.06
2433,3.59
2434,3.16
2435,2.65
2436,2.58
2437,2.86
2438,2.78
2439,3.39
2440,3.11
2441,13
2442,10.2
2443,8.71
2444,7.5
2445,5.99
2446,5.27
2447,4.18
2448,4.33
2449,7.16
2450,5.96
2451,4.91
2452,4.91
2453,9.76
2454,8.3
2455,6.43
2456,6.32
2457,5.78
2458,4.95
2459,4.81
2460,4.31
2461,4.2
2462,4.25
2463,3.9
2464,3.94
2465,3.68
2466,3.61
2467,3.3
2468,3.4
2469,3.25
2470,3.16
2471,3.24
2472,3.6
2473,3.72
2474,2.94
2475,5.61
2476,8.37
2477,5.87
2478,5.01
2479,4.45
2480,7.02
2481,11
2482,8.22
2483,9.02
2484,15
2485,63.9
2486,60.6
2487,21.7
2488,13.9
2489,10.9
2490,9.23
2491,8.07
2492,7.42
2493,6.8
2494,6.1
2495,6.5
2496,5.9
2497,9.73
2498,15.5
2499,10.5
2500,8.38
2501,7.27
2502,6.86
2503,26.1
2504,19.3
2505,14.3
2506,12.9
2507,11.6
2508,10.8
2509,9.45
2510,12.3
2511,27.9
2512,16.7
2513,13.9
2514,12.6
2515,11.8
2516,10.6
2517,9.6
2518,8.39
2519,7.52
2520,6.9
2521,6.73
2522,5.97
2523,5.37
2524,5.85
2525,5.24
2526,5.22
2527,5.34
2528,4.26
2529,4.89
2530,4.48
2531,3.88
2532,3.99
2533,4
2534,4.03
2535,3.94
2536,4.19
2537,3.37
2538,3.54
2539,2.5
2540,2.07
2541,2.16
2542,2.21
2543,1.91
2544,1.82
2545,1.79
2546,1.7
2547,2.01
2548,1.87
2549,1.88
2550,1.98
2551,2.23
2552,2.4
2553,1.82
2554,1.63
2555,1.79
2556,1.55
2557,1.98
2558,1.87
2559,1.81
2560,1.66
2561,1.61
2562,1.59
2563,1.53
2564,1.49
2565,1.44
2566,1.4
2567,1.35
2568,1.33
2569,1.29
2570,1.24
2571,1.22
2572,1.19
2573,1.14
2574,1.11
2575,1.03
2576,1.01
2577,0.98
2578,0.94
2579,0.92
2580,0.9
2581,0.88
2582,0.84
2583,0.84
2584,0.85
2585,0.81
2586,0.77
2587,0.77
2588,0.71
2589,0.68
2590,0.65
2591,0.63
2592,0.6
2593,0.56
2594,0.53
2595,0.52
2596,0.5
2597,0.49
2598,0.46
2599,0.46
2600,0.45
2601,0.43
2602,0.41
2603,0.48
2604,0.79
2605,0.5
2606,0.45
2607,0.42
2608,0.42
2609,0.43
2610,0.4
2611,0.37
2612,0.36
2613,0.35
2614,0.35
2615,0.34
2616,0.32
2617,0.31
2618,0.29
2619,0.28
2620,0.29
2621,0.28
2622,0.26
2623,0.4
2624,0.44
2625,0.39
2626,0.35
2627,0.29
2628,0.43
2629,0.38
2630,0.33
2631,0.35
2632,0.35
2633,0.34
2634,0.4
2635,0.4
2636,0.21
2637,0.14
2638,0.15
2639,0.15
2640,0.18
2641,0.14
2642,0.21
2643,0.16
2644,0.13
2645,0.14
2646,0.18
2647,0.08
2648,0.14
2649,0.1
2650,0.07
2651,0.04
2652,0.02
2653,0.07
2654,0.05
2655,0.1
2656,0.12
2657,0.67
2658,0.58
2659,0.69
2660,0.77
2661,0.47
2662,0.65
2663,0.65
2664,0.58
2665,0.58
2666,0.36
2667,0.37
2668,0.43
2669,0.43
2670,0.5
2671,0.47
2672,0.36
2673,0.48
2674,0.28
2675,0.33
2676,0.67
2677,0.3
2678,0.64
2679,0.73
2680,1.94
2681,1.67
2682,0.94
2683,0.5
2684,0.65
2685,2.74
2686,1.04
2687,0.7
2688,1.05
2689,4.27
2690,5.94
2691,2.41
2692,1.36
2693,1.27
2694,1.19
2695,1.73
2696,2.71
2697,1.71
2698,3.98
2699,4.84
2700,19.1
2701,34.5
2702,23.3
2703,16.3
2704,26.6
2705,17.3
2706,13.4
2707,12.1
2708,12.7
2709,9.48
2710,7.76
2711,6.17
2712,5.46
2713,15.1
2714,20.4
2715,16
2716,10.5
2717,7.75
2718,6.48
2719,5.52
2720,4.97
2721,5.6
2722,7.2
2723,7.07
2724,5.83
2725,5.17
2726,3.82
2727,3.85
2728,3.07
2729,3.17
2730,2.99
2731,2.86
2732,2.52
2733,1.93
2734,2.13
2735,2.02
2736,2.54
2737,1.79
2738,1.84
2739,1.72
2740,1.93
2741,1.74
2742,1.79
2743,2.5
2744,2.49
2745,2.34
2746,2.11
2747,1.91
2748,2.45
2749,2.01
2750,1.88
2751,2.02
2752,2.06
2753,1.84
2754,2.04
2755,1.62
2756,1.67
2757,1.87
2758,1.85
2759,1.24
2760,2.17
2761,3.11
2762,3.43
2763,2.71
2764,2.36
2765,6.66
2766,4.48
2767,3.57
2768,5.49
2769,3.9
2770,3.12
2771,2.76
2772,7.53
2773,7.21
2774,8.52
2775,11.9
2776,13.6
2777,10.3
2778,8.15
2779,7.4
2780,6.73
2781,10.1
2782,20.2
2783,18.2
2784,17.1
2785,12.3
2786,10.2
2787,9.91
2788,8.56
