$Inflows,
JDAY 1.0 = 1/1/2017 12 am,
JDAY,QIN
2304,0.71
2305,0.6
2306,0.51
2307,0.52
2308,1.95
2309,1.76
2310,0.92
2311,5.4
2312,2.62
2313,1.67
2314,1.1
2315,0.85
2316,3.15
2317,8.43
2318,10.5
2319,18.2
2320,11
2321,29.2
2358,32.6
2359,36.3
2360,28.4
2361,24.3
2362,21.5
2363,19.9
2364,18.6
2365,21
2366,18.4
2367,19.5
2368,19.6
2369,21.9
2370,18.9
2371,16.6
2372,15.3
2373,14.2
2374,13.2
2375,12.9
2376,17.3
2377,16.8
2378,14.2
2379,12.6
2380,12
2381,15.4
2382,17
2383,13.7
2384,11.6
2385,10.9
2386,14.2
2387,13.2
2388,12.6
2389,12.7
2390,16.4
2391,46.5
2392,36.3
2393,34.6
2394,28
2395,21.7
2396,18.8
2397,18.3
2398,16.1
2399,15.7
2400,15.5
2401,33.1
2402,35.8
2403,29.1
2404,26
2405,21.4
2406,19.9
2407,18.3
2408,16.4
2409,15.1
2410,14.1
2411,18.9
2412,14.2
2413,12.7
2414,13.1
2415,20.7
2416,20.4
2417,15.7
2418,13.3
2419,13
2420,11.6
2421,12.7
2422,14.6
2423,15.7
2424,13.4
2425,11.7
2426,10.9
2427,9.86
2428,12.5
2429,14.9
2430,37.1
2431,31.3
2432,26.5
2433,24.7
2434,20.9
2435,19.1
2436,23.3
2437,24.7
2438,21.1
2439,27.1
2440,19.9
2441,28.3
2442,33.8
2443,31.5
2444,35.4
2445,40.1
2446,33.6
2447,29
2448,34.5
2449,32.2
2450,25.8
2451,22.6
2452,31
2453,29.4
2454,28.1
2455,27.4
2456,26.1
2457,23.1
2458,21.2
2459,19.6
2460,21.5
2461,18.3
2462,16.6
2463,15.7
2464,27.4
2465,23.2
2466,18.4
2467,16.1
2468,14.9
2469,14.6
2470,13.5
2471,14
2472,14.8
2473,21.1
2474,20
2475,34.9
2476,33.5
2477,29.6
2478,24.1
2479,20.6
2480,23.7
2481,26.8
2482,35
2483,33.8
2484,51.3
2485,159
2486,126
2487,80.2
2488,63.8
2489,55.1
2490,52.8
2491,44.8
2492,42
2493,38.4
2494,42.2
2495,40.9
2496,42.7
2497,57
2498,72.3
2499,54.9
2500,45.5
2501,40.7
2502,50.9
2503,79.7
2504,71
2505,53.7
2506,49.2
2507,51.4
2508,43.9
2509,39.6
2510,57.2
2511,60.4
2512,49.1
2513,46.3
2514,47.6
2515,54.4
2516,69
2517,59.4
2518,48.5
2519,43.3
2520,39.9
2521,36.9
2522,34.6
2523,33.1
2524,39.2
2525,35.7
2526,31.2
2527,30.1
2528,30.4
2529,29.3
2530,26.7
2531,25.7
2532,24.7
2533,23.9
2534,23.9
2535,23.9
2536,23
2537,25.7
2538,23.3
2539,24.2
2540,27.9
2541,24.2
2542,21.7
2543,20.3
2544,19.4
2545,18.7
2546,18.3
2547,18.7
2548,17.6
2549,18.9
2550,17.7
2551,28.4
2552,22
2553,18.8
2554,18.2
2555,17
2556,16.2
2557,15.8
2558,15.3
2559,14.7
2560,14.1
2561,14.3
2562,14.1
2563,13.6
2564,13.5
2565,12.8
2566,12.2
2567,11.9
2568,11.5
2569,11.2
2570,11
2571,11.1
2572,10.8
2573,10.2
2574,9.84
2575,9.79
2576,9.68
2577,9.5
2578,9.71
2579,9.37
2580,9.03
2581,8.76
2582,8.59
2583,8.56
2584,8.33
2585,10.9
2586,10
2587,8.44
2588,8.12
2589,7.86
2590,7.54
2591,7.4
2592,7.55
2593,7.29
2594,6.78
2595,6.63
2596,6.55
2597,6.44
2598,6.35
2599,6.63
2600,6.34
2601,6.05
2602,5.97
2603,7.23
2604,10.8
2605,8.76
2606,6.99
2607,6.23
2608,6.2
2609,6
2610,5.47
2611,5.3
2612,5.25
2613,5.55
2614,5.39
2615,5.1
2616,5
2617,4.9
2618,4.76
2619,4.72
2620,4.87
2621,4.53
2622,4.23
2623,4.25
2624,4.83
2625,4.52
2626,4.29
2627,4.58
2628,4.3
2629,3.91
2630,3.88
2631,4.03
2632,8.65
2633,7.23
2634,5.38
2635,5.09
2636,4.8
2637,4.37
2638,4.22
2639,4.53
2640,8.23
2641,7.26
2642,5.3
2643,6.93
2644,10.5
2645,7.04
2646,5.89
2647,6.38
2648,5.51
2649,5.12
2650,5.2
2651,5.19
2652,5.55
2653,5.62
2654,6.32
2655,7.92
2656,7.01
2657,21.8
2658,15.1
2659,20.4
2660,20.4
2661,15.9
2662,11.6
2663,9.04
2664,7.92
2665,7.26
2666,8.82
2667,11.7
2668,12
2669,9.67
2670,7.86
2671,7.47
2672,15.5
2673,19.1
2674,14.1
2675,12.5
2676,11.9
2677,9.84
2678,26
2679,32.5
2680,41.6
2681,28.6
2682,21.1
2683,18.6
2684,31.9
2685,43.2
2686,35.3
2687,31.7
2688,25.2
2689,26.2
2690,31.3
2691,24.5
2692,22.7
2693,29.9
2694,61.8
2695,62.5
2696,50.6
2697,54.6
2698,67.9
2699,66.2
2700,86.9
2701,71.7
2702,72.4
2703,70.3
2704,75.7
2705,63.8
2706,67
2707,91.5
2708,82.2
2709,65.7
2710,58.3
2711,48.3
2712,61.9
2713,85.7
2714,81.4
2715,61
2716,49
2717,55.4
2718,53
2719,60.4
2720,55.9
2721,103
2722,64.4
2723,48.2
2724,42.3
2725,38.3
2726,33
2727,28.2
2728,27.2
2729,25.3
2730,22.8
2731,23.9
2732,20.7
2733,18.7
2734,17.2
2735,15.8
2736,19.9
2737,18.2
2738,15.7
2739,23.7
2740,17.6
2741,14.6
2742,12.9
2743,11.8
2744,11.7
2745,10.8
2746,10.3
2747,10.5
2748,9.95
2749,8.93
2750,15.3
2751,14
2752,14.5
2753,11.7
2754,10.4
2755,9.39
2756,10.2
2757,12.7
2758,13.9
2759,12.3
2760,21.7
2761,44.6
2762,41.7
2763,27.1
2764,21
2765,30.7
2766,26.6
2767,20.9
2768,31.4
2769,21.7
2770,17.1
2771,15.5
2772,15.1
2773,14.3
2774,27.1
2775,59.1
2776,38.4
2777,27.5
2778,23.7
2779,27.9
2780,24.7
2781,54.1
2782,46.2
2783,43.6
2784,34
2785,29.1
2786,26.3
2787,55.4
2788,39
2789,47.5
2790,48.3
2791,57.9
2792,60
2793,39.3
2794,38.4
2795,34.4
2796,52.1
2797,46
2798,54.4
2799,79.3
2800,58.7
2801,57.4
2802,46.7
2803,65.4
2804,50.5
2805,46.7
2806,39.3
2807,44.1
2808,58.2
2809,69
2810,75.1
2811,54.4
2812,53.8
2813,43.9
2814,41.9
2815,38
2816,45.1
2817,40.4
2818,51.1
2819,67.6
