$Main outflows,,,,,
JDAY 1.0= 1/1/2000 12am,,,,,
JDAY,QWD1,QWD2,QWD3,QWD4,QWD5
1,13.57,13.57,13.57,13.57,13.57
2,15.17,15.17,15.17,15.17,15.17
3,14.99,14.99,14.99,14.99,14.99
4,13.57,13.57,13.57,13.57,13.57
5,15.42,15.42,15.42,15.42,15.42
6,14.32,14.32,14.32,14.32,14.32
7,15.06,15.06,15.06,15.06,15.06
8,8.98,8.98,8.98,8.98,8.98
9,11.79,11.79,11.79,11.79,11.79
10,6.93,6.93,6.93,6.93,6.93
11,7.13,7.13,7.13,7.13,7.13
12,5.91,5.91,5.91,5.91,5.91
13,7.72,7.72,7.72,7.72,7.72
14,5.28,5.28,5.28,5.28,5.28
15,5.76,5.76,5.76,5.76,5.76
16,5.94,5.94,5.94,5.94,5.94
17,5.64,5.64,5.64,5.64,5.64
18,5.93,5.93,5.93,5.93,5.93
19,5.93,5.93,5.93,5.93,5.93
20,5.2,5.2,5.2,5.2,5.2
21,5.57,5.57,5.57,5.57,5.57
22,5.2,5.2,5.2,5.2,5.2
23,5.2,5.2,5.2,5.2,5.2
24,5.34,5.34,5.34,5.34,5.34
25,5.2,5.2,5.2,5.2,5.2
26,5.2,5.2,5.2,5.2,5.2
27,5.73,5.73,5.73,5.73,5.73
28,5.2,5.2,5.2,5.2,5.2
29,5.2,5.2,5.2,5.2,5.2
30,5.2,5.2,5.2,5.2,5.2
31,5.2,5.2,5.2,5.2,5.2
32,5.2,5.2,5.2,5.2,5.2
33,5.2,5.2,5.2,5.2,5.2
34,5.2,5.2,5.2,5.2,5.2
35,5.2,5.2,5.2,5.2,5.2
36,5.2,5.2,5.2,5.2,5.2
37,5.2,5.2,5.2,5.2,5.2
38,5.2,5.2,5.2,5.2,5.2
39,5.2,5.2,5.2,5.2,5.2
40,5.2,5.2,5.2,5.2,5.2
41,5.2,5.2,5.2,5.2,5.2
42,5.2,5.2,5.2,5.2,5.2
43,5.2,5.2,5.2,5.2,5.2
