$Branch 6 Inflow Temperature,
JDAY 1.0 = 1/1/2000 12 am,
JDAY,TIN
1895,29.7
1937,25.8
1958,24.9
2001,22.9
2027,23.1
2056,24.1
2091.513889,24.5
2119,21.2
2147,21.1
2156.541667,23.5
2168,23.3
2217,24.8
2231.5625,25.2
2236,23
2236.416667,24
2323.559028,23.1
2413.690972,24.1
2525.505556,22.8
2614,26
2835,22.3
2953,24.1
3610.580556,24.8
3641.622222,24.9
3671.604167,25.7
3681.559028,25.2
3709.59375,26.1
3764.65,25.3
3766.388889,24.8
3793.659722,25.3
3794.670139,25.3
3826.465278,23.3
3919.677083,23.5
4035.474306,23.65
4066.569444,25.56
4088.513889,23.8
4105.536806,26.14
4134.54375,25.01
4169.549306,24.07
4184.493056,24.5
4303.395833,22.4
4390.522222,24.59
4424.572917,25.6
4436.690972,22.8
4450.597917,29.66
4485.569444,23.75
4507.552778,25.71
4542.490278,24.1
4555.635417,26.1
4578.440278,23.68
4606.616667,24.07
4632.461806,23
4666.513889,23.44
4673.6875,23.4
4694.517361,23.94
4736.545139,25.01
4758.548611,24.68
4792.541667,24.27
4792.673611,26
4822.524306,26.35
4844.467361,26.18
4940.607639,25.3
4981.500694,24.85
5015.548611,24.47
5043.540278,23
5071.559722,24.15
5081.520833,23.4
5100.46875,23.45
5136.511806,23.98
5167.474306,23.89
5184.444444,26.7
5201.416667,24.65
5239.583333,26.03
5261.5125,25.37
5285.434028,23.97
5286.503472,26.2
5321.465278,25.17
5347.534722,24.87
5373.522917,24.33
5376.493056,23.46
5407.564583,23.27
5436.493056,23.7
5463.572917,24.07
5495.466667,23.96
5523.484722,24.86
5534.517361,23.6
5557.493056,26.15
5586.519444,25.91
5615.470833,25.04
5641.444444,23.5
5659.583333,25.31
5786.493056,24
5793.509722,24.6
5830.463889,23.7
5905.632639,28.5
6003.631944,24.2
