$Spokane,International,Airport,met,data,,1/1/2001,to,
Solar,is,from,Odessa,,,,
JDAY,TAIR,TDEW,WIND,PHI,CLOUD,Solar,
1,-2.2,-3.3,2.57,2.62,10,0,
1.039,-2.2,-3.3,2.57,2.62,10,0,
1.081,-2.2,-3.9,3.09,1.75,10,0,
1.122,-2.2,-3.3,0,0,10,0,
1.164,-2.2,-3.3,2.06,0.87,10,0,
1.206,-2.2,-3.3,3.09,0.35,10,0,
1.247,-2.2,-2.8,3.09,0.35,10,0,
1.289,-2.2,-2.8,3.09,1.05,10,0,
1.331,-2.2,-2.8,3.09,1.05,10,0,
1.372,-1.7,-2.2,2.57,0.87,10,13.01,
1.414,-1.7,-1.7,0,0,10,64.47,
1.456,-1.1,-1.7,2.57,6.28,10,113.6,
1.497,-1.1,-1.1,2.57,0.7,10,152.29,
1.539,-0.6,-1.1,0,0,10,144.5,
1.581,-0.6,-1.1,0,0,10,100.71,
1.622,-1.1,-1.1,3.09,3.32,10,54.13,
1.664,-0.6,-1.1,0,0,10,20.68,
1.706,-1.1,-1.1,2.06,5.24,10,0,
1.747,-1.1,-1.1,2.06,0.35,10,0,
1.789,-1.1,-1.1,2.57,0.87,10,0,
1.831,-0.6,-1.1,2.57,0.87,10,0,
1.872,-0.6,-1.1,2.57,0.87,10,0,
1.914,-0.6,-1.1,3.6,1.4,10,0,
1.956,-0.6,-1.1,3.6,0.87,10,0,
1.997,-1.1,-1.1,4.63,1.05,10,0,
2.039,-1.1,-1.1,4.63,1.22,10,0,
2.081,-1.1,-1.1,4.63,1.22,10,0,
2.122,-1.1,-1.1,4.12,0.7,10,0,
2.164,-1.1,-1.1,3.6,1.05,10,0,
2.206,-1.1,-1.1,2.57,0.7,10,0,
2.247,-1.1,-1.7,3.09,5.59,10,0,
2.289,-2.2,-2.8,0,0,7.5,0,
2.331,-3.3,-3.9,1.54,4.01,10,0,
2.372,-2.2,-2.2,0,0,10,20.68,
2.414,-1.1,-1.7,2.06,2.44,10,56.8,
2.456,-1.7,-2.8,4.63,3.14,7.5,80.03,
2.497,-1.1,-2.8,2.57,4.01,10,133.93,
2.539,-1.1,-2.8,3.6,3.49,10,172.73,
2.581,-0.6,-2.8,0,0,7.5,143.34,
2.622,0,-2.8,0,0,7.5,79.45,
2.664,-1.1,-2.8,2.06,0.87,7.5,31.94,
2.706,-1.7,-2.8,2.57,0.52,7.5,3.14,
2.747,-2.8,-3.9,2.57,6.28,7.5,0,
2.789,-2.8,-3.3,2.06,0.52,4.4,0,
2.831,-4.4,-5,2.06,0.35,4.4,0,
2.872,-5.6,-7.2,2.06,5.93,7.5,0,
2.914,-5,-5.6,2.06,0.87,7.5,0,
2.956,-5,-5,2.06,0.52,4.4,0,
2.997,-5.6,-6.7,0,0,7.5,0,
3.039,-4.4,-5,1.54,0.7,7.5,0,
3.081,-3.9,-4.4,2.57,1.05,7.5,0,
3.122,-2.8,-2.8,2.57,1.22,10,0,
3.164,-2.2,-2.8,2.57,1.4,10,0,
3.206,-2.2,-2.8,2.06,1.05,7.5,0,
3.247,-2.2,-2.2,1.54,0.87,7.5,0,
3.289,-2.2,-2.8,2.57,1.4,7.5,0,
3.331,-2.2,-2.8,2.57,1.22,10,2.56,
3.372,-3.3,-3.9,0,0,10,23,
3.414,-5,-5.6,0,0,10,137.3,
3.456,-1.1,-2.2,3.09,1.57,10,160.3,
3.497,-1.1,-2.2,3.09,1.4,10,134.98,
3.539,-1.1,-2.2,1.54,5.93,7.5,118.83,
3.581,-1.1,-1.7,0,0,10,81.2,
3.622,-1.7,-2.2,1.54,6.28,10,43.21,
3.664,-1.1,-1.7,0,0,10,13.13,
3.706,-1.1,-2.2,2.06,4.01,7.5,0.81,
3.747,-1.1,-2.2,0,0,10,0,
3.789,-1.1,-2.2,0,0,10,0,
3.831,-0.6,-2.8,4.12,3.32,10,0,
3.872,-1.1,-2.8,2.06,4.54,10,0,
3.914,-1.1,-2.2,3.09,2.44,10,0,
3.956,-0.6,-2.2,3.09,3.14,10,0,
3.997,-1.1,-2.2,1.54,5.76,10,0,
4.039,-1.1,-2.2,0,0,10,0,
4.081,-0.6,-2.2,2.06,2.44,10,0,
4.122,-1.7,-2.2,2.57,0.17,10,0,
4.164,-1.1,-2.2,0,0,10,0,
4.206,-1.1,-2.2,1.54,0.7,10,0,
4.247,-1.1,-2.2,1.54,0.7,10,0,
4.289,-1.1,-2.2,0,0,7.5,0,
4.331,-1.7,-2.2,2.06,0.87,7.5,4.3,
4.372,-1.7,-2.8,0,0,7.5,51.46,
4.414,-0.6,-1.7,2.57,0.7,7.5,140.09,
4.456,0,-1.1,2.57,0.17,10,235.92,
4.497,0.6,-1.7,1.54,0.7,10,190.5,
4.539,0.6,-1.7,3.09,0.7,10,322.34,
4.581,1.1,-1.1,2.57,0.35,7.5,258.22,
4.622,1.1,-0.6,2.06,1.4,10,136.72,
4.664,1.1,-1.1,2.06,0.7,7.5,41.35,
4.706,0.6,-1.1,2.06,0.17,7.5,2.56,
4.747,0.6,-1.1,2.57,0.87,7.5,0,
4.789,0.6,-0.6,2.57,0.7,10,0,
4.831,0.6,0,1.54,1.4,10,0,
4.872,0.6,-0.6,2.57,0.7,10,0,
4.914,1.1,0,3.6,1.05,10,0,
4.956,0.6,0,0,0,10,0,
4.997,2.8,0,6.69,2.62,10,0,
5.039,2.8,-0.6,6.17,2.62,10,0,
5.081,3.3,-0.6,4.12,2.62,10,0,
5.122,3.3,-0.6,2.06,3.14,10,0,
5.164,4.4,-0.6,5.15,3.14,7.5,0,
5.206,4.4,-0.6,6.69,2.97,10,0,
5.247,4.4,-0.6,6.69,3.49,10,0,
5.289,2.8,-0.6,7.72,4.01,10,0,
5.331,2.8,-0.6,10.29,3.67,7.5,2.56,
5.372,1.7,0,7.72,4.01,7.5,54.25,
5.414,1.7,0,9.78,3.67,4.4,185.86,
5.456,2.2,0.6,9.26,3.49,4.4,276.11,
5.497,3.3,1.1,4.63,3.32,4.4,327.92,
5.539,3.9,1.1,7.72,3.67,4.4,330.36,
5.581,3.9,0.6,8.75,3.67,4.4,309.68,
5.622,3.9,1.1,7.2,3.67,4.4,191.08,
5.664,3.9,1.1,6.69,3.67,4.4,85.15,
5.706,2.8,1.1,5.66,3.67,4.4,5.11,
5.747,3.3,0.6,5.66,3.84,1.9,0,
5.789,2.2,0,5.15,4.01,4.4,0,
5.831,0.6,-0.6,4.63,2.97,4.4,0,
5.872,0,-1.1,4.12,3.49,1.9,0,
5.914,-1.1,-1.7,4.12,3.14,1.9,0,
5.956,0.6,-1.1,5.66,3.67,1.9,0,
5.997,-0.6,-2.2,6.69,3.14,7.5,0,
6.039,-0.6,-2.2,4.12,2.97,7.5,0,
6.081,-1.1,-2.2,3.09,3.14,10,0,
6.122,-1.1,-2.2,2.57,3.14,10,0,
6.164,-3.3,-4.4,2.57,2.62,1.9,0,
6.206,-3.9,-4.4,4.63,2.79,1.9,0,
6.247,-3.9,-4.4,1.54,2.97,1.9,0,
6.289,-5,-5.6,2.57,2.44,1.9,0,
6.331,-3.9,-4.4,2.57,2.62,1.9,5.23,
6.372,-3.3,-3.9,1.54,2.79,7.5,98.04,
6.414,-2.8,-2.8,0,0,7.5,214.32,
6.456,-1.7,-1.7,1.54,2.44,10,291.68,
6.497,-0.6,-1.1,1.54,2.27,10,343.25,
6.539,-1.1,-1.7,2.57,0.52,10,345.92,
6.581,-1.1,-1.1,2.06,2.09,10,296.79,
6.622,-1.1,-1.7,2.06,0.52,10,209.09,
6.664,-1.7,-2.2,0,0,10,90.37,
6.706,-2.2,-3.9,1.54,1.05,10,2.56,
6.747,-2.2,-3.9,2.06,6.28,10,0,
6.789,-2.2,-4.4,2.57,0.35,10,0,
6.831,-2.8,-5,3.09,0.52,10,0,
6.872,-2.2,-3.9,3.09,0.7,10,0,
6.914,-2.2,-3.9,3.09,0.87,10,0,
6.956,-1.7,-3.9,3.6,0.7,10,0,
6.997,-1.7,-3.3,3.09,0.52,10,0,
7.039,-1.7,-3.9,5.15,0.52,10,0,
7.081,-2.2,-4.4,4.12,0.52,10,0,
7.122,-2.2,-4.4,3.6,0.52,10,0,
7.164,-2.2,-4.4,4.63,0.87,10,0,
7.206,-2.2,-4.4,4.12,0.87,10,0,
7.247,-3.9,-3.9,4.12,0.7,10,0,
7.289,-4.4,-4.4,3.6,0.52,10,0,
7.331,-5.6,-5.6,2.57,0.17,4.4,5.11,
7.372,-3.9,-5,1.54,0.17,4.4,85.26,
7.414,-2.8,-3.3,3.09,0.35,4.4,170.29,
7.456,-1.7,-2.8,2.57,0.52,4.4,276.23,
7.497,-0.6,-3.9,3.09,0.7,4.4,317.47,
7.539,-1.1,-3.9,4.12,0.7,7.5,255.55,
7.581,-1.1,-3.9,4.12,0.7,7.5,221.98,
7.622,-1.1,-3.9,3.6,0.52,7.5,209.09,
7.664,-0.6,-2.8,2.57,0.35,7.5,77.36,
7.706,-1.7,-5,2.57,6.28,7.5,5.23,
7.747,-1.7,-5,2.57,0.7,7.5,0,
7.789,-3.3,-5.6,2.57,0.52,7.5,0,
7.831,-2.8,-5.6,4.12,0.87,7.5,0,
7.872,-3.9,-6.1,2.57,0.35,7.5,0,
7.914,-2.8,-6.1,3.6,0.52,10,0,
7.956,-1.7,-6.1,4.63,0.87,7.5,0,
7.997,-2.8,-6.7,3.09,1.05,7.5,0,
8.039,-2.2,-6.7,4.12,0.87,7.5,0,
8.081,-3.9,-7.8,3.6,0.52,7.5,0,
8.122,-2.8,-7.2,4.12,0.87,4.4,0,
8.164,-5,-7.8,3.09,0.35,7.5,0,
8.206,-3.3,-7.2,4.12,0.7,7.5,0,
8.247,-4.4,-7.8,3.6,0.87,7.5,0,
8.289,-5,-8.3,3.09,0.52,7.5,0,
8.331,-3.3,-7.8,3.09,0.7,7.5,2.56,
8.372,-2.2,-7.2,4.63,1.22,7.5,41.35,
8.414,-2.2,-6.7,4.63,0.87,7.5,123.83,
